Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Patrick Arnold,20,3,5,.375,4.67,36,6,15,0,0,3,81.0,99,46,42,9,23,1,71,4,0,8,354,1.506,11.0,1.0,2.6,7.9,3.09,0,2009,A,WSN
Matt Chico*,26,0,0,,2.45,3,3,0,0,0,0,11.0,11,3,3,2,0,0,8,1,0,1,43,1.000,9.0,1.6,0.0,6.5,,1,2009,A,WSN
Paul Demny,19,3,11,.214,5.14,23,23,0,0,0,0,105.0,101,69,60,8,42,0,110,11,2,9,464,1.362,8.7,0.7,3.6,9.4,2.62,0,2009,A,WSN
Clayton Dill*,23,2,0,1.000,9.00,3,0,2,0,0,0,4.0,4,4,4,1,1,0,4,0,0,0,17,1.250,9.0,2.3,2.3,9.0,4.00,0,2009,A,WSN
Terrence Engles,23,4,2,.667,3.53,10,10,0,0,0,0,51.0,50,22,20,5,12,0,60,1,0,1,208,1.216,8.8,0.9,2.1,10.6,5.00,0,2009,A,WSN
Robinson Fabian,23,0,1,.000,1.96,9,1,3,0,0,2,23.0,21,6,5,1,4,0,10,3,0,2,93,1.087,8.2,0.4,1.6,3.9,2.50,0,2009,A,WSN
Marcos Frias,20,9,5,.643,2.91,25,23,1,0,0,0,126.2,124,56,41,6,30,0,112,11,0,9,535,1.216,8.8,0.4,2.1,8.0,3.73,0,2009,A,WSN
Austin Garrett*,22,4,5,.444,4.67,39,0,9,0,0,0,61.2,64,36,32,5,37,4,51,5,2,8,281,1.638,9.3,0.7,5.4,7.4,1.38,0,2009,A,WSN
Valerio Heredia,23,0,0,,0.00,1,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,0,0,7,0.500,0.0,0.0,4.5,0.0,0.00,0,2009,A,WSN
Graham Hicks*,19,0,0,,5.40,1,1,0,0,0,0,5.0,6,3,3,2,3,0,6,0,0,0,23,1.800,10.8,3.6,5.4,10.8,2.00,0,2009,A,WSN
