Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Nathan Adcock,21,3,2,.600,5.25,7,4,1,0,0,0,24.0,29,17,14,5,7,0,15,2,0,3,109,1.500,10.9,1.9,2.6,5.6,2.14,1,2009,Adv A,PIT
Ramon Aguero,24,1,0,1.000,2.49,11,0,2,0,0,0,21.2,20,10,6,1,9,0,22,3,0,2,97,1.338,8.3,0.4,3.7,9.1,2.44,0,2009,Adv A,PIT
Harrison Bishop,24,2,4,.333,5.02,35,0,14,0,0,2,80.2,74,51,45,5,24,0,73,3,0,5,343,1.215,8.3,0.6,2.7,8.1,3.04,0,2009,Adv A,PIT
Tom Boleska,22,1,1,.500,1.60,16,0,5,0,0,0,39.1,39,10,7,2,4,0,22,5,0,3,162,1.093,8.9,0.5,0.9,5.0,5.50,0,2009,Adv A,PIT
Christian Castorri,25,2,1,.667,7.20,13,0,6,0,0,0,20.0,32,16,16,2,7,0,19,1,0,1,99,1.950,14.4,0.9,3.2,8.6,2.71,0,2009,Adv A,PIT
Chi-Hung Cheng*,24,7,3,.700,4.16,20,16,0,0,0,0,84.1,98,43,39,9,23,0,39,3,1,4,366,1.435,10.5,1.0,2.5,4.2,1.70,0,2009,Adv A,PIT
Mike Colla,22,6,3,.667,4.31,37,0,6,0,0,0,64.2,70,31,31,7,19,1,52,1,0,2,282,1.376,9.7,1.0,2.6,7.2,2.74,0,2009,Adv A,PIT
Chris Cullen,22,4,4,.500,5.01,39,0,14,0,0,2,64.2,64,39,36,6,18,2,36,6,0,4,272,1.268,8.9,0.8,2.5,5.0,2.00,0,2009,Adv A,PIT
Michael Dubee,23,2,0,1.000,1.05,23,0,17,0,0,6,34.1,22,5,4,1,3,0,52,0,0,1,125,0.728,5.8,0.3,0.8,13.6,17.33,0,2009,Adv A,PIT
Michael Felix*,23,0,0,,7.71,7,0,1,0,0,0,9.1,8,9,8,0,9,0,5,1,0,3,45,1.821,7.7,0.0,8.7,4.8,0.56,0,2009,Adv A,PIT
Harvey Garcia,25,1,0,1.000,2.77,10,0,3,0,0,1,13.0,7,4,4,2,2,0,16,1,0,0,49,0.692,4.8,1.4,1.4,11.1,8.00,1,2009,Adv A,PIT
Noah Krol,25,1,1,.500,1.80,3,0,1,0,0,0,5.0,4,1,1,0,1,1,4,0,0,1,19,1.000,7.2,0.0,1.8,7.2,4.00,0,2009,Adv A,PIT
Jeff Locke*,21,4,4,.500,4.08,17,17,0,0,0,0,81.2,98,44,37,4,18,0,56,1,0,2,348,1.420,10.8,0.4,2.0,6.2,3.11,1,2009,Adv A,PIT
Matt McSwain,23,11,8,.579,3.43,28,25,1,1,1,1,144.1,162,60,55,3,23,0,64,7,1,8,606,1.282,10.1,0.2,1.4,4.0,2.78,0,2009,Adv A,PIT
Paul Mildren*,25,3,6,.333,5.77,27,11,6,0,0,0,73.1,98,49,47,10,14,0,44,2,1,2,320,1.527,12.0,1.2,1.7,5.4,3.14,0,2009,Adv A,PIT
Dustin Molleken,24,3,1,.750,3.48,18,1,3,0,0,1,41.1,36,17,16,2,8,0,42,2,0,1,166,1.065,7.8,0.4,1.7,9.1,5.25,1,2009,Adv A,PIT
Bryan Morris,22,4,9,.308,5.57,15,15,0,0,0,0,72.2,87,58,45,2,34,0,32,0,0,10,334,1.665,10.8,0.2,4.2,4.0,0.94,1,2009,Adv A,PIT
Rudy Owens*,21,1,1,.500,3.86,6,6,0,0,0,0,23.1,29,10,10,3,2,0,22,1,0,1,99,1.329,11.2,1.2,0.8,8.5,11.00,1,2009,Adv A,PIT
Moises Robles,25,0,2,.000,4.43,28,0,9,0,0,0,42.2,48,22,21,4,7,1,26,1,0,1,179,1.289,10.1,0.8,1.5,5.5,3.71,0,2009,Adv A,PIT
R.J. Rodriguez,24,6,3,.667,3.08,48,0,44,0,0,27,49.2,37,19,17,2,27,1,41,3,1,4,210,1.289,6.7,0.4,4.9,7.4,1.52,0,2009,Adv A,PIT
Ronald Uviedo,22,5,5,.500,3.36,23,18,5,0,0,3,101.2,98,42,38,12,28,1,79,3,3,0,426,1.239,8.7,1.1,2.5,7.0,2.82,0,2009,Adv A,PIT
Justin Wilson*,21,6,8,.429,4.50,26,26,0,0,0,0,116.0,118,64,58,14,55,0,94,7,0,6,514,1.491,9.2,1.1,4.3,7.3,1.71,1,2009,Adv A,PIT
