Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Tim Lincecum,25,15,7,.682,2.48,32,32,0,4,2,0,225.1,168,69,62,10,68,2,261,6,0,11,905,1.047,6.7,0.4,2.7,10.4,3.84,1
Matt Cain,24,14,8,.636,2.89,33,33,0,4,0,0,217.2,184,73,70,22,73,6,171,3,0,9,886,1.181,7.6,0.9,3.0,7.1,2.34,1
Barry Zito*,31,10,13,.435,4.03,33,33,0,1,0,0,192.0,179,89,86,21,81,8,154,8,2,2,818,1.354,8.4,1.0,3.8,7.2,1.90,1
Jonathan Sanchez*,26,8,12,.400,4.24,32,29,2,1,1,0,163.1,135,82,77,19,88,5,177,6,0,11,710,1.365,7.4,1.0,4.8,9.8,2.01,1
Randy Johnson*,45,8,6,.571,4.88,22,17,2,0,0,0,96.0,97,55,52,19,31,2,86,2,1,5,412,1.333,9.1,1.8,2.9,8.1,2.77,1
Brian Wilson,27,5,6,.455,2.74,68,0,60,0,0,38,72.1,60,27,22,3,27,4,83,1,0,4,303,1.203,7.5,0.4,3.4,10.3,3.07,1
Brandon Medders,29,5,1,.833,3.01,61,0,11,0,0,1,68.2,63,26,23,6,32,5,58,3,0,2,300,1.383,8.3,0.8,4.2,7.6,1.81,1
Bob Howry,35,2,6,.250,3.39,63,0,20,0,0,0,63.2,50,26,24,5,23,6,46,2,0,4,268,1.147,7.1,0.7,3.3,6.5,2.00,1
Jeremy Affeldt*,30,2,2,.500,1.73,74,0,8,0,0,0,62.1,42,14,12,3,31,3,55,3,0,5,248,1.171,6.1,0.4,4.5,7.9,1.77,1
Merkin Valdez,27,2,1,.667,5.66,48,0,20,0,0,0,49.1,57,33,31,5,28,2,38,0,0,5,225,1.723,10.4,0.9,5.1,6.9,1.36,1
Justin Miller,31,3,3,.500,3.18,44,0,6,0,0,0,56.2,47,20,20,7,27,2,36,1,0,3,236,1.306,7.5,1.1,4.3,5.7,1.33,1
Brad Penny,31,4,1,.800,2.59,6,6,0,1,0,0,41.2,31,13,12,5,9,0,20,0,0,2,161,0.960,6.7,1.1,1.9,4.3,2.22,1
Sergio Romo,26,5,2,.714,3.97,45,0,9,0,0,2,34.0,30,15,15,1,11,0,41,1,0,2,143,1.206,7.9,0.3,2.9,10.9,3.73,1
Joe Martinez,26,3,2,.600,7.50,9,5,1,0,0,0,30.0,46,27,25,4,12,2,19,1,0,0,148,1.933,13.8,1.2,3.6,5.7,1.58,1
Ryan Sadowski,26,2,4,.333,4.45,6,6,0,0,0,0,28.1,28,15,14,2,17,1,17,1,0,2,128,1.588,8.9,0.6,5.4,5.4,1.00,1
Waldis Joaquin,22,0,0,,4.22,10,0,4,0,0,0,10.2,10,5,5,1,7,0,12,2,0,3,51,1.594,8.4,0.8,5.9,10.1,1.71,1
Madison Bumgarner*,19,0,0,,1.80,4,1,1,0,0,0,10.0,8,2,2,2,3,1,10,0,0,0,40,1.100,7.2,1.8,2.7,9.0,3.33,1
Dan Runzler*,24,0,0,,1.04,11,0,0,0,0,0,8.2,6,1,1,1,5,0,11,1,0,0,38,1.269,6.2,1.0,5.2,11.4,2.20,1
Alex Hinshaw*,26,0,0,,12.00,9,0,3,0,0,0,6.0,10,8,8,2,7,0,2,0,0,1,33,2.833,15.0,3.0,10.5,3.0,0.29,1
Osiris Matos,24,0,0,,9.00,5,0,2,0,0,0,6.0,11,7,6,2,1,0,5,0,0,0,31,2.000,16.5,3.0,1.5,7.5,5.00,1
Pat Misch*,27,0,0,,10.80,4,0,2,0,0,0,3.1,6,4,4,0,3,0,0,0,0,0,19,2.700,16.2,0.0,8.1,0.0,0.00,1
