Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Erick Abreu,27,6,8,.429,4.29,33,18,3,0,0,0,123.2,124,64,59,21,27,1,111,3,0,5,518,1.221,9.0,1.5,2.0,8.1,4.11,0
Jonnathan Aristil,24,4,8,.333,6.13,30,21,4,0,0,2,120.1,129,85,82,21,66,0,117,6,1,13,557,1.620,9.6,1.6,4.9,8.8,1.77,0
David Berner*,23,1,1,.500,9.33,13,0,5,0,0,0,18.1,32,20,19,4,14,2,12,0,0,0,98,2.509,15.7,2.0,6.9,5.9,0.86,0
Jake Buchanan,21,0,0,,1.29,1,1,0,0,0,0,7.0,6,1,1,0,1,0,2,0,0,0,27,1.000,7.7,0.0,1.3,2.6,2.00,1
David Carpenter,25,0,1,.000,4.50,14,0,14,0,0,5,14.0,14,7,7,4,3,1,17,2,0,0,59,1.214,9.0,2.6,1.9,10.9,5.67,1
Cesar Carrillo,27,1,1,.500,9.64,5,0,0,0,0,0,9.1,12,10,10,2,7,0,6,1,0,0,46,2.036,11.6,1.9,6.8,5.8,0.86,1
Xavier Cedeno*,24,5,6,.455,3.95,23,19,1,0,0,0,111.2,98,59,49,8,45,5,110,5,0,7,478,1.281,7.9,0.6,3.6,8.9,2.44,1
Paul Clemens,23,2,1,.667,2.35,5,5,0,0,0,0,30.2,23,9,8,3,12,1,26,0,1,0,127,1.141,6.8,0.9,3.5,7.6,2.17,1
Jarred Cosart,21,1,2,.333,4.71,7,7,0,0,0,0,36.1,33,20,19,4,13,0,22,0,0,2,157,1.266,8.2,1.0,3.2,5.4,1.69,1
Emerson Frostad,28,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,2.000,9.0,0.0,9.0,0.0,0.00,0
Sammy Gervacio,26,1,0,1.000,1.38,8,0,6,0,0,0,13.0,11,3,2,0,5,0,12,2,0,1,57,1.231,7.6,0.0,3.5,8.3,2.40,1
Kyle Greenwalt,22,4,10,.286,7.86,28,9,9,0,0,2,71.0,96,63,62,16,18,1,46,0,0,3,319,1.606,12.2,2.0,2.3,5.8,2.56,0
Brad Hennessey,31,0,1,.000,1.80,4,0,0,0,0,0,5.0,4,1,1,1,0,0,3,0,0,0,18,0.800,7.2,1.8,0.0,5.4,,1
Chris Hicks,24,0,0,,3.77,13,0,4,0,0,0,14.1,14,9,6,1,7,1,7,0,0,1,64,1.465,8.8,0.6,4.4,4.4,1.00,0
Brad James,27,0,2,.000,7.11,4,0,1,0,0,0,6.1,9,5,5,1,8,3,2,1,0,4,36,2.684,12.8,1.4,11.4,2.8,0.25,0
Dallas Keuchel*,23,9,7,.563,3.17,20,20,0,1,1,0,127.2,116,49,45,9,27,0,76,4,0,6,513,1.120,8.2,0.6,1.9,5.4,2.81,1
Blake King,24,0,2,.000,3.76,33,0,8,0,0,0,40.2,25,18,17,3,38,2,50,2,1,6,184,1.549,5.5,0.7,8.4,11.1,1.32,0
Arcenio Leon,24,3,4,.429,4.59,47,0,14,0,0,2,64.2,69,44,33,2,48,4,73,5,0,12,306,1.809,9.6,0.3,6.7,10.2,1.52,1
Danny Meszaros,25,0,4,.000,5.09,30,0,16,0,0,5,35.1,38,23,20,4,15,3,44,1,0,6,160,1.500,9.7,1.0,3.8,11.2,2.93,0
Matt Nevarez,24,0,2,.000,9.00,17,0,2,0,0,0,21.0,22,22,21,0,25,2,23,2,0,7,107,2.238,9.4,0.0,10.7,9.9,0.92,0
Brett Oberholtzer*,21,2,3,.400,5.27,6,6,0,0,0,0,27.1,28,16,16,3,10,0,28,1,0,2,117,1.390,9.2,1.0,3.3,9.2,2.80,1
Mike Perconte,25,0,0,,22.85,5,0,0,0,0,0,4.1,15,11,11,3,2,1,5,0,0,1,33,3.923,31.2,6.2,4.2,10.4,2.50,0
Andrew Robinson,23,0,1,.000,8.10,2,0,1,0,0,0,3.1,5,3,3,0,2,0,1,0,0,0,16,2.100,13.5,0.0,5.4,2.7,0.50,0
Wandy Rodriguez*,32,0,0,,2.25,1,1,0,0,0,0,4.0,6,1,1,1,1,0,2,0,0,0,17,1.750,13.5,2.3,2.3,4.5,2.00,1
Ross Seaton,21,4,9,.308,5.23,28,28,0,0,0,0,155.0,168,103,90,19,47,4,97,7,1,12,669,1.387,9.8,1.1,2.7,5.6,2.06,0
Henry Sosa,25,2,0,1.000,2.89,3,3,0,0,0,0,18.2,16,7,6,1,4,0,17,0,0,1,76,1.071,7.7,0.5,1.9,8.2,4.25,1
Jason Stoffel,22,1,3,.250,5.63,18,0,15,0,0,4,16.0,18,10,10,3,9,1,19,0,0,3,77,1.688,10.1,1.7,5.1,10.7,2.11,0
Pat Urckfitz*,22,1,5,.167,5.08,31,0,10,0,0,1,39.0,46,29,22,4,26,8,31,2,1,4,192,1.846,10.6,0.9,6.0,7.2,1.19,0
Henry Villar,24,2,4,.333,4.06,32,0,14,0,0,2,37.2,42,17,17,3,4,1,33,1,0,6,155,1.221,10.0,0.7,1.0,7.9,8.25,1
Shane Wolf*,24,1,4,.200,5.98,22,1,6,0,0,0,40.2,52,31,27,4,15,2,27,4,0,2,192,1.648,11.5,0.9,3.3,6.0,1.80,0
Josh Zeid,24,0,1,.000,10.13,14,1,5,0,0,0,16.0,23,21,18,5,6,1,15,1,0,2,78,1.813,12.9,2.8,3.4,8.4,2.50,1
