Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Henderson Alvarez III,21,8,4,.667,2.86,15,14,0,1,0,0,88.0,81,31,28,7,17,0,66,4,0,1,353,1.114,8.3,0.7,1.7,6.8,3.88,1
Chad Beck,26,7,4,.636,3.69,22,14,5,0,0,0,95.0,92,41,39,7,28,0,70,3,0,2,393,1.263,8.7,0.7,2.7,6.6,2.50,1
Joel Carreno,24,7,9,.438,3.41,24,23,0,0,0,0,134.2,100,56,51,12,68,0,152,12,3,16,563,1.248,6.7,0.8,4.5,10.2,2.24,1
Willie Collazo*,31,2,0,1.000,2.95,5,3,0,0,0,0,18.1,15,6,6,2,1,0,11,1,0,0,70,0.873,7.4,1.0,0.5,5.4,11.00,1
Evan Crawford*,24,3,5,.375,3.35,45,0,16,0,0,2,51.0,50,23,19,3,21,1,62,1,0,1,220,1.392,8.8,0.5,3.7,10.9,2.95,1
Matt Daly,24,4,0,1.000,6.25,29,0,10,0,0,0,36.0,39,26,25,2,28,1,29,3,0,5,176,1.861,9.8,0.5,7.0,7.3,1.04,0
Wes Etheridge,26,0,0,,3.94,8,0,3,0,0,1,16.0,14,8,7,2,3,0,7,0,0,2,62,1.063,7.9,1.1,1.7,3.9,2.33,0
Clint Everts,26,0,1,.000,2.59,40,0,19,0,0,5,48.2,32,18,14,2,20,0,56,1,0,9,194,1.068,5.9,0.4,3.7,10.4,2.80,0
Alan Farina,24,2,1,.667,1.56,17,0,15,0,0,6,17.1,15,3,3,2,7,0,16,0,0,2,74,1.269,7.8,1.0,3.6,8.3,2.29,0
Frank Gailey*,25,1,4,.200,5.70,19,0,9,0,0,0,30.0,32,20,19,4,11,3,23,1,0,3,132,1.433,9.6,1.2,3.3,6.9,2.09,0
Dumas Garcia,27,0,0,,3.00,2,0,1,0,0,0,3.0,2,2,1,0,1,0,2,0,0,0,12,1.000,6.0,0.0,3.0,6.0,2.00,0
Rey Gonzalez,25,8,3,.727,3.36,28,11,0,0,0,0,99.0,113,47,37,2,27,2,52,1,0,4,423,1.414,10.3,0.2,2.5,4.7,1.93,0
Mike Hinckley*,28,1,0,1.000,5.68,18,0,5,0,0,0,12.2,11,9,8,1,7,1,8,0,2,2,56,1.421,7.8,0.7,5.0,5.7,1.14,1
Drew Hutchison,20,3,0,1.000,1.20,3,3,0,0,0,0,15.0,10,2,2,0,2,0,21,2,0,3,56,0.800,6.0,0.0,1.2,12.6,10.50,1
Casey Janssen,29,0,0,,0.00,5,0,0,0,0,0,5.0,1,0,0,0,1,0,7,0,0,0,17,0.400,1.8,0.0,1.8,12.6,7.00,1
Chad Jenkins,23,5,7,.417,4.13,16,16,0,1,0,0,100.1,93,48,46,8,27,0,74,2,0,9,410,1.196,8.3,0.7,2.4,6.6,2.74,1
Bobby Korecky,31,3,3,.500,2.50,35,0,31,0,0,12,39.2,28,11,11,3,10,1,40,2,0,0,157,0.958,6.4,0.7,2.3,9.1,4.00,1
B.J. LaMura,30,6,5,.545,4.19,32,11,8,0,0,0,88.0,75,44,41,5,44,0,76,3,2,4,376,1.352,7.7,0.5,4.5,7.8,1.73,0
Jesse Litsch,26,0,0,,1.04,2,2,0,0,0,0,8.2,6,1,1,0,0,0,9,1,0,1,32,0.692,6.2,0.0,0.0,9.3,,1
Dustin McGowan,29,0,2,.000,2.75,5,5,0,0,0,0,19.2,18,7,6,2,7,0,18,0,0,0,80,1.271,8.2,0.9,3.2,8.2,2.57,1
Deck McGuire,22,2,1,.667,4.35,4,3,0,1,0,0,20.2,20,10,10,4,7,0,22,1,0,3,88,1.306,8.7,1.7,3.0,9.6,3.14,1
Nestor Molina,22,2,0,1.000,0.41,5,5,0,0,0,0,22.0,12,2,1,0,2,0,33,0,1,2,80,0.636,4.9,0.0,0.8,13.5,16.50,0
Vince Perkins,29,0,0,,10.13,3,0,0,0,0,0,2.2,5,3,3,1,5,0,0,0,0,2,18,3.750,16.9,3.4,16.9,0.0,0.00,0
Yohan Pino,27,4,8,.333,4.14,36,10,8,1,0,0,95.2,90,47,44,15,14,0,104,3,0,3,385,1.087,8.5,1.4,1.3,9.8,7.43,1
Robert Ray,27,1,2,.333,6.27,6,6,0,0,0,0,33.0,32,26,23,4,17,0,29,1,0,1,144,1.485,8.7,1.1,4.6,7.9,1.71,1
Zach Stewart,24,5,5,.500,4.20,16,16,0,1,0,0,94.1,106,49,44,6,27,0,74,1,1,3,403,1.410,10.1,0.6,2.6,7.1,2.74,1
Ronald Uviedo,24,3,1,.750,4.29,26,0,7,0,0,1,35.2,37,17,17,3,13,0,39,0,1,3,154,1.402,9.3,0.8,3.3,9.8,3.00,0
