Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Ricardo Batista*,19,3,4,.429,4.73,12,12,0,0,0,0,53.1,49,31,28,2,34,0,47,5,1,13,237,1.556,8.3,0.3,5.7,7.9,1.38,0
Jamaine Cotton,20,4,1,.800,5.45,9,5,1,0,0,1,34.2,46,22,21,2,11,0,27,0,0,0,156,1.644,11.9,0.5,2.9,7.0,2.45,0
Zachary Dando,20,1,3,.250,4.91,19,0,8,0,0,3,33.0,23,21,18,3,10,0,35,3,0,0,136,1.000,6.3,0.8,2.7,9.5,3.50,0
Danilo Del Rio,20,1,2,.333,5.40,17,2,1,0,0,0,41.2,52,34,25,1,19,0,17,6,0,3,197,1.704,11.2,0.2,4.1,3.7,0.89,0
Adrian Houser,18,1,2,.333,4.56,6,6,0,0,0,0,25.2,25,16,13,1,15,0,19,0,0,5,115,1.558,8.8,0.4,5.3,6.7,1.27,1
Mark Jones,20,0,0,,6.75,16,0,8,0,0,0,24.0,31,22,18,3,14,0,20,2,0,1,122,1.875,11.6,1.1,5.3,7.5,1.43,0
Chris Lee*,18,1,5,.167,5.18,13,13,0,0,0,0,48.2,53,34,28,4,34,0,47,2,2,4,227,1.788,9.8,0.7,6.3,8.7,1.38,0
Steve Martin,23,2,0,1.000,6.00,16,0,8,0,0,1,24.0,23,18,16,5,10,0,18,2,0,5,105,1.375,8.6,1.9,3.8,6.8,1.80,0
Jeremiah Meiners*,22,2,3,.400,2.90,20,0,6,0,0,1,40.1,34,19,13,1,10,0,42,2,0,5,172,1.091,7.6,0.2,2.2,9.4,4.20,0
Juan Mojica,22,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,4,0.000,0.0,0.0,0.0,9.0,,0
Luis Ordosgoitti,18,2,4,.333,4.50,9,7,1,0,0,0,44.0,47,29,22,2,7,0,42,5,1,3,189,1.227,9.6,0.4,1.4,8.6,6.00,0
Jose Perdomo,19,0,4,.000,9.00,5,5,0,0,0,0,18.0,33,22,18,4,8,0,21,0,1,5,95,2.278,16.5,2.0,4.0,10.5,2.63,0
Tyson Perez,21,2,5,.286,5.07,13,13,0,0,0,0,55.0,62,37,31,10,13,0,49,1,2,3,237,1.364,10.1,1.6,2.1,8.0,3.77,0
Brad Propst,22,1,3,.250,5.71,17,1,7,0,0,1,34.2,39,28,22,2,10,0,37,1,0,3,159,1.413,10.1,0.5,2.6,9.6,3.70,0
Rodney Quintero,21,0,1,.000,5.97,16,0,1,0,0,0,28.2,28,28,19,3,16,0,32,13,0,6,144,1.535,8.8,0.9,5.0,10.0,2.00,0
Francis Ramirez,19,1,1,.500,2.89,4,4,0,0,0,0,18.2,12,7,6,1,2,0,11,5,2,0,73,0.750,5.8,0.5,1.0,5.3,5.50,0
Paris Shewey*,22,1,5,.167,9.82,20,0,11,0,0,3,22.0,35,24,24,6,7,1,21,0,0,4,106,1.909,14.3,2.5,2.9,8.6,3.00,0
Matison Smith,23,2,0,1.000,2.65,21,0,12,0,0,3,34.0,40,16,10,3,9,2,45,2,0,1,153,1.441,10.6,0.8,2.4,11.9,5.00,0
Scott Zuloaga*,21,1,0,1.000,6.14,24,0,4,0,0,0,14.2,18,11,10,0,7,0,19,2,0,2,73,1.705,11.0,0.0,4.3,11.7,2.71,0
