Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Maxx Catapano,22,2,2,.500,5.65,20,0,11,0,0,2,28.2,34,19,18,3,11,0,29,2,1,5,132,1.570,10.7,0.9,3.5,9.1,2.64,0,2011,Rookie,SEA
Min-Sih Chen,21,5,4,.556,6.08,12,11,0,0,0,0,53.1,62,44,36,4,25,0,39,7,0,8,248,1.631,10.5,0.7,4.2,6.6,1.56,0,2011,Rookie,SEA
Ben Cornwell,22,0,0,,1.80,4,0,2,0,0,1,5.0,6,2,1,0,0,0,2,1,0,0,20,1.200,10.8,0.0,0.0,3.6,,0,2011,Rookie,SEA
Joshua Corrales,21,0,1,.000,0.00,11,0,8,0,0,6,13.0,3,1,0,0,6,0,10,0,0,1,48,0.692,2.1,0.0,4.2,6.9,1.67,0,2011,Rookie,SEA
Yunior De Jesus,22,6,3,.667,3.24,16,0,11,0,0,3,25.0,26,13,9,1,5,1,17,1,0,2,108,1.240,9.4,0.4,1.8,6.1,3.40,0,2011,Rookie,SEA
Roenis Elias*,22,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,1.000,9.0,0.0,0.0,0.0,,1,2011,Rookie,SEA
Steven Hensley,24,0,0,,5.40,1,1,0,0,0,0,5.0,5,3,3,1,2,0,3,0,0,0,20,1.400,9.0,1.8,3.6,5.4,1.50,0,2011,Rookie,SEA
David Holman,21,2,1,.667,5.04,16,1,2,0,0,0,30.1,36,29,17,4,7,0,19,6,0,3,143,1.418,10.7,1.2,2.1,5.6,2.71,0,2011,Rookie,SEA
Lars Huijer,17,0,1,.000,5.40,5,3,0,0,0,0,15.0,19,9,9,2,2,0,9,1,0,0,65,1.400,11.4,1.2,1.2,5.4,4.50,0,2011,Rookie,SEA
Charles Kaalekahi,19,3,4,.429,5.24,12,7,0,0,0,0,55.0,69,42,32,5,17,0,44,4,0,9,247,1.564,11.3,0.8,2.8,7.2,2.59,0,2011,Rookie,SEA
Kenn Kasparek,25,0,0,,5.00,3,3,0,0,0,0,9.0,14,6,5,0,2,0,8,2,0,0,46,1.778,14.0,0.0,2.0,8.0,4.00,0,2011,Rookie,SEA
Ryan Kiel*,24,0,0,,0.00,2,1,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,6,0.000,0.0,0.0,0.0,0.0,,0,2011,Rookie,SEA
Seon Gi Kim,19,1,0,1.000,0.00,3,0,0,0,0,0,9.0,3,0,0,0,4,0,7,0,0,2,35,0.778,3.0,0.0,4.0,7.0,1.75,0,2011,Rookie,SEA
Yoervis Medina,22,0,0,,7.20,1,1,0,0,0,0,5.0,7,4,4,1,1,0,9,0,0,1,22,1.600,12.6,1.8,1.8,16.2,9.00,1,2011,Rookie,SEA
Trevor Miller,20,2,2,.500,3.99,11,7,0,0,0,0,49.2,60,26,22,2,12,0,36,2,0,6,215,1.450,10.9,0.4,2.2,6.5,3.00,0,2011,Rookie,SEA
Jochi Ogando,18,1,4,.200,5.84,8,5,0,0,0,0,24.2,23,19,16,1,25,0,15,2,2,8,124,1.946,8.4,0.4,9.1,5.5,0.60,0,2011,Rookie,SEA
Brandon Plotz,20,0,0,,4.96,10,0,3,0,0,0,16.1,15,12,9,1,11,0,19,2,0,3,81,1.592,8.3,0.6,6.1,10.5,1.73,0,2011,Rookie,SEA
Marcos Reyna,21,2,3,.400,4.18,17,0,1,0,0,0,32.1,32,25,15,2,16,0,31,0,0,7,149,1.485,8.9,0.6,4.5,8.6,1.94,0,2011,Rookie,SEA
Scott Ronnenbergh*,19,1,0,1.000,5.90,16,1,6,0,0,0,29.0,42,24,19,2,13,0,23,0,0,4,140,1.897,13.0,0.6,4.0,7.1,1.77,0,2011,Rookie,SEA
Gabe Saquilon,18,0,2,.000,5.32,9,3,1,0,0,0,22.0,27,13,13,0,10,0,19,0,0,5,100,1.682,11.0,0.0,4.1,7.8,1.90,0,2011,Rookie,SEA
Alex Sunderland,21,0,2,.000,4.91,17,0,9,0,0,3,22.0,23,15,12,4,7,0,27,0,0,4,98,1.364,9.4,1.6,2.9,11.0,3.86,0,2011,Rookie,SEA
Nick Valenza*,18,0,2,.000,7.90,11,4,0,0,0,0,27.1,29,27,24,2,28,0,20,0,0,9,131,2.085,9.5,0.7,9.2,6.6,0.71,0,2011,Rookie,SEA
Ben Versnik,22,0,0,,0.00,4,4,0,0,0,0,4.0,3,0,0,0,2,0,3,0,0,0,17,1.250,6.8,0.0,4.5,6.8,1.50,0,2011,Rookie,SEA
Richard White,18,0,0,,4.09,5,2,2,0,0,0,11.0,10,5,5,1,7,0,13,2,0,2,50,1.545,8.2,0.8,5.7,10.6,1.86,0,2011,Rookie,SEA
Ernesto Zaragoza,18,0,0,,11.12,2,2,0,0,0,0,5.2,7,10,7,1,6,0,8,2,0,3,32,2.294,11.1,1.6,9.5,12.7,1.33,0,2011,Rookie,SEA
