Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Joan Belliard,22,1,1,.500,4.82,17,0,7,0,0,0,18.2,19,15,10,2,11,0,17,5,0,5,92,1.607,9.2,1.0,5.3,8.2,1.55,0
Travis Blankenship*,23,1,2,.333,3.90,21,0,7,0,0,0,30.0,24,20,13,2,8,0,28,3,0,2,128,1.067,7.2,0.6,2.4,8.4,3.50,0
Kristian Bueno*,22,1,3,.250,6.10,17,0,6,0,0,0,20.2,26,19,14,2,19,0,18,2,0,2,116,2.177,11.3,0.9,8.3,7.8,0.95,0
Garrett Bullock*,25,0,0,,2.51,22,0,4,0,0,0,32.1,25,10,9,2,15,0,30,3,2,1,133,1.237,7.0,0.6,4.2,8.4,2.00,0
Adam Champion*,23,4,1,.800,3.35,14,5,0,0,0,0,45.2,45,19,17,2,14,0,31,0,0,0,191,1.292,8.9,0.4,2.8,6.1,2.21,0
Ryan Cole,23,1,1,.500,2.33,26,0,22,0,0,10,27.0,30,12,7,0,6,0,25,1,0,4,118,1.333,10.0,0.0,2.0,8.3,4.17,0
Jamaine Cotton,20,2,1,.667,3.68,5,5,0,0,0,0,22.0,25,10,9,1,5,0,14,0,0,1,93,1.364,10.2,0.4,2.0,5.7,2.80,0
Dayan Diaz,22,7,3,.700,1.98,19,1,5,0,0,2,50.0,27,17,11,0,30,0,70,5,0,2,209,1.140,4.9,0.0,5.4,12.6,2.33,1
Jonas Dufek,23,3,4,.429,3.71,11,11,0,1,0,0,51.0,55,28,21,2,16,0,37,8,0,2,224,1.392,9.7,0.4,2.8,6.5,2.31,0
Murilo Gouvea,22,0,1,.000,10.13,1,1,0,0,0,0,2.2,6,5,3,0,0,0,3,0,0,1,15,2.250,20.3,0.0,0.0,10.1,,0
Kyle Hallock*,22,3,4,.429,2.63,13,13,0,0,0,0,61.2,58,29,18,3,17,0,61,0,0,1,263,1.216,8.5,0.4,2.5,8.9,3.59,0
Brad James,27,1,0,1.000,3.18,5,0,0,0,0,0,5.2,4,2,2,0,3,0,8,1,0,3,25,1.235,6.4,0.0,4.8,12.7,2.67,0
Mitchell Lambson*,20,2,6,.250,4.33,22,0,10,0,0,2,35.1,33,19,17,4,8,0,39,2,1,2,149,1.160,8.4,1.0,2.0,9.9,4.88,0
Luis Ordosgoitti,18,0,0,,12.00,1,1,0,0,0,0,3.0,7,4,4,0,2,0,2,0,0,1,17,3.000,21.0,0.0,6.0,6.0,1.00,0
Juri Perez,20,1,6,.143,5.48,15,15,0,0,0,0,67.1,85,44,41,7,24,0,67,6,1,2,308,1.619,11.4,0.9,3.2,9.0,2.79,0
Euris Quezada,22,1,3,.250,6.95,9,9,0,0,0,0,33.2,45,32,26,1,24,0,24,3,1,10,170,2.050,12.0,0.3,6.4,6.4,1.00,0
Ebert Rosario,24,0,2,.000,3.42,18,0,10,0,0,1,23.2,26,12,9,2,14,0,27,1,1,3,114,1.690,9.9,0.8,5.3,10.3,1.93,0
Tommy Shirley*,22,0,0,,0.00,2,0,0,0,0,0,6.0,3,0,0,0,1,0,9,0,0,0,20,0.667,4.5,0.0,1.5,13.5,9.00,0
Travis Smink*,24,2,2,.500,4.37,23,0,3,0,0,1,45.1,52,25,22,5,8,0,33,2,0,1,191,1.324,10.3,1.0,1.6,6.6,4.13,0
Nick Tropeano,20,3,2,.600,2.36,12,12,0,0,0,0,53.1,42,18,14,1,21,0,63,1,1,6,222,1.181,7.1,0.2,3.5,10.6,3.00,1
Andrew Walter,20,0,0,,3.00,2,2,0,0,0,0,6.0,6,3,2,0,4,0,8,3,0,3,30,1.667,9.0,0.0,6.0,12.0,2.00,0
