Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Fernando Abad*,26,2,0,1.000,3.90,13,3,3,0,0,2,27.2,33,12,12,3,7,1,28,1,2,0,121,1.446,10.7,1.0,2.3,9.1,4.00,1,2012,AAA,HOU
Juan Abreu,27,2,3,.400,7.09,38,0,18,0,0,5,45.2,46,37,36,12,34,2,54,3,1,2,215,1.752,9.1,2.4,6.7,10.6,1.59,1,2012,AAA,HOU
Hector Ambriz,28,1,1,.500,3.33,18,0,7,0,0,2,24.1,28,9,9,1,11,3,18,1,0,1,108,1.603,10.4,0.4,4.1,6.7,1.64,1,2012,AAA,HOU
Jonnathan Aristil,25,0,0,,6.75,21,0,8,0,0,0,29.1,38,24,22,5,11,0,26,2,0,5,134,1.670,11.7,1.5,3.4,8.0,2.36,0,2012,AAA,HOU
Brian Bass,30,2,5,.286,5.56,17,13,1,0,0,0,77.2,105,59,48,9,34,3,46,6,0,7,367,1.790,12.2,1.0,3.9,5.3,1.35,1,2012,AAA,HOU
Jake Buchanan,22,0,1,.000,10.13,3,1,0,0,0,0,8.0,17,10,9,1,5,0,5,0,0,1,43,2.750,19.1,1.1,5.6,5.6,1.00,1,2012,AAA,HOU
David Carpenter,26,1,0,1.000,2.08,7,0,5,0,0,3,8.2,7,2,2,1,0,0,6,0,0,0,33,0.808,7.3,1.0,0.0,6.2,,1,2012,AAA,HOU
Xavier Cedeno*,25,2,0,1.000,2.28,22,0,5,0,0,1,27.2,27,16,7,0,9,2,25,2,0,1,122,1.301,8.8,0.0,2.9,8.1,2.78,1,2012,AAA,HOU
Jose Cisnero,23,4,1,.800,4.54,8,8,0,0,0,0,39.2,52,23,20,1,18,0,32,3,0,1,182,1.765,11.8,0.2,4.1,7.3,1.78,1,2012,AAA,HOU
Paul Clemens,24,8,8,.500,6.73,20,20,0,0,0,0,101.2,145,82,76,16,32,2,68,2,2,4,470,1.741,12.8,1.4,2.8,6.0,2.13,1,2012,AAA,HOU
Jarred Cosart,22,1,2,.333,2.60,6,5,0,0,0,0,27.2,26,10,8,0,13,0,24,1,1,3,118,1.410,8.5,0.0,4.2,7.8,1.85,1,2012,AAA,HOU
Rhiner Cruz,25,0,0,,5.40,2,0,1,0,0,0,1.2,1,2,1,0,1,0,3,1,0,0,7,1.200,5.4,0.0,5.4,16.2,3.00,1,2012,AAA,HOU
Enerio Del Rosario,26,4,1,.800,5.01,36,0,9,0,0,1,41.1,43,25,23,5,20,2,18,2,0,3,187,1.524,9.4,1.1,4.4,3.9,0.90,1,2012,AAA,HOU
C.J. Fick,26,1,1,.500,9.82,5,0,2,0,0,1,3.2,3,4,4,0,2,1,3,1,0,0,16,1.364,7.4,0.0,4.9,7.4,1.50,1,2012,AAA,HOU
Adalberto Flores,25,6,1,.857,7.54,37,0,9,0,0,0,45.1,61,39,38,10,21,7,33,4,0,2,216,1.809,12.1,2.0,4.2,6.6,1.57,0,2012,AAA,HOU
Armando Galarraga,30,3,2,.600,4.12,9,9,0,0,0,0,43.2,37,20,20,7,18,1,31,4,0,3,188,1.260,7.6,1.4,3.7,6.4,1.72,1,2012,AAA,HOU
Edgar Gonzalez,29,1,0,1.000,0.69,2,2,0,0,0,0,13.0,6,2,1,0,2,0,8,1,0,1,48,0.615,4.2,0.0,1.4,5.5,4.00,1,2012,AAA,HOU
Mark Hamburger,25,1,1,.500,4.71,17,0,5,0,0,0,21.0,21,12,11,2,12,1,15,1,0,1,96,1.571,9.0,0.9,5.1,6.4,1.25,1,2012,AAA,HOU
Chris Hicks,25,0,0,,5.14,6,0,2,0,0,0,7.0,9,4,4,0,2,0,10,0,0,0,32,1.571,11.6,0.0,2.6,12.9,5.00,0,2012,AAA,HOU
Dallas Keuchel*,24,6,4,.600,3.90,16,16,0,2,1,0,92.1,92,46,40,5,20,3,50,0,1,1,375,1.213,9.0,0.5,1.9,4.9,2.50,1,2012,AAA,HOU
Jordan Kreke,25,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,1.000,0.0,0.0,9.0,9.0,1.00,0,2012,AAA,HOU
Wilton Lopez,28,0,0,,13.50,2,0,0,0,0,0,2.0,4,4,3,2,0,0,1,0,0,0,11,2.000,18.0,9.0,0.0,4.5,,1,2012,AAA,HOU
Jordan Lyles,21,5,0,1.000,3.54,7,7,0,0,0,0,40.2,41,16,16,2,8,0,33,6,0,1,168,1.205,9.1,0.4,1.8,7.3,4.13,1,2012,AAA,HOU
Garrett Mock,29,0,0,,5.54,12,0,7,0,0,1,13.0,15,8,8,1,5,2,15,0,0,1,57,1.538,10.4,0.7,3.5,10.4,3.00,1,2012,AAA,HOU
Wes Musick*,25,1,2,.333,3.64,6,6,0,0,0,0,29.2,32,15,12,1,9,1,15,0,0,0,127,1.382,9.7,0.3,2.7,4.6,1.67,0,2012,AAA,HOU
Bud Norris,27,1,0,1.000,3.60,1,1,0,0,0,0,5.0,3,2,2,2,3,0,7,0,0,0,21,1.200,5.4,3.6,5.4,12.6,2.33,1,2012,AAA,HOU
Brett Oberholtzer*,22,5,7,.417,4.52,15,15,0,0,0,0,89.2,105,48,45,13,19,3,69,2,0,3,388,1.383,10.5,1.3,1.9,6.9,3.63,1,2012,AAA,HOU
Rudy Owens*,24,2,3,.400,4.34,8,8,0,0,0,0,45.2,43,23,22,7,14,1,23,4,0,2,197,1.248,8.5,1.4,2.8,4.5,1.64,1,2012,AAA,HOU
Sergio Perez,27,4,2,.667,4.54,40,4,7,0,0,0,75.1,79,41,38,8,37,2,59,3,0,3,335,1.540,9.4,1.0,4.4,7.0,1.59,0,2012,AAA,HOU
Aneury Rodriguez,24,4,7,.364,6.60,29,13,2,0,0,0,92.2,130,71,68,10,44,6,75,1,1,7,443,1.878,12.6,1.0,4.3,7.3,1.70,1,2012,AAA,HOU
Brian Sanches,33,2,3,.400,6.57,12,0,3,0,0,0,12.1,16,9,9,3,2,0,10,0,1,0,55,1.459,11.7,2.2,1.5,7.3,5.00,1,2012,AAA,HOU
Ross Seaton,22,0,1,.000,3.09,4,4,0,0,0,0,23.1,24,11,8,2,7,2,11,2,0,0,102,1.329,9.3,0.8,2.7,4.2,1.57,0,2012,AAA,HOU
JB Shuck*,25,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,2,0.000,0.0,0.0,0.0,0.0,,1,2012,AAA,HOU
Henry Sosa,26,2,0,1.000,5.12,6,6,0,0,0,0,31.2,37,21,18,2,10,0,21,0,0,0,141,1.484,10.5,0.6,2.8,6.0,2.10,1,2012,AAA,HOU
Mickey Storey,26,7,4,.636,3.05,38,2,9,0,0,2,65.0,62,24,22,8,14,1,72,3,1,3,273,1.169,8.6,1.1,1.9,10.0,5.14,1,2012,AAA,HOU
Jose Valdez,29,0,5,.000,4.95,46,0,36,0,0,21,43.2,53,27,24,5,12,5,59,1,0,6,205,1.489,10.9,1.0,2.5,12.2,4.92,1,2012,AAA,HOU
