Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Chase Brewer,22,1,0,1.000,11.12,5,0,2,0,0,0,5.2,8,7,7,2,1,0,10,1,0,1,27,1.588,12.7,3.2,1.6,15.9,10.00,0
Josh Collmenter,26,0,0,,0.00,3,3,0,0,0,0,8.0,5,0,0,0,0,0,11,0,0,0,28,0.625,5.6,0.0,0.0,12.4,,1
Ben Eckels,18,4,3,.571,4.13,11,9,0,0,0,0,52.1,50,31,24,1,23,0,56,1,0,10,228,1.395,8.6,0.2,4.0,9.6,2.43,0
Jeff Gibbs,21,0,4,.000,12.66,10,7,0,0,0,0,21.1,24,37,30,2,35,0,18,6,0,22,128,2.766,10.1,0.8,14.8,7.6,0.51,0
Francisco Guzman*,22,2,2,.500,5.09,8,1,2,0,0,1,17.2,20,13,10,0,7,0,16,2,3,1,78,1.528,10.2,0.0,3.6,8.2,2.29,0
Tanner Hamilton,23,1,0,1.000,6.26,15,0,5,0,0,1,23.0,28,16,16,0,11,0,32,0,1,2,106,1.696,11.0,0.0,4.3,12.5,2.91,0
Luis Hernandez,20,4,4,.500,4.71,13,12,0,1,0,0,65.0,62,44,34,4,28,1,53,5,2,9,287,1.385,8.6,0.6,3.9,7.3,1.89,0
Will Locante*,22,0,1,.000,5.02,13,0,9,0,0,6,14.1,14,14,8,1,4,0,21,0,0,4,64,1.256,8.8,0.6,2.5,13.2,5.25,0
Harry Marino*,21,2,0,1.000,2.60,16,0,5,0,0,0,17.1,13,5,5,0,10,0,19,2,0,3,75,1.327,6.8,0.0,5.2,9.9,1.90,0
Donny Medlinger,21,1,0,1.000,0.38,18,0,13,0,0,4,23.2,14,4,1,0,5,0,29,1,0,2,90,0.803,5.3,0.0,1.9,11.0,5.80,0
Eric Meyerchick,22,3,2,.600,5.48,18,0,6,0,0,2,23.0,28,16,14,2,8,0,23,0,0,8,105,1.565,11.0,0.8,3.1,9.0,2.88,0
Kyle Owings,22,0,0,,4.50,2,0,0,0,0,0,4.0,3,2,2,0,0,0,5,0,0,1,15,0.750,6.8,0.0,0.0,11.3,,0
Geordy Parra,18,1,4,.200,5.45,12,7,1,0,0,0,39.2,52,32,24,3,19,0,37,2,1,13,188,1.790,11.8,0.7,4.3,8.4,1.95,0
Austin Platt,20,2,3,.400,4.46,7,5,1,0,0,0,36.1,35,23,18,3,14,0,38,1,0,6,157,1.349,8.7,0.7,3.5,9.4,2.71,0
Andrew Potter,18,3,0,1.000,4.33,13,2,1,0,0,0,54.0,50,30,26,2,25,0,43,10,2,12,240,1.389,8.3,0.3,4.2,7.2,1.72,0
Jonathan Pulley,19,2,4,.333,5.30,15,4,5,0,0,0,37.1,41,29,22,4,15,0,42,0,0,10,170,1.500,9.9,1.0,3.6,10.1,2.80,0
Takashi Saito,42,0,0,,0.00,4,4,0,0,0,0,4.0,2,0,0,0,0,0,4,0,0,0,13,0.500,4.5,0.0,0.0,9.0,,1
Joe Saunders*,31,0,1,.000,6.23,1,1,0,0,0,0,4.1,3,5,3,0,5,0,7,0,0,0,22,1.846,6.2,0.0,10.4,14.5,1.40,1
Karl Triana,19,1,0,1.000,0.00,1,1,0,0,0,0,5.0,4,1,0,0,0,0,10,0,0,1,21,0.800,7.2,0.0,0.0,18.0,,0
Elroy Urbina*,22,0,1,.000,4.21,17,0,5,0,0,0,25.2,33,21,12,0,17,0,16,3,0,6,130,1.948,11.6,0.0,6.0,5.6,0.94,0
