Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Orangel Arenas,24,1,5,.167,6.57,6,6,0,0,0,0,24.2,34,25,18,4,14,0,8,1,0,2,121,1.946,12.4,1.5,5.1,2.9,0.57,0,2013,AAA,LAA
Jeremy Berg,26,5,0,1.000,2.71,52,0,9,0,0,1,76.1,69,24,23,6,17,0,69,5,0,0,313,1.127,8.1,0.7,2.0,8.1,4.06,0,2013,AAA,LAA
Buddy Boshers*,25,1,0,1.000,3.66,16,0,2,0,0,1,19.2,18,11,8,1,12,1,26,0,1,3,88,1.525,8.2,0.5,5.5,11.9,2.17,1,2013,AAA,LAA
Ryan Brasier,25,5,2,.714,4.13,38,0,22,0,0,10,56.2,69,31,26,6,16,1,57,0,0,3,252,1.500,11.0,1.0,2.5,9.1,3.56,1,2013,AAA,LAA
Billy Buckner,29,7,4,.636,4.87,18,18,0,0,0,0,94.1,101,61,51,7,50,0,77,2,1,4,426,1.601,9.6,0.7,4.8,7.3,1.54,1,2013,AAA,LAA
Fernando Cabrera,31,1,3,.250,3.47,54,3,12,0,0,1,72.2,71,37,28,10,35,1,71,4,1,8,326,1.459,8.8,1.2,4.3,8.8,2.03,1,2013,AAA,LAA
David Carpenter,25,5,1,.833,9.48,24,0,5,0,0,2,31.1,42,35,33,4,27,0,31,0,0,4,162,2.202,12.1,1.1,7.8,8.9,1.15,1,2013,AAA,LAA
Eric Cendejas,25,0,0,,4.50,5,2,0,0,0,0,12.0,18,6,6,0,4,0,5,0,0,0,55,1.833,13.5,0.0,3.0,3.8,1.25,0,2013,AAA,LAA
Robert Coello,28,1,0,1.000,4.82,15,0,9,0,0,4,18.2,15,10,10,1,11,0,29,1,0,0,83,1.393,7.2,0.5,5.3,14.0,2.64,1,2013,AAA,LAA
Chad Cordero,31,2,3,.400,5.44,52,0,20,0,0,2,49.2,64,31,30,5,11,1,39,4,0,0,222,1.510,11.6,0.9,2.0,7.1,3.55,1,2013,AAA,LAA
Dane De La Rosa,30,1,0,1.000,2.70,3,0,1,0,0,1,3.1,1,1,1,0,2,0,1,0,0,0,12,0.900,2.7,0.0,5.4,2.7,0.50,1,2013,AAA,LAA
Rob Delaney,28,1,0,1.000,5.14,13,1,3,0,0,0,21.0,24,14,12,1,8,0,13,2,0,1,94,1.524,10.3,0.4,3.4,5.6,1.63,1,2013,AAA,LAA
