Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Geison Aguasviva*,25,4,4,.500,5.12,33,0,5,0,0,1,45.2,57,29,26,5,25,1,22,3,1,6,207,1.796,11.2,1.0,4.9,4.3,0.88,0
Steve Ames,25,2,2,.500,3.67,30,0,17,0,0,8,34.1,45,20,14,4,13,1,29,1,0,1,158,1.689,11.8,1.0,3.4,7.6,2.23,1
Chris Capuano*,34,0,0,,1.93,2,2,0,0,0,0,9.1,8,2,2,0,3,0,9,0,0,1,38,1.179,7.7,0.0,2.9,8.7,3.00,1
Angel Castro,30,8,5,.615,3.48,25,19,1,0,0,0,116.1,123,50,45,7,37,2,91,4,0,5,501,1.375,9.5,0.5,2.9,7.0,2.46,1
Kyle Cofield,26,0,0,,36.00,1,0,0,0,0,0,1.0,3,4,4,2,1,0,0,0,0,0,7,4.000,27.0,18.0,9.0,0.0,0.00,0
Kelvin De La Cruz*,24,3,1,.750,2.89,47,0,18,0,0,7,62.1,62,23,20,3,35,1,78,0,0,6,284,1.556,9.0,0.4,5.1,11.3,2.23,0
Jose Dominguez,22,1,0,1.000,0.00,8,0,2,0,0,0,8.0,1,0,0,0,5,0,12,0,0,2,30,0.750,1.1,0.0,5.6,13.5,2.40,1
Stephen Fife,26,2,4,.333,6.03,10,8,0,0,0,0,37.1,46,31,25,3,21,0,33,4,0,4,177,1.795,11.1,0.7,5.1,8.0,1.57,1
Onelki García*,23,0,1,.000,3.72,10,0,1,0,0,0,9.2,6,4,4,0,3,0,14,1,0,1,38,0.931,5.6,0.0,2.8,13.0,4.67,1
Elevys Gonzalez,23,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,1.000,9.0,0.0,0.0,0.0,,0
Javy Guerra,27,0,4,.000,3.66,27,4,22,0,0,12,39.1,46,18,16,6,14,0,36,2,0,3,174,1.525,10.5,1.4,3.2,8.2,2.57,1
Gregory Infante,25,0,0,,13.50,1,0,0,0,0,0,2.0,2,3,3,0,3,0,2,1,0,0,12,2.500,9.0,0.0,13.5,9.0,0.67,1
Blake Johnson,28,6,6,.500,4.77,22,16,2,1,0,0,94.1,102,56,50,8,29,0,82,5,0,3,415,1.389,9.7,0.8,2.8,7.8,2.83,0
Aaron Laffey*,28,4,3,.571,5.61,12,11,0,0,0,0,61.0,72,40,38,12,22,0,29,3,0,0,274,1.541,10.6,1.8,3.2,4.3,1.32,1
Ted Lilly*,37,0,1,.000,7.50,1,1,0,0,0,0,6.0,8,6,5,1,1,0,5,0,0,0,27,1.500,12.0,1.5,1.5,7.5,5.00,1
Matt Magill,23,6,2,.750,3.47,18,16,1,0,0,0,85.2,72,34,33,7,50,0,101,1,2,5,362,1.424,7.6,0.7,5.3,10.6,2.02,1
Peter Moylan,34,4,1,.800,2.74,38,0,21,0,0,4,46.0,38,14,14,1,20,3,45,2,1,0,190,1.261,7.4,0.2,3.9,8.8,2.25,1
Anthony Ortega,27,4,4,.500,4.79,39,1,11,0,0,0,62.0,62,34,33,9,29,0,49,3,0,5,271,1.468,9.0,1.3,4.2,7.1,1.69,1
Matt Palmer,34,6,8,.429,3.84,25,22,1,0,0,0,133.2,127,65,57,15,56,0,131,12,0,4,579,1.369,8.6,1.0,3.8,8.8,2.34,1
Red Patterson,26,7,4,.636,3.03,39,12,4,0,0,1,107.0,99,45,36,14,49,0,109,2,0,4,456,1.383,8.3,1.2,4.1,9.2,2.22,1
Rob Rasmussen*,24,0,7,.000,6.46,12,10,0,0,0,0,54.1,64,42,39,10,32,0,37,3,0,2,257,1.767,10.6,1.7,5.3,6.1,1.16,1
Jonathan Sanchez*,30,7,3,.700,5.13,14,14,0,1,0,0,66.2,72,40,38,12,42,0,79,3,0,3,307,1.710,9.7,1.6,5.7,10.7,1.88,1
Steve Smith,27,1,0,1.000,3.72,14,1,4,0,0,0,29.0,36,16,12,3,17,0,21,2,0,0,140,1.828,11.2,0.9,5.3,6.5,1.24,0
Shawn Tolleson,25,0,0,,0.00,3,0,2,0,0,2,5.2,2,0,0,0,2,0,6,0,0,0,19,0.706,3.2,0.0,3.2,9.5,3.00,1
Luis Vasquez,27,0,0,,1.69,7,0,1,0,0,0,10.2,12,2,2,0,5,0,12,1,0,1,46,1.594,10.1,0.0,4.2,10.1,2.40,0
Josh Wall,26,1,2,.333,5.60,25,0,11,0,0,3,27.1,27,19,17,3,16,1,25,0,0,6,121,1.573,8.9,1.0,5.3,8.2,1.56,1
Sean White,32,6,6,.500,3.51,34,7,6,0,0,0,74.1,72,31,29,5,43,0,43,3,0,4,322,1.547,8.7,0.6,5.2,5.2,1.00,1
Brian Wilson,31,0,0,,0.00,3,0,0,0,0,0,3.1,1,0,0,0,0,0,2,0,0,0,11,0.300,2.7,0.0,0.0,5.4,,1
Chris Withrow,24,4,0,1.000,1.71,25,0,11,0,0,0,26.1,25,10,5,0,13,0,33,0,0,2,115,1.443,8.5,0.0,4.4,11.3,2.54,1
