Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Corey Baker,24,1,0,1.000,5.79,7,1,2,0,0,0,14.0,20,9,9,3,4,0,7,0,0,1,63,1.714,12.9,1.9,2.6,4.5,1.75,0
Jeremy Berg,27,2,0,1.000,1.27,16,0,7,0,0,0,21.1,13,3,3,1,6,0,26,1,0,1,79,0.891,5.5,0.4,2.5,11.0,4.33,0
Logan Billbrough,24,1,1,.500,7.50,25,0,7,0,0,0,30.0,40,29,25,5,16,0,28,0,0,1,143,1.867,12.0,1.5,4.8,8.4,1.75,0
Seth Blair,25,5,7,.417,5.99,26,11,5,0,0,1,73.2,78,53,49,9,51,2,48,8,1,11,340,1.751,9.5,1.1,6.2,5.9,0.94,0
Jonathan Cornelius*,26,11,9,.550,3.99,26,24,0,1,0,0,144.1,143,71,64,19,39,1,98,6,0,3,610,1.261,8.9,1.2,2.4,6.1,2.51,0
Joey Donofrio,25,3,3,.500,0.87,43,0,25,0,0,16,51.2,31,9,5,1,17,2,65,1,0,2,201,0.929,5.4,0.2,3.0,11.3,3.82,0
Anthony Ferrara*,24,2,1,.667,4.80,17,0,5,0,0,0,30.0,30,16,16,8,10,0,18,2,0,1,128,1.333,9.0,2.4,3.0,5.4,1.80,0
Jaime Garcia*,27,0,0,,9.00,1,1,0,0,0,0,2.0,3,2,2,1,1,0,2,0,0,0,8,2.000,13.5,4.5,4.5,9.0,2.00,1
Sam Gaviglio,24,5,12,.294,4.28,25,24,0,0,0,0,136.2,153,79,65,8,46,2,126,9,3,12,604,1.456,10.1,0.5,3.0,8.3,2.74,1
Marco Gonzales*,22,3,2,.600,2.33,7,7,0,0,0,0,38.2,33,14,10,2,10,1,46,0,0,2,160,1.112,7.7,0.5,2.3,10.7,4.60,1
Kyle Hald*,25,11,4,.733,3.81,24,23,0,0,0,0,137.0,142,64,58,18,45,0,105,4,1,9,587,1.365,9.3,1.2,3.0,6.9,2.33,0
Mitch Harris,28,2,0,1.000,3.92,33,0,12,0,0,1,43.2,38,19,19,5,13,1,34,0,0,5,180,1.168,7.8,1.0,2.7,7.0,2.62,1
Kurt Heyer,23,5,11,.313,4.63,25,25,0,0,0,0,140.0,144,83,72,18,38,1,103,7,0,8,597,1.300,9.3,1.2,2.4,6.6,2.71,0
Dean Kiekhefer*,25,0,2,.000,4.30,15,0,11,0,0,7,14.2,18,10,7,2,1,0,10,0,1,0,61,1.295,11.0,1.2,0.6,6.1,10.00,1
Dixon Llorens,21,0,0,,12.46,5,0,1,0,0,0,4.1,5,6,6,0,7,0,6,1,1,1,24,2.769,10.4,0.0,14.5,12.5,0.86,0
Tyler Lyons*,26,0,0,,4.50,1,1,0,0,0,0,2.0,3,1,1,0,0,0,3,0,0,0,9,1.500,13.5,0.0,0.0,13.5,,1
Mike Mayers,22,6,5,.545,2.83,13,13,0,0,0,0,76.1,81,29,24,2,23,0,52,4,1,2,325,1.362,9.6,0.2,2.7,6.1,2.26,1
Danny Miranda*,23,0,0,,5.25,11,0,5,0,0,0,12.0,9,7,7,1,5,1,7,1,0,2,51,1.167,6.8,0.8,3.8,5.3,1.40,0
Jason Motte,32,0,0,,0.00,5,0,0,0,0,0,4.2,1,0,0,0,1,0,3,0,0,0,16,0.429,1.9,0.0,1.9,5.8,3.00,1
Iden Nazario*,25,0,0,,2.25,3,0,1,0,0,0,4.0,2,1,1,0,1,0,5,0,1,0,15,0.750,4.5,0.0,2.3,11.3,5.00,0
Nick Petree,23,0,0,,9.64,1,1,0,0,0,0,4.2,10,7,5,0,1,0,2,0,0,1,25,2.357,19.3,0.0,1.9,3.9,2.00,0
Zach Petrick,24,2,0,1.000,0.48,3,3,0,0,0,0,18.2,9,4,1,0,5,1,15,0,0,0,76,0.750,4.3,0.0,2.4,7.2,3.00,0
David Popkins,24,0,0,,27.00,1,0,1,0,0,0,1.0,2,3,3,1,1,0,1,0,0,0,6,3.000,18.0,9.0,9.0,9.0,1.00,0
Jimmy Reed*,23,1,1,.500,4.91,2,2,0,0,0,0,11.0,10,6,6,1,2,0,6,0,0,0,44,1.091,8.2,0.8,1.6,4.9,3.00,0
Ronnie Shaban,24,0,2,.000,7.66,24,0,9,0,0,2,24.2,37,22,21,4,8,0,19,1,0,2,117,1.824,13.5,1.5,2.9,6.9,2.38,0
Ryan Sherriff*,24,2,7,.222,2.64,40,3,8,0,0,2,64.2,63,21,19,3,19,3,48,1,0,3,265,1.268,8.8,0.4,2.6,6.7,2.53,1
Kevin Siegrist*,24,0,0,,0.00,5,0,0,0,0,0,4.2,4,0,0,0,3,0,3,0,0,0,21,1.500,7.7,0.0,5.8,5.8,1.00,1
Lee Stoppelman*,24,1,2,.333,5.00,37,0,13,0,0,4,36.0,36,23,20,3,15,0,45,9,0,2,167,1.417,9.0,0.8,3.8,11.3,3.00,0
Christopher Thomas,26,1,1,.500,1.63,19,0,6,0,0,0,27.2,18,6,5,1,6,0,24,0,0,0,106,0.867,5.9,0.3,2.0,7.8,4.00,0
Sam Tuivailala,21,2,1,.667,2.57,17,0,3,0,0,1,21.0,18,8,6,0,9,1,30,1,0,2,88,1.286,7.7,0.0,3.9,12.9,3.33,1
Michael Wacha,22,0,0,,0.00,1,1,0,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0,8,1.000,4.5,0.0,4.5,4.5,1.00,1
Justin Wright*,24,2,1,.667,1.50,31,0,18,0,0,9,36.0,24,6,6,1,11,1,35,1,0,0,137,0.972,6.0,0.3,2.8,8.8,3.18,0
