Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Yhonathan Barrios,22,0,1,.000,2.25,15,0,14,0,0,11,20.0,12,5,5,1,7,0,12,0,0,0,77,0.950,5.4,0.5,3.2,5.4,1.71,1
Matt Benedict,25,0,0,,1.69,4,0,2,0,0,1,10.2,10,2,2,1,2,0,4,0,0,1,42,1.125,8.4,0.8,1.7,3.4,2.00,0
Shane Carle,22,2,3,.400,3.60,10,10,0,0,0,0,55.0,55,29,22,3,13,0,36,6,1,0,239,1.236,9.0,0.5,2.1,5.9,2.77,1
Orlando Castro*,22,6,4,.600,3.17,17,16,1,0,0,0,93.2,79,33,33,5,11,0,68,6,0,2,363,0.961,7.6,0.5,1.1,6.5,6.18,0
Jason Creasy,22,8,9,.471,3.93,28,27,1,0,0,0,148.2,165,75,65,13,22,0,100,12,1,6,629,1.258,10.0,0.8,1.3,6.1,4.55,0
Tyler Glasnow,20,12,5,.706,1.74,23,23,0,0,0,0,124.1,74,29,24,3,57,0,157,3,2,5,493,1.054,5.4,0.2,4.1,11.4,2.75,1
Felipe Gonzalez,22,1,0,1.000,1.93,3,2,1,0,0,0,9.1,8,2,2,0,6,0,8,0,0,0,41,1.500,7.7,0.0,5.8,7.7,1.33,0
Walker Gourley,23,0,2,.000,40.50,4,0,4,0,0,0,1.1,6,7,6,1,2,0,1,1,0,0,14,6.000,40.5,6.8,13.5,6.8,0.50,0
Ryan Hafner,22,2,6,.250,4.31,34,0,10,0,0,0,77.1,76,46,37,3,37,0,54,4,1,12,342,1.461,8.8,0.3,4.3,6.3,1.46,0
Tom Harlan*,24,3,3,.500,2.49,21,0,7,0,0,1,50.2,52,23,14,1,9,0,41,1,0,3,216,1.204,9.2,0.2,1.6,7.3,4.56,0
Jeff Inman,26,2,0,1.000,4.15,8,0,2,0,0,0,8.2,10,4,4,1,2,0,5,0,0,0,38,1.385,10.4,1.0,2.1,5.2,2.50,0
John Kuchno,23,8,9,.471,3.56,26,26,0,0,0,0,144.0,136,64,57,3,58,0,62,9,0,8,601,1.347,8.5,0.2,3.6,3.9,1.07,0
Chad Kuhl,21,13,5,.722,3.46,28,28,0,0,0,0,153.1,141,67,59,9,42,0,100,15,0,3,626,1.193,8.3,0.5,2.5,5.9,2.38,1
Jeff Locke*,26,0,1,.000,3.00,1,1,0,0,0,0,6.0,5,2,2,1,1,0,10,0,0,0,24,1.000,7.5,1.5,1.5,15.0,10.00,1
Pat Ludwig,24,3,3,.500,3.84,20,6,4,0,0,2,68.0,70,34,29,7,19,0,51,1,0,2,291,1.309,9.3,0.9,2.5,6.8,2.68,0
Brett McKinney,23,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0.000,0.0,0.0,0.0,0.0,,0
Jhondaniel Medina,21,3,0,1.000,0.72,35,0,22,0,0,3,50.0,30,8,4,0,29,0,47,1,1,4,205,1.180,5.4,0.0,5.2,8.5,1.62,0
Joan Montero,25,2,0,1.000,5.79,9,0,4,0,0,1,18.2,22,12,12,0,11,0,11,0,0,1,83,1.768,10.6,0.0,5.3,5.3,1.00,0
A.J. Morris,27,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,1
Andy Otamendi*,22,0,0,,7.71,2,0,0,0,0,0,2.1,4,5,2,0,3,0,2,0,0,1,16,3.000,15.4,0.0,11.6,7.7,0.67,0
Stolmy Pimentel,24,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,0,2,0,0,0,6,0.500,0.0,0.0,4.5,9.0,2.00,1
Oderman Rocha,21,0,0,,0.00,1,0,0,0,0,0,2.1,4,2,0,0,0,0,2,0,0,0,12,1.714,15.4,0.0,0.0,7.7,,0
Robby Rowland,22,3,7,.300,6.05,24,0,17,0,0,1,38.2,43,27,26,5,10,0,21,2,0,3,167,1.371,10.0,1.2,2.3,4.9,2.10,0
Tyler Sample,25,1,0,1.000,6.11,10,0,3,0,0,0,17.2,18,13,12,1,12,0,20,1,0,1,83,1.698,9.2,0.5,6.1,10.2,1.67,0
Josh D. Smith*,24,4,2,.667,1.93,35,0,19,0,0,8,56.0,38,13,12,1,25,0,51,5,1,3,231,1.125,6.1,0.2,4.0,8.2,2.04,1
Bryton Trepagnier,22,4,1,.800,2.53,38,0,25,0,0,9,53.1,34,16,15,1,33,0,40,3,0,5,219,1.256,5.7,0.2,5.6,6.8,1.21,0
Tyler Waldron,25,1,0,1.000,0.00,6,0,2,0,0,2,9.2,3,0,0,0,1,0,10,1,0,0,32,0.414,2.8,0.0,0.9,9.3,10.00,0
