Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
David Aardsma,32,0,1,.000,4.50,2,0,0,0,0,0,2.0,3,1,1,0,1,0,2,0,0,0,10,2.000,13.5,0.0,4.5,9.0,2.00,1
Kevin Alexander,23,1,2,.333,1.85,20,0,12,0,0,3,24.1,28,9,5,2,2,0,20,1,0,1,106,1.233,10.4,0.7,0.7,7.4,10.00,0
Silas Bohannan,21,3,0,1.000,4.38,7,0,3,0,0,0,12.1,13,6,6,1,1,0,10,1,0,1,51,1.135,9.5,0.7,0.7,7.3,10.00,0
Juan Caballero,21,0,0,,1.50,5,0,2,0,0,1,6.0,3,1,1,1,0,0,6,0,0,0,21,0.500,4.5,1.5,0.0,9.0,,0
Steven De La Cruz,21,0,0,,3.75,15,0,4,0,0,0,24.0,25,12,10,1,5,0,21,1,0,1,100,1.250,9.4,0.4,1.9,7.9,4.20,0
Bryan Dobzanski,18,2,1,.667,2.67,8,4,1,0,0,0,27.0,18,11,8,1,7,0,17,1,1,1,105,0.926,6.0,0.3,2.3,5.7,2.43,0
Tyler Dunnington,22,3,2,.600,3.41,18,0,9,0,0,2,29.0,30,11,11,0,10,0,26,8,0,6,126,1.379,9.3,0.0,3.1,8.1,2.60,0
Jack Flaherty,18,1,1,.500,1.59,8,6,0,0,0,0,22.2,18,9,4,1,4,1,28,3,0,2,94,0.971,7.1,0.4,1.6,11.1,7.00,1
Nicholas Frey,22,1,0,1.000,4.85,10,1,2,0,0,1,13.0,12,8,7,0,7,0,12,0,0,3,60,1.462,8.3,0.0,4.8,8.3,1.71,0
Dylan Hawkins*,21,3,1,.750,3.13,18,4,5,0,0,0,31.2,29,15,11,0,11,0,25,3,0,2,131,1.263,8.2,0.0,3.1,7.1,2.27,0
Sasha Kuebel*,21,1,0,1.000,1.64,7,0,3,0,0,2,11.0,12,2,2,0,1,0,6,0,0,0,45,1.182,9.8,0.0,0.8,4.9,6.00,0
Julio Mateo,18,4,2,.667,5.19,6,6,0,0,0,0,34.2,34,20,20,3,7,0,28,3,1,3,145,1.183,8.8,0.8,1.8,7.3,4.00,0
Yeison Medina,21,4,1,.800,1.64,19,0,8,0,0,3,33.0,29,7,6,0,8,0,31,2,0,1,134,1.121,7.9,0.0,2.2,8.5,3.88,0
Andrew Morales,21,0,1,.000,3.60,3,2,0,0,0,0,5.0,2,3,2,1,3,0,6,0,0,1,21,1.000,3.6,1.8,5.4,10.8,2.00,0
Frederis Parra,19,3,2,.600,2.70,10,9,0,0,0,0,46.2,43,18,14,1,15,0,34,3,3,1,194,1.243,8.3,0.2,2.9,6.6,2.27,0
Andrew Reidt,22,4,1,.800,4.15,16,2,1,0,0,0,30.1,28,18,14,1,3,0,24,4,0,3,128,1.022,8.3,0.3,0.9,7.1,8.00,0
Jorge Rodriguez,20,4,0,1.000,0.98,5,5,0,2,1,0,27.2,13,3,3,0,7,0,21,0,0,4,101,0.723,4.2,0.0,2.3,6.8,3.00,0
Ramon Santos,19,1,2,.333,4.50,9,6,0,0,0,0,32.0,29,17,16,2,16,0,27,2,0,2,135,1.406,8.2,0.6,4.5,7.6,1.69,0
Joe Scanio,24,0,0,,0.00,1,0,1,0,0,0,1.2,2,0,0,0,1,0,2,0,0,0,7,1.800,10.8,0.0,5.4,10.8,2.00,0
Jery Then,19,1,1,.500,0.87,12,1,6,0,0,2,20.2,11,2,2,1,5,0,23,0,1,1,75,0.774,4.8,0.4,2.2,10.0,4.60,0
Davis Ward,22,1,0,1.000,1.69,5,2,0,0,0,0,16.0,19,4,3,0,0,0,10,0,0,1,65,1.188,10.7,0.0,0.0,5.6,,0
Luke Weaver,20,0,0,,0.00,4,4,0,0,0,0,6.0,4,0,0,0,0,0,9,1,0,0,22,0.667,6.0,0.0,0.0,13.5,,1
Ronnie Williams,18,0,5,.000,4.71,10,8,1,0,0,1,36.1,39,22,19,1,9,0,30,4,0,4,158,1.321,9.7,0.2,2.2,7.4,3.33,0
