Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Dan Altavilla,21,5,3,.625,4.36,14,14,0,0,0,0,66.0,74,36,32,7,32,0,66,4,0,4,293,1.606,10.1,1.0,4.4,9.0,2.06,1,2014,Short-Season A,SEA
Brett Ash,23,2,1,.667,3.58,8,0,2,0,0,0,27.2,22,11,11,0,12,0,23,3,0,3,114,1.229,7.2,0.0,3.9,7.5,1.92,0,2014,Short-Season A,SEA
Logan Bawcom,25,0,0,,0.00,2,0,1,0,0,1,2.0,0,0,0,0,2,0,3,0,0,0,8,1.000,0.0,0.0,9.0,13.5,1.50,0,2014,Short-Season A,SEA
Hawtin Buchanan,21,2,0,1.000,2.97,19,0,3,0,0,0,30.1,26,10,10,3,25,0,45,2,0,5,139,1.681,7.7,0.9,7.4,13.4,1.80,0,2014,Short-Season A,SEA
Ramire Cleto,21,3,2,.600,4.97,14,7,1,0,0,0,63.1,78,41,35,1,22,0,38,7,1,13,286,1.579,11.1,0.1,3.1,5.4,1.73,0,2014,Short-Season A,SEA
Trey Cochran-Gill,21,2,0,1.000,0.00,7,0,6,0,0,4,10.2,8,0,0,0,4,1,11,1,0,0,43,1.125,6.8,0.0,3.4,9.3,2.75,0,2014,Short-Season A,SEA
Jordan Cowan,19,0,1,.000,4.91,3,0,3,0,0,0,3.2,3,2,2,0,1,0,2,0,0,1,14,1.091,7.4,0.0,2.5,4.9,2.00,0,2014,Short-Season A,SEA
Noel De La Cruz,22,1,2,.333,3.67,6,4,0,0,0,0,27.0,22,13,11,3,14,0,22,4,0,8,119,1.333,7.3,1.0,4.7,7.3,1.57,0,2014,Short-Season A,SEA
Dylan De Meyer,21,1,0,1.000,0.93,4,0,1,0,0,0,9.2,5,1,1,0,4,0,9,0,0,0,38,0.931,4.7,0.0,3.7,8.4,2.25,0,2014,Short-Season A,SEA
Oliver Garcia,23,0,0,,0.00,2,0,2,0,0,0,2.0,2,1,0,0,0,0,4,0,0,1,9,1.000,9.0,0.0,0.0,18.0,,0,2014,Short-Season A,SEA
Rigoberto Garcia,20,0,2,.000,8.25,4,2,1,0,0,0,12.0,11,14,11,0,15,0,16,4,1,2,64,2.167,8.3,0.0,11.3,12.0,1.07,0,2014,Short-Season A,SEA
Luiz Gohara*,17,0,6,.000,8.20,11,11,0,0,0,0,37.1,46,43,34,6,24,0,37,5,0,9,187,1.875,11.1,1.4,5.8,8.9,1.54,1,2014,Short-Season A,SEA
Luke Guarnaccia,21,0,1,.000,2.45,4,0,4,0,0,0,3.2,2,1,1,0,2,0,2,1,0,0,15,1.091,4.9,0.0,4.9,4.9,1.00,0,2014,Short-Season A,SEA
Blake Holovach*,23,0,1,.000,2.59,4,4,0,0,0,0,24.1,24,9,7,0,0,0,17,1,0,0,95,0.986,8.9,0.0,0.0,6.3,,0,2014,Short-Season A,SEA
Kody Kerski,22,4,3,.571,2.95,25,0,15,0,0,3,39.2,39,18,13,0,17,3,46,1,0,4,178,1.412,8.8,0.0,3.9,10.4,2.71,0,2014,Short-Season A,SEA
Nick Kiel*,21,0,1,.000,5.28,6,0,1,0,0,0,15.1,24,9,9,0,6,0,6,0,0,0,70,1.957,14.1,0.0,3.5,3.5,1.00,0,2014,Short-Season A,SEA
Andrew Kittredge,24,1,0,1.000,0.00,1,0,0,0,0,0,3.0,1,0,0,0,0,0,2,0,0,1,9,0.333,3.0,0.0,0.0,6.0,,1,2014,Short-Season A,SEA
Sam Lindquist,22,0,3,.000,7.29,19,0,10,0,0,0,21.0,27,19,17,1,22,0,9,3,0,7,110,2.333,11.6,0.4,9.4,3.9,0.41,0,2014,Short-Season A,SEA
