Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Andrew Barnett,22,5,3,.625,5.72,16,13,1,0,0,1,67.2,76,47,43,10,23,0,51,2,1,6,295,1.463,10.1,1.3,3.1,6.8,2.22,0
Nick Dignacco*,22,2,2,.500,4.01,13,1,6,0,0,0,24.2,21,12,11,4,7,0,25,0,0,2,102,1.135,7.7,1.5,2.6,9.1,3.57,0
Chris Dula,21,0,0,,5.40,13,0,5,0,0,0,16.2,9,11,10,0,10,0,22,4,0,4,72,1.140,4.9,0.0,5.4,11.9,2.20,0
John Fasola,22,0,1,.000,2.05,19,0,14,0,0,5,26.1,21,6,6,1,5,0,40,0,1,2,101,0.987,7.2,0.3,1.7,13.7,8.00,0
Nick Gardewine,20,6,3,.667,4.54,15,15,0,0,0,0,71.1,62,38,36,6,23,0,60,7,1,1,298,1.192,7.8,0.8,2.9,7.6,2.61,1
Reed Garrett,21,6,1,.857,4.06,16,9,2,0,0,0,57.2,54,29,26,3,21,1,46,2,2,7,246,1.301,8.4,0.5,3.3,7.2,2.19,1
Jason Hoppe,22,1,4,.200,5.50,15,4,2,0,0,1,34.1,40,23,21,3,10,0,33,1,1,4,150,1.456,10.5,0.8,2.6,8.7,3.30,0
Darrell Hunter,23,0,0,,3.86,14,0,5,0,0,0,18.2,16,8,8,1,6,0,23,1,0,0,80,1.179,7.7,0.5,2.9,11.1,3.83,0
Ryan Ledbetter,22,1,3,.250,7.34,15,1,2,0,0,0,30.2,40,30,25,2,18,0,16,2,1,6,149,1.891,11.7,0.6,5.3,4.7,0.89,0
Kevin Matthews*,21,1,0,1.000,6.57,8,0,5,0,0,0,12.1,8,9,9,0,10,0,15,1,0,5,57,1.459,5.8,0.0,7.3,10.9,1.50,0
Shane McCain*,22,2,0,1.000,0.31,15,0,6,0,0,3,28.2,17,2,1,0,1,0,39,1,0,0,102,0.628,5.3,0.0,0.3,12.2,39.00,0
Adam Parks,21,2,2,.500,2.13,18,0,14,0,0,4,25.1,19,6,6,1,5,0,31,0,0,3,97,0.947,6.8,0.4,1.8,11.0,6.20,0
Richelson Pena,20,5,5,.500,3.36,14,14,0,0,0,0,72.1,68,31,27,3,15,0,67,1,0,5,293,1.147,8.5,0.4,1.9,8.3,4.47,0
David Perez,21,1,0,1.000,3.90,14,2,4,0,0,0,27.2,19,13,12,2,21,0,24,5,0,10,126,1.446,6.2,0.7,6.8,7.8,1.14,0
Austin Pettibone,21,2,2,.500,5.45,15,4,0,0,0,0,39.2,48,25,24,5,8,0,32,1,2,3,173,1.412,10.9,1.1,1.8,7.3,4.00,0
Luis Pollorena*,23,1,2,.333,2.79,17,0,7,0,0,3,29.0,26,9,9,1,13,2,14,1,0,2,121,1.345,8.1,0.3,4.0,4.3,1.08,0
Erik Swanson,20,1,2,.333,4.63,15,0,3,0,0,0,23.1,19,12,12,0,7,1,24,2,0,2,95,1.114,7.3,0.0,2.7,9.3,3.43,1
Derek Thompson*,21,4,6,.400,3.21,14,13,0,0,0,0,70.0,66,27,25,5,15,0,73,5,0,6,287,1.157,8.5,0.6,1.9,9.4,4.87,0
Greg Williams*,24,0,0,,9.00,1,0,0,0,0,0,1.0,2,2,1,0,1,0,3,0,0,0,6,3.000,18.0,0.0,9.0,27.0,3.00,0
