Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Kyle Bird*,22,4,0,1.000,2.60,32,0,18,0,0,9,69.1,67,25,20,1,17,0,69,2,2,6,287,1.212,8.7,0.1,2.2,9.0,4.06,1
Carter Burgess,22,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.000,0.0,0.0,0.0,0.0,,0
Damion Carroll,21,5,2,.714,3.64,32,0,13,0,0,2,54.1,38,23,22,0,57,0,53,3,1,12,252,1.748,6.3,0.0,9.4,8.8,0.93,0
Diego Castillo,21,0,0,,4.82,5,0,3,0,0,1,9.1,8,6,5,0,4,0,4,1,0,2,41,1.286,7.7,0.0,3.9,3.9,1.00,1
Henry Centeno,20,8,8,.500,3.89,23,23,0,0,0,0,122.2,118,65,53,7,47,0,91,9,3,10,527,1.345,8.7,0.5,3.4,6.7,1.94,0
Yonny Chirinos,21,4,5,.444,2.20,10,10,0,0,0,0,61.1,59,19,15,3,7,0,47,6,1,6,248,1.076,8.7,0.4,1.0,6.9,6.71,1
Edwin Fierro,21,3,3,.500,1.65,20,0,15,0,0,3,32.2,32,7,6,0,12,1,25,4,0,3,139,1.347,8.8,0.0,3.3,6.9,2.08,0
Hyrum Formo,23,5,5,.500,4.19,22,21,0,0,0,0,107.1,128,52,50,9,23,0,65,2,1,6,457,1.407,10.7,0.8,1.9,5.5,2.83,0
Enderson Franco,22,5,6,.455,3.89,13,13,0,0,0,0,71.2,82,38,31,4,8,0,47,1,0,3,303,1.256,10.3,0.5,1.0,5.9,5.88,1
Mike Franco,23,0,2,.000,1.87,23,0,16,0,0,4,43.1,35,11,9,2,13,0,47,1,0,6,176,1.108,7.3,0.4,2.7,9.8,3.62,0
Edgar Gomez,22,6,4,.600,4.35,35,0,19,0,0,6,72.1,90,40,35,6,16,1,55,1,1,4,320,1.465,11.2,0.7,2.0,6.8,3.44,0
Greg Harris,20,7,5,.583,2.17,16,16,0,0,0,0,83.0,74,33,20,1,28,0,84,3,4,5,348,1.229,8.0,0.1,3.0,9.1,3.00,0
Jordan Harrison*,24,1,0,1.000,2.53,10,0,5,0,0,0,21.1,14,6,6,3,8,1,22,0,0,2,80,1.031,5.9,1.3,3.4,9.3,2.75,0
Brent Honeywell Jr.,20,4,4,.500,2.91,12,12,0,0,0,0,65.0,53,27,21,3,12,0,76,4,1,5,262,1.000,7.3,0.4,1.7,10.5,6.33,1
Brian Miller,22,3,3,.500,1.85,38,0,30,0,0,7,58.1,44,15,12,2,11,1,38,2,0,5,230,0.943,6.8,0.3,1.7,5.9,3.45,0
Jose Mujica,19,1,4,.200,4.20,8,8,0,0,0,0,45.0,47,24,21,2,7,1,22,0,1,0,184,1.200,9.4,0.4,1.4,4.4,3.14,1
Ryan Pennell*,22,0,1,.000,7.12,22,0,4,0,0,0,36.2,45,34,29,4,29,2,27,5,0,4,186,2.018,11.0,1.0,7.1,6.6,0.93,0
Chris Pike,22,10,7,.588,3.13,22,22,0,0,0,0,129.1,124,53,45,8,31,0,83,3,2,11,524,1.198,8.6,0.6,2.2,5.8,2.68,0
Alec Sole,22,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,0
Luis Urena,22,0,0,,13.50,7,0,2,0,0,0,8.0,16,13,12,0,6,0,4,4,1,7,50,2.750,18.0,0.0,6.8,4.5,0.67,0
Brad Wallace,22,2,6,.250,5.25,10,10,0,0,0,0,48.0,65,41,28,8,10,0,35,1,0,2,215,1.563,12.2,1.5,1.9,6.6,3.50,0
Hunter Wood,21,1,4,.200,1.82,20,3,11,0,0,4,64.1,36,13,13,3,16,1,81,1,0,3,243,0.808,5.0,0.4,2.2,11.3,5.06,1
