Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Cody Buckel,23,0,5,.000,3.95,10,10,0,0,0,0,41.0,28,19,18,1,28,0,30,6,0,5,177,1.366,6.1,0.2,6.1,6.6,1.07,0
Adam Dian,22,2,1,.667,2.36,14,0,11,0,0,5,26.2,26,10,7,1,8,0,16,3,0,1,116,1.275,8.8,0.3,2.7,5.4,2.00,0
Chris Dula,22,1,1,.500,4.74,40,0,13,0,0,2,43.2,48,40,23,2,39,0,40,13,0,16,224,1.992,9.9,0.4,8.0,8.2,1.03,0
John Fasola,23,1,1,.500,1.71,19,0,18,0,0,13,26.1,17,7,5,0,4,1,34,1,2,2,99,0.797,5.8,0.0,1.4,11.6,8.50,0
Joe Filomeno*,22,3,2,.600,2.72,30,0,16,0,0,1,56.1,43,18,17,2,14,0,62,3,0,6,226,1.012,6.9,0.3,2.2,9.9,4.43,0
Nick Gardewine,21,6,8,.429,4.31,22,17,2,0,0,1,96.0,111,52,46,11,23,1,80,5,0,10,412,1.396,10.4,1.0,2.2,7.5,3.48,1
Reed Garrett,22,3,3,.500,3.47,7,7,0,1,0,0,36.1,30,15,14,2,15,0,26,0,0,1,144,1.239,7.4,0.5,3.7,6.4,1.73,1
Jefri Hernandez,24,2,0,1.000,4.50,7,0,5,0,0,1,12.0,10,6,6,2,2,0,18,0,0,0,47,1.000,7.5,1.5,1.5,13.5,9.00,0
Ariel Jurado,19,12,1,.923,2.45,22,15,0,0,0,0,99.0,92,36,27,5,12,0,95,1,2,4,390,1.051,8.4,0.5,1.1,8.6,7.92,1
Trey Lambert,24,1,1,.500,4.41,7,0,1,0,0,1,16.1,21,9,8,0,5,0,16,0,0,2,74,1.592,11.6,0.0,2.8,8.8,3.20,0
Brett Martin*,20,5,6,.455,3.49,20,18,0,0,0,0,95.1,92,45,37,6,26,0,72,2,1,6,387,1.238,8.7,0.6,2.5,6.8,2.77,1
Kevin Matthews*,22,0,0,,6.48,6,0,2,0,0,0,8.1,5,6,6,1,11,0,8,1,0,2,42,1.920,5.4,1.1,11.9,8.6,0.73,0
Shane McCain*,23,3,2,.600,4.36,18,1,9,0,0,1,43.1,43,23,21,5,15,0,47,4,0,5,189,1.338,8.9,1.0,3.1,9.8,3.13,0
Yohander Mendez*,20,3,3,.500,2.44,21,8,6,0,0,3,66.1,57,20,18,2,15,0,74,2,1,6,269,1.085,7.7,0.3,2.0,10.0,4.93,1
Jonathan Meyer,24,0,1,.000,81.00,1,0,1,0,0,0,0.1,3,3,3,1,0,0,0,0,0,0,4,9.000,81.0,27.0,0.0,0.0,,0
Luis Ortiz,19,4,1,.800,1.80,13,13,0,0,0,0,50.0,45,12,10,1,9,0,46,1,1,3,201,1.080,8.1,0.2,1.6,8.3,5.11,1
Joe Palumbo*,20,0,0,,6.23,1,0,0,0,0,0,4.1,5,3,3,0,3,0,1,0,0,1,21,1.846,10.4,0.0,6.2,2.1,0.33,1
Adam Parks,22,2,3,.400,2.93,16,1,5,0,0,1,43.0,44,17,14,1,12,0,59,1,0,5,180,1.302,9.2,0.2,2.5,12.3,4.92,0
Luis Parra*,23,1,0,1.000,3.60,1,1,0,0,0,0,5.0,7,2,2,0,0,0,3,0,0,2,23,1.400,12.6,0.0,0.0,5.4,,0
Pedro Payano,20,3,1,.750,1.10,6,5,0,0,0,0,32.2,27,4,4,1,10,0,31,2,0,3,131,1.133,7.4,0.3,2.8,8.5,3.10,1
David Perez,22,2,1,.667,0.93,16,0,7,0,0,0,29.0,20,8,3,2,14,0,37,1,0,1,118,1.172,6.2,0.6,4.3,11.5,2.64,0
Austin Pettibone,22,3,7,.300,4.35,22,13,0,0,0,0,78.2,87,48,38,7,14,0,50,3,2,2,341,1.284,10.0,0.8,1.6,5.7,3.57,0
Adam Quintana,23,0,1,.000,6.00,1,0,1,0,0,0,3.0,2,2,2,0,2,0,4,0,0,0,13,1.333,6.0,0.0,6.0,12.0,2.00,0
Ricardo Rodriguez,22,1,0,1.000,3.00,5,0,2,0,0,1,12.0,17,6,4,0,2,0,9,0,0,1,55,1.583,12.8,0.0,1.5,6.8,4.50,1
Jeffrey Springs*,22,0,0,,0.00,2,0,2,0,0,0,3.1,0,0,0,0,1,0,6,0,0,0,11,0.300,0.0,0.0,2.7,16.2,6.00,1
Erik Swanson,21,1,0,1.000,2.19,7,0,3,0,0,1,12.1,7,3,3,1,4,0,10,0,0,1,48,0.892,5.1,0.7,2.9,7.3,2.50,1
Dillon Tate,21,0,0,,1.29,4,4,0,0,0,0,7.0,3,1,1,1,0,0,5,0,0,0,23,0.429,3.9,1.3,0.0,6.4,,1
Kelvin Vasquez,22,6,3,.667,3.74,31,4,8,0,0,1,77.0,61,34,32,8,38,0,65,2,0,6,325,1.286,7.1,0.9,4.4,7.6,1.71,0
John Werner,23,0,2,.000,2.65,5,1,2,0,0,0,17.0,14,5,5,0,6,0,19,1,1,2,70,1.176,7.4,0.0,3.2,10.1,3.17,0
Collin Wiles,21,11,3,.786,2.96,22,20,0,0,0,0,130.2,114,49,43,6,23,0,72,7,0,5,512,1.048,7.9,0.4,1.6,5.0,3.13,0
Scott Williams,21,5,0,1.000,2.28,29,0,23,0,0,10,43.1,27,11,11,3,15,3,49,1,0,3,165,0.969,5.6,0.6,3.1,10.2,3.27,0
