Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Mat Batts*,23,8,4,.667,2.77,17,17,0,1,1,0,100.2,96,36,31,3,17,0,85,5,0,2,417,1.123,8.6,0.3,1.5,7.6,5.00,0,2015,Adv A,MIN
Omar Bencomo,26,1,1,.500,1.50,3,3,0,0,0,0,18.0,11,6,3,0,5,0,5,1,0,1,67,0.889,5.5,0.0,2.5,2.5,1.00,0,2015,Adv A,MIN
Madison Boer,25,2,2,.500,1.62,11,0,8,0,0,1,16.2,8,3,3,0,6,2,11,1,0,0,65,0.840,4.3,0.0,3.2,5.9,1.83,0,2015,Adv A,MIN
Nick Burdi,22,2,2,.500,2.25,13,0,7,0,0,2,20.0,12,7,5,1,3,0,29,0,1,5,73,0.750,5.4,0.5,1.4,13.1,9.67,1,2015,Adv A,MIN
JT Chargois,24,1,0,1.000,2.40,16,0,10,0,0,4,15.0,12,8,4,0,5,0,19,0,0,2,66,1.133,7.2,0.0,3.0,11.4,3.80,1,2015,Adv A,MIN
Ryan Eades,23,6,3,.667,3.11,20,20,0,0,0,0,118.2,109,43,41,5,38,0,80,6,0,3,487,1.239,8.3,0.4,2.9,6.1,2.11,1,2015,Adv A,MIN
Dallas Gallant,26,0,1,.000,2.92,11,0,5,0,0,0,12.1,10,4,4,1,8,0,11,0,0,5,54,1.459,7.3,0.7,5.8,8.0,1.38,0,2015,Adv A,MIN
Brian Gilbert,22,4,4,.500,3.39,39,0,8,0,0,0,58.1,46,24,22,0,37,2,38,5,0,8,246,1.423,7.1,0.0,5.7,5.9,1.03,0,2015,Adv A,MIN
Stephen Gonsalves*,20,7,2,.778,2.61,15,15,0,1,0,0,79.1,66,26,23,2,38,0,55,1,0,7,333,1.311,7.5,0.2,4.3,6.2,1.45,1,2015,Adv A,MIN
Trevor Hildenberger,24,1,1,.500,3.32,13,0,9,0,0,3,19.0,15,7,7,0,2,0,21,1,0,2,72,0.895,7.1,0.0,0.9,9.9,10.50,1,2015,Adv A,MIN
Chih-Wei Hu,21,5,3,.625,2.44,15,15,0,0,0,0,84.2,79,28,23,5,19,0,73,3,2,3,344,1.157,8.4,0.5,2.0,7.8,3.84,1,2015,Adv A,MIN
David Hurlbut*,25,0,1,.000,0.00,2,1,1,0,0,0,12.0,6,4,0,0,3,0,9,1,0,2,48,0.750,4.5,0.0,2.3,6.8,3.00,0,2015,Adv A,MIN
Tyler Jay*,21,0,1,.000,3.93,19,0,7,0,0,1,18.1,18,10,8,0,8,0,22,0,0,0,81,1.418,8.8,0.0,3.9,10.8,2.75,0,2015,Adv A,MIN
DJ Johnson,25,1,0,1.000,0.00,7,0,5,0,0,3,10.0,4,0,0,0,2,0,12,0,0,1,35,0.600,3.6,0.0,1.8,10.8,6.00,1,2015,Adv A,MIN
Zack Jones,24,2,2,.500,2.19,18,0,5,0,0,2,24.2,14,8,6,0,10,0,38,3,0,1,102,0.973,5.1,0.0,3.6,13.9,3.80,0,2015,Adv A,MIN
Brett Lee*,24,1,3,.250,3.29,6,6,0,0,0,0,38.1,40,15,14,0,12,0,20,0,0,3,160,1.357,9.4,0.0,2.8,4.7,1.67,0,2015,Adv A,MIN
Ethan Mildren,24,2,4,.333,4.23,10,8,1,0,0,0,44.2,58,24,21,4,11,0,20,1,1,4,192,1.545,11.7,0.8,2.2,4.0,1.82,0,2015,Adv A,MIN
Alex Muren,23,2,3,.400,2.20,30,0,8,0,0,2,49.0,41,15,12,2,15,1,43,0,0,4,202,1.143,7.5,0.4,2.8,7.9,2.87,0,2015,Adv A,MIN
Brandon Peterson,23,1,0,1.000,0.85,21,0,8,0,0,3,31.2,14,3,3,0,15,2,44,0,1,3,122,0.916,4.0,0.0,4.3,12.5,2.93,0,2015,Adv A,MIN
Jake Reed,22,1,0,1.000,0.00,9,0,3,0,0,1,12.1,8,2,0,0,1,0,7,0,0,0,43,0.730,5.8,0.0,0.7,5.1,7.00,1,2015,Adv A,MIN
Dereck Rodriguez,23,0,0,,0.00,1,0,0,0,0,0,2.0,1,0,0,0,2,0,2,0,0,1,9,1.500,4.5,0.0,9.0,9.0,1.00,1,2015,Adv A,MIN
Tim Shibuya,25,1,0,1.000,0.66,6,0,1,0,0,0,13.2,9,1,1,0,1,0,13,0,0,0,48,0.732,5.9,0.0,0.7,8.6,13.00,0,2015,Adv A,MIN
Aaron Slegers,22,8,6,.571,2.87,19,19,0,3,1,0,119.1,103,48,38,4,21,0,80,7,0,7,483,1.039,7.8,0.3,1.6,6.0,3.81,1,2015,Adv A,MIN
Kohl Stewart,20,7,8,.467,3.20,22,22,0,1,0,0,129.1,134,63,46,2,45,0,71,6,1,12,553,1.384,9.3,0.1,3.1,4.9,1.58,1,2015,Adv A,MIN
Matt Summers,25,2,2,.500,3.41,18,1,8,0,0,1,31.2,26,14,12,1,7,1,21,2,0,5,129,1.042,7.4,0.3,2.0,6.0,3.00,0,2015,Adv A,MIN
Alexis Tapia,19,0,0,,0.00,2,0,2,0,0,0,2.0,2,0,0,0,0,0,1,0,0,0,7,1.000,9.0,0.0,0.0,4.5,,0,2015,Adv A,MIN
Todd Van Steensel,24,2,4,.333,2.32,46,0,29,0,0,13,66.0,53,17,17,5,32,4,81,4,0,7,277,1.288,7.2,0.7,4.4,11.0,2.53,0,2015,Adv A,MIN
Jose Velez*,25,0,0,,1.80,2,0,0,0,0,0,5.0,1,1,1,0,0,0,5,0,0,0,16,0.200,1.8,0.0,0.0,9.0,,0,2015,Adv A,MIN
Luke Westphal*,26,5,6,.455,2.76,22,11,4,0,0,0,65.1,74,24,20,0,23,0,53,2,0,5,285,1.485,10.2,0.0,3.2,7.3,2.30,0,2015,Adv A,MIN
Corey Williams*,24,3,0,1.000,2.49,22,0,4,0,0,0,25.1,18,7,7,0,10,0,17,0,0,1,99,1.105,6.4,0.0,3.6,6.0,1.70,0,2015,Adv A,MIN
Jared Wilson,25,1,0,1.000,3.60,1,1,0,0,0,0,5.0,5,2,2,0,1,0,5,0,0,1,21,1.200,9.0,0.0,1.8,9.0,5.00,0,2015,Adv A,MIN
