Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Kyle Gibson,27,11,11,.500,3.84,32,32,0,1,0,0,194.2,186,88,83,18,65,6,145,7,0,7,821,1.289,8.6,0.8,3.0,6.7,2.23,1,2015,MLB,MIN
Mike Pelfrey,31,6,11,.353,4.26,30,30,0,0,0,0,164.2,198,86,78,11,45,1,86,12,0,5,714,1.476,10.8,0.6,2.5,4.7,1.91,1,2015,MLB,MIN
Phil Hughes,29,11,9,.550,4.40,27,25,1,1,0,0,155.1,184,76,76,29,16,0,94,2,0,1,651,1.288,10.7,1.7,0.9,5.4,5.88,1,2015,MLB,MIN
Tommy Milone*,28,9,5,.643,3.92,24,23,1,0,0,1,128.2,128,64,56,17,36,1,91,1,0,3,543,1.275,9.0,1.2,2.5,6.4,2.53,1,2015,MLB,MIN
Ervin Santana,32,7,5,.583,4.00,17,17,0,0,0,0,108.0,104,50,48,12,36,2,82,4,0,3,457,1.296,8.7,1.0,3.0,6.8,2.28,1,2015,MLB,MIN
Glen Perkins*,32,3,5,.375,3.32,60,0,45,0,0,32,57.0,58,21,21,9,10,2,54,0,0,4,238,1.193,9.2,1.4,1.6,8.5,5.40,1,2015,MLB,MIN
Trevor May,25,8,9,.471,4.00,48,16,9,0,0,0,114.2,127,53,51,11,26,2,110,4,0,4,492,1.334,10.0,0.9,2.0,8.6,4.23,1,2015,MLB,MIN
Blaine Boyer,33,3,6,.333,2.49,68,0,12,0,0,1,65.0,62,24,18,5,19,4,33,0,0,5,268,1.246,8.6,0.7,2.6,4.6,1.74,1,2015,MLB,MIN
Casey Fien,31,4,6,.400,3.55,62,0,6,0,0,0,63.1,61,26,25,6,8,0,41,0,0,0,257,1.089,8.7,0.9,1.1,5.8,5.13,1,2015,MLB,MIN
Brian Duensing*,32,4,1,.800,4.25,55,0,9,0,0,1,48.2,46,24,23,5,21,4,24,4,0,3,209,1.377,8.5,0.9,3.9,4.4,1.14,1,2015,MLB,MIN
J.R. Graham,25,1,1,.500,4.95,39,1,19,0,0,0,63.2,73,41,35,10,21,0,53,4,1,5,283,1.476,10.3,1.4,3.0,7.5,2.52,1,2015,MLB,MIN
Tyler Duffey,24,5,1,.833,3.10,10,10,0,0,0,0,58.0,56,20,20,4,20,0,53,0,0,1,242,1.310,8.7,0.6,3.1,8.2,2.65,1,2015,MLB,MIN
Ricky Nolasco,32,5,2,.714,6.75,9,8,1,0,0,0,37.1,50,31,28,3,14,2,35,1,1,1,173,1.714,12.1,0.7,3.4,8.4,2.50,1,2015,MLB,MIN
Aaron Thompson*,28,1,3,.250,5.01,41,0,5,0,0,0,32.1,32,19,18,2,11,2,17,0,0,1,137,1.330,8.9,0.6,3.1,4.7,1.55,1,2015,MLB,MIN
Kevin Jepsen,30,1,1,.500,1.61,29,0,17,0,0,10,28.0,18,5,5,1,7,0,25,0,0,3,109,0.893,5.8,0.3,2.3,8.0,3.57,1,2015,MLB,MIN
Ryan Pressly,26,3,2,.600,2.93,27,0,6,0,0,0,27.2,27,9,9,0,12,1,22,0,0,2,119,1.410,8.8,0.0,3.9,7.2,1.83,1,2015,MLB,MIN
Michael Tonkin,25,0,0,,3.47,26,0,10,0,0,0,23.1,21,9,9,4,9,2,19,1,0,1,99,1.286,8.1,1.5,3.5,7.3,2.11,1,2015,MLB,MIN
Ryan O'Rourke*,27,0,0,,6.14,28,0,7,0,0,0,22.0,16,15,15,3,15,2,24,0,0,2,97,1.409,6.5,1.2,6.1,9.8,1.60,1,2015,MLB,MIN
Tim Stauffer,33,1,0,1.000,6.60,13,0,5,0,0,0,15.0,24,13,11,4,7,2,6,0,0,2,73,2.067,14.4,2.4,4.2,3.6,0.86,1,2015,MLB,MIN
Neal Cotts*,35,0,0,,3.95,17,0,1,0,0,0,13.2,14,8,6,3,5,0,9,1,0,0,60,1.390,9.2,2.0,3.3,5.9,1.80,1,2015,MLB,MIN
A.J. Achter,26,0,1,.000,6.75,11,0,4,0,0,0,13.1,12,10,10,4,6,1,14,0,0,0,58,1.350,8.1,2.7,4.1,9.5,2.33,1,2015,MLB,MIN
Caleb Thielbar*,28,0,0,,5.40,6,0,1,0,0,0,5.0,5,3,3,0,0,0,5,0,0,1,20,1.000,9.0,0.0,0.0,9.0,,1,2015,MLB,MIN
Alex Meyer,25,0,0,,16.88,2,0,0,0,0,0,2.2,4,5,5,2,3,0,3,0,0,0,15,2.625,13.5,6.8,10.1,10.1,1.00,1,2015,MLB,MIN
Shane Robinson,30,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,1.000,0.0,0.0,9.0,9.0,1.00,1,2015,MLB,MIN
