Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Jake Brentz*,20,0,1,.000,4.09,6,6,0,0,0,0,22.0,25,13,10,2,11,0,16,3,1,0,99,1.636,10.2,0.8,4.5,6.5,1.45,1
Tyler Burden,21,2,2,.500,3.54,17,0,7,0,0,1,28.0,28,16,11,0,16,0,22,3,1,6,127,1.571,9.0,0.0,5.1,7.1,1.38,0
Miguel Burgos*,20,1,2,.333,3.48,13,5,2,0,0,1,41.1,45,22,16,5,20,0,33,5,0,3,189,1.573,9.8,1.1,4.4,7.2,1.65,0
Joe Claver*,23,0,1,.000,3.24,14,0,8,0,0,0,16.2,15,13,6,0,9,0,14,4,0,4,81,1.440,8.1,0.0,4.9,7.6,1.56,0
Christian Cox*,23,0,1,.000,81.00,2,0,0,0,0,0,0.2,3,7,6,0,4,0,0,0,0,0,9,10.500,40.5,0.0,54.0,0.0,0.00,0
Josh DeGraaf,22,0,0,,3.86,4,0,2,0,0,0,9.1,7,5,4,1,1,0,11,0,0,2,36,0.857,6.8,1.0,1.0,10.6,11.00,0
Geno Encina,20,1,3,.250,3.86,12,5,1,0,0,1,44.1,45,22,19,4,10,0,45,0,0,3,185,1.241,9.1,0.8,2.0,9.1,4.50,0
Alberto Guzman,22,3,4,.429,4.07,16,0,12,0,0,4,24.1,27,13,11,3,9,0,22,1,0,2,108,1.479,10.0,1.1,3.3,8.1,2.44,0
Juliandry Higuera*,20,5,4,.556,4.26,13,13,0,0,0,0,61.1,80,34,29,3,20,1,40,3,2,4,280,1.630,11.7,0.4,2.9,5.9,2.00,0
Stuart Holmes*,22,1,0,1.000,4.76,4,0,2,0,0,0,5.2,7,4,3,0,1,0,5,1,1,0,24,1.412,11.1,0.0,1.6,7.9,5.00,0
Grayson Huffman*,20,0,0,,10.54,9,0,2,0,0,0,13.2,26,18,16,0,10,0,8,1,0,6,77,2.634,17.1,0.0,6.6,5.3,0.80,0
John Kravetz,22,0,2,.000,7.07,10,0,4,0,0,0,14.0,27,15,11,2,4,1,10,0,0,1,75,2.214,17.4,1.3,2.6,6.4,2.50,0
Dan Lietz*,21,0,2,.000,5.26,10,3,2,0,0,0,25.2,17,16,15,0,23,0,11,2,1,6,115,1.558,6.0,0.0,8.1,3.9,0.48,0
Jackson Lowery,22,0,0,,0.90,8,0,6,0,0,2,10.0,8,3,1,0,1,0,14,0,0,1,40,0.900,7.2,0.0,0.9,12.6,14.00,0
Angel Perdomo*,21,4,1,.800,2.63,9,9,0,0,0,0,48.0,42,20,14,3,14,0,36,2,1,2,200,1.167,7.9,0.6,2.6,6.8,2.57,1
Zach Rodgers,21,2,2,.500,4.76,17,0,11,0,0,2,22.2,29,14,12,1,7,0,16,1,0,3,100,1.588,11.5,0.4,2.8,6.4,2.29,0
Dalton Rodriguez,18,2,8,.200,5.25,12,12,0,0,0,0,60.0,68,40,35,5,20,1,28,5,2,2,263,1.467,10.2,0.8,3.0,4.2,1.40,0
Luis Sanchez,21,1,4,.200,7.08,5,5,0,0,0,0,20.1,23,20,16,2,15,0,17,0,0,4,98,1.869,10.2,0.9,6.6,7.5,1.13,0
Tayler Saucedo*,22,1,1,.500,2.42,6,2,1,0,0,1,22.1,23,8,6,0,4,0,18,1,0,1,97,1.209,9.3,0.0,1.6,7.3,4.50,1
Matt Smoral*,21,0,0,,5.06,8,0,2,0,0,0,10.2,7,8,6,0,14,0,16,2,0,5,56,1.969,5.9,0.0,11.8,13.5,1.14,0
Zakery Wasilewski*,22,1,2,.333,5.65,16,0,5,0,0,0,28.2,37,21,18,2,15,0,19,4,1,2,137,1.814,11.6,0.6,4.7,6.0,1.27,0
Nick Wells*,19,1,2,.333,4.78,7,7,0,0,0,0,32.0,30,17,17,4,11,0,31,0,0,1,133,1.281,8.4,1.1,3.1,8.7,2.82,0
