Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Erick Algarin,20,0,0,,3.86,6,0,3,0,0,0,9.1,6,4,4,0,4,0,9,1,0,0,35,1.071,5.8,0.0,3.9,8.7,2.25,0,2015,Short-Season A,CLE
Jordan Carter,23,1,2,.333,5.56,11,0,2,0,0,0,22.2,27,17,14,1,4,0,15,2,0,4,102,1.368,10.7,0.4,1.6,6.0,3.75,0,2015,Short-Season A,CLE
Kuan Chieh Chen,20,0,0,,20.25,2,0,1,0,0,0,1.1,3,6,3,0,4,0,2,0,0,1,12,5.250,20.3,0.0,27.0,13.5,0.50,0,2015,Short-Season A,CLE
Shao-Ching Chiang,21,3,2,.600,3.92,9,8,0,0,0,0,41.1,39,24,18,3,7,0,18,3,1,1,177,1.113,8.5,0.7,1.5,3.9,2.57,0,2015,Short-Season A,CLE
Cortland Cox,20,3,1,.750,1.59,10,0,1,0,0,0,22.2,13,5,4,0,8,0,27,0,0,1,87,0.926,5.2,0.0,3.2,10.7,3.38,0,2015,Short-Season A,CLE
Dominic DeMasi,22,2,0,1.000,3.12,13,1,2,0,0,1,34.2,28,13,12,0,10,0,19,0,1,4,140,1.096,7.3,0.0,2.6,4.9,1.90,0,2015,Short-Season A,CLE
Matt Esparza,20,4,1,.800,2.30,16,3,2,0,0,0,43.0,40,13,11,1,13,0,54,4,0,3,186,1.233,8.4,0.2,2.7,11.3,4.15,0,2015,Short-Season A,CLE
Nick Hagadone*,29,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,1,2015,Short-Season A,CLE
Brock Hartson,21,4,1,.800,1.66,14,3,0,0,0,0,38.0,27,12,7,1,15,0,29,0,0,6,153,1.105,6.4,0.2,3.6,6.9,1.93,0,2015,Short-Season A,CLE
Sam Hentges*,18,0,2,.000,14.21,2,2,0,0,0,0,6.1,13,11,10,0,8,0,2,0,0,3,40,3.316,18.5,0.0,11.4,2.8,0.25,1,2015,Short-Season A,CLE
Leandro Linares,21,0,7,.000,6.55,13,12,0,0,0,0,44.0,40,36,32,3,44,0,31,3,1,6,213,1.909,8.2,0.6,9.0,6.3,0.70,0,2015,Short-Season A,CLE
Kieran Lovegrove,20,1,8,.111,6.08,14,14,0,0,0,0,60.2,66,50,41,3,31,0,37,8,0,8,276,1.599,9.8,0.4,4.6,5.5,1.19,0,2015,Short-Season A,CLE
Yoiber Marquina,19,2,2,.500,2.28,23,0,20,0,0,5,23.2,18,12,6,2,12,1,23,1,1,2,105,1.268,6.8,0.8,4.6,8.7,1.92,0,2015,Short-Season A,CLE
Henry Martinez,21,1,0,1.000,1.00,4,0,1,0,0,0,9.0,12,1,1,0,1,0,5,2,0,0,38,1.444,12.0,0.0,1.0,5.0,5.00,0,2015,Short-Season A,CLE
Christian Meister,21,0,0,,5.87,2,1,0,0,0,0,7.2,6,6,5,0,5,0,4,3,0,1,36,1.435,7.0,0.0,5.9,4.7,0.80,0,2015,Short-Season A,CLE
Carlos Melo,24,0,0,,9.00,2,0,1,0,0,0,2.0,4,2,2,0,5,0,3,0,0,0,14,4.500,18.0,0.0,22.5,13.5,0.60,0,2015,Short-Season A,CLE
Micah Miniard,19,0,1,.000,14.29,2,2,0,0,0,0,5.2,11,9,9,1,3,0,1,3,0,0,33,2.471,17.5,1.6,4.8,1.6,0.33,0,2015,Short-Season A,CLE
Ryan Perez*,21,0,1,.000,6.48,22,0,6,0,0,0,25.0,30,19,18,4,22,0,22,1,0,3,124,2.080,10.8,1.4,7.9,7.9,1.00,0,2015,Short-Season A,CLE
Johan Puello,21,1,1,.500,6.00,7,0,2,0,0,0,12.0,14,9,8,0,12,0,6,4,0,5,64,2.167,10.5,0.0,9.0,4.5,0.50,0,2015,Short-Season A,CLE
Jared Robinson,20,2,4,.333,3.25,14,14,0,0,0,0,74.2,76,32,27,4,23,0,42,2,0,6,318,1.326,9.2,0.5,2.8,5.1,1.83,0,2015,Short-Season A,CLE
Casey Shane,19,2,4,.333,3.45,12,12,0,0,0,0,60.0,56,29,23,2,15,0,41,2,1,5,248,1.183,8.4,0.3,2.3,6.2,2.73,0,2015,Short-Season A,CLE
Devon Stewart,22,0,2,.000,3.68,18,0,11,0,0,2,22.0,19,11,9,1,7,0,19,4,0,1,97,1.182,7.8,0.4,2.9,7.8,2.71,0,2015,Short-Season A,CLE
James Stokes,24,1,1,.500,2.87,16,0,7,0,0,0,31.1,35,13,10,0,19,0,23,3,0,2,143,1.723,10.1,0.0,5.5,6.6,1.21,0,2015,Short-Season A,CLE
Billy Strode*,22,1,0,1.000,1.71,20,0,8,0,0,2,26.1,20,5,5,1,6,0,25,4,0,1,108,0.987,6.8,0.3,2.1,8.5,4.17,0,2015,Short-Season A,CLE
Josh Tomlin,30,0,1,.000,7.36,1,1,0,0,0,0,3.2,3,3,3,0,2,0,3,0,0,1,15,1.364,7.4,0.0,4.9,7.4,1.50,1,2015,Short-Season A,CLE
Jose Zapata,22,3,3,.500,4.50,16,2,8,0,0,2,26.0,22,14,13,1,18,0,28,1,2,2,119,1.538,7.6,0.3,6.2,9.7,1.56,0,2015,Short-Season A,CLE
