Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Argenis Angulo,22,0,0,,6.23,2,0,1,0,0,0,4.1,4,3,3,2,2,0,1,0,0,0,20,1.385,8.3,4.2,4.2,2.1,0.50,0,2016,AA,CLE
Robbie Aviles,24,2,2,.500,4.39,32,1,11,0,0,1,55.1,67,28,27,5,19,0,34,3,1,5,239,1.554,10.9,0.8,3.1,5.5,1.79,0,2016,AA,CLE
Justin Brantley,25,1,0,1.000,7.47,12,0,3,0,0,0,15.2,21,16,13,3,14,0,14,2,0,1,84,2.234,12.1,1.7,8.0,8.0,1.00,0,2016,AA,CLE
D.J. Brown,25,8,8,.500,4.78,27,20,1,0,0,0,131.2,139,73,70,14,42,0,117,9,1,6,567,1.375,9.5,1.0,2.9,8.0,2.79,0,2016,AA,CLE
Carlos Carrasco,29,0,0,,2.25,1,1,0,0,0,0,4.0,7,2,1,1,1,0,6,0,0,1,18,2.000,15.8,2.3,2.3,13.5,6.00,1,2016,AA,CLE
Lendy Castillo,27,0,1,.000,16.88,2,1,1,0,0,0,2.2,5,5,5,0,1,0,2,0,0,1,14,2.250,16.9,0.0,3.4,6.8,2.00,1,2016,AA,CLE
Jordan Cooper,27,0,0,,18.00,1,0,0,0,0,0,1.0,3,2,2,1,1,0,0,0,0,0,7,4.000,27.0,9.0,9.0,0.0,0.00,0,2016,AA,CLE
Cortland Cox,21,0,0,,7.27,3,0,0,0,0,0,8.2,12,7,7,0,3,0,9,0,0,3,40,1.731,12.5,0.0,3.1,9.3,3.00,0,2016,AA,CLE
J.P. Feyereisen,23,4,3,.571,2.23,33,0,21,0,0,5,40.1,30,12,10,3,20,2,56,0,0,3,169,1.240,6.7,0.7,4.5,12.5,2.80,1,2016,AA,CLE
Perci Garner,27,5,1,.833,1.94,23,0,9,0,0,2,51.0,37,13,11,1,11,0,47,2,0,4,198,0.941,6.5,0.2,1.9,8.3,4.27,1,2016,AA,CLE
Louis Head,26,2,1,.667,2.66,45,0,15,0,0,6,67.2,56,23,20,3,18,0,61,1,0,5,270,1.094,7.4,0.4,2.4,8.1,3.39,1,2016,AA,CLE
Ben Heller,24,1,0,1.000,0.55,15,0,14,0,0,7,16.1,3,1,1,1,5,0,23,2,0,0,60,0.490,1.7,0.6,2.8,12.7,4.60,1,2016,AA,CLE
Cam Hill,22,0,0,,2.51,10,0,3,0,0,3,14.1,11,4,4,2,1,0,10,0,0,1,55,0.837,6.9,1.3,0.6,6.3,10.00,1,2016,AA,CLE
Colt Hynes*,31,1,0,1.000,5.00,8,0,4,0,0,1,9.0,10,6,5,0,2,0,8,0,0,0,38,1.333,10.0,0.0,2.0,8.0,4.00,1,2016,AA,CLE
Rob Kaminsky*,21,11,7,.611,3.28,25,25,0,0,0,0,137.0,122,54,50,7,48,0,92,8,0,10,570,1.241,8.0,0.5,3.2,6.0,1.92,1,2016,AA,CLE
Dace Kime,24,1,3,.250,11.32,4,4,0,0,0,0,10.1,8,13,13,0,16,0,5,4,0,2,56,2.323,7.0,0.0,13.9,4.4,0.31,0,2016,AA,CLE
Nick Maronde*,26,0,1,.000,2.19,21,0,11,0,0,4,24.2,24,7,6,2,3,0,23,0,0,2,99,1.095,8.8,0.7,1.1,8.4,7.67,1,2016,AA,CLE
Zach McAllister,28,0,0,,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0,0,0,7,0.500,4.5,0.0,0.0,9.0,,1,2016,AA,CLE
