Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
R.J. Alaniz,25,0,1,.000,2.52,18,0,5,0,0,0,25.0,22,8,7,0,11,0,25,1,0,2,106,1.320,7.9,0.0,4.0,9.0,2.27,1
Chad Bell*,27,10,4,.714,3.70,28,10,4,0,0,0,80.1,79,34,33,4,38,5,69,1,0,3,346,1.456,8.9,0.4,4.3,7.7,1.82,1
Matthew Boyd*,25,2,5,.286,2.25,11,11,0,0,0,0,64.0,53,20,16,5,18,1,57,2,0,0,259,1.109,7.5,0.7,2.5,8.0,3.17,1
Drake Britton*,27,0,3,.000,4.57,37,0,4,0,0,0,41.1,43,22,21,3,21,3,17,2,0,1,186,1.548,9.4,0.7,4.6,3.7,0.81,1
Michael Crotta,31,0,1,.000,7.36,7,0,1,0,0,0,7.1,7,6,6,1,5,0,7,0,0,1,34,1.636,8.6,1.2,6.1,8.6,1.40,1
Matt Crouse*,25,6,5,.545,3.66,20,13,2,0,0,0,93.1,91,42,38,7,33,2,57,6,1,4,394,1.329,8.8,0.7,3.2,5.5,1.73,0
Buck Farmer,25,5,6,.455,3.96,20,20,0,0,0,0,100.0,106,48,44,11,28,0,93,3,0,3,426,1.340,9.5,1.0,2.5,8.4,3.32,1
Jeff Ferrell,25,2,1,.667,7.36,6,0,2,0,0,0,7.1,16,6,6,1,2,0,13,0,0,1,39,2.455,19.6,1.2,2.5,16.0,6.50,1
Michael Fulmer,23,1,1,.500,4.11,3,3,0,0,0,0,15.1,16,8,7,3,5,0,20,1,0,0,69,1.370,9.4,1.8,2.9,11.7,4.00,1
Miguel Gonzalez,25,0,1,.000,27.00,1,0,1,0,0,0,0.1,1,1,1,0,2,1,0,0,0,0,4,9.000,27.0,0.0,54.0,0.0,0.00,1
Shane Greene,27,0,0,,1.13,2,2,0,0,0,0,8.0,9,1,1,1,0,0,12,0,0,0,33,1.125,10.1,1.1,0.0,13.5,,1
Preston Guilmet,28,3,3,.500,2.77,65,0,20,0,0,0,68.1,71,28,21,4,12,3,82,2,0,4,280,1.215,9.4,0.5,1.6,10.8,6.83,1
Blaine Hardy*,29,1,0,1.000,1.72,32,0,5,0,0,1,31.1,20,6,6,1,5,2,19,1,0,1,115,0.798,5.7,0.3,1.4,5.5,3.80,1
Lucas Harrell,31,1,0,1.000,3.60,1,1,0,0,0,0,5.0,5,2,2,0,2,0,4,0,0,1,20,1.400,9.0,0.0,3.6,7.2,2.00,1
Myles Jaye,24,1,4,.200,3.69,7,7,0,0,0,0,39.0,30,18,16,2,12,1,31,2,0,1,160,1.077,6.9,0.5,2.8,7.2,2.58,1
Joe Jimenez,21,0,1,.000,2.30,17,0,16,0,0,8,15.2,9,5,4,1,4,0,16,0,0,0,60,0.830,5.2,0.6,2.3,9.2,4.00,1
Logan Kensing,33,1,1,.500,3.44,52,0,15,0,0,0,49.2,46,19,19,1,18,2,48,1,0,4,210,1.289,8.3,0.2,3.3,8.7,2.67,1
Joe Mantiply*,25,1,1,.500,4.32,7,1,2,0,0,0,8.1,11,4,4,1,1,0,7,0,0,1,36,1.440,11.9,1.1,1.1,7.6,7.00,1
Dustin Molleken,31,2,4,.333,3.58,42,5,10,0,0,1,60.1,49,26,24,4,30,1,56,2,0,5,252,1.309,7.3,0.6,4.5,8.4,1.87,1
Angel Nesbitt,25,1,1,.500,5.68,28,0,4,0,0,0,31.2,48,23,20,2,14,2,24,1,0,1,154,1.958,13.6,0.6,4.0,6.8,1.71,1
Daniel Norris*,23,5,7,.417,4.54,14,14,0,0,0,0,73.1,78,40,37,2,28,1,77,1,0,6,320,1.445,9.6,0.2,3.4,9.5,2.75,1
Bobby Parnell,31,2,1,.667,3.95,44,0,21,0,0,12,43.1,43,23,19,2,18,1,30,0,0,2,187,1.408,8.9,0.4,3.7,6.2,1.67,1
Mike Pelfrey,32,0,0,,8.53,2,2,0,0,0,0,6.1,12,6,6,0,0,0,3,0,0,0,29,1.895,17.1,0.0,0.0,4.3,,1
Cesar Ramos*,32,2,3,.400,6.00,8,3,0,0,0,0,21.0,29,14,14,2,6,0,19,2,0,4,96,1.667,12.4,0.9,2.6,8.1,3.17,1
Cory Riordan,30,1,2,.333,3.58,5,5,0,0,0,0,32.2,32,15,13,4,3,0,24,1,0,0,126,1.071,8.8,1.1,0.8,6.6,8.00,0
Donn Roach,26,3,1,.750,3.03,5,5,0,0,0,0,29.2,29,11,10,1,5,0,21,1,0,4,120,1.146,8.8,0.3,1.5,6.4,4.20,1
Bruce Rondon,25,2,2,.500,3.74,22,0,18,0,0,9,21.2,23,9,9,1,16,3,30,1,0,1,102,1.800,9.6,0.4,6.6,12.5,1.88,1
Kyle Ryan*,24,0,0,,0.00,8,0,2,0,0,0,7.0,3,0,0,0,6,0,5,0,0,0,29,1.286,3.9,0.0,7.7,6.4,0.83,1
Warwick Saupold,26,7,2,.778,2.30,18,11,1,1,0,0,74.1,64,20,19,3,22,1,50,2,0,3,297,1.157,7.7,0.4,2.7,6.1,2.27,1
Kurt Spomer,26,0,0,,4.05,9,0,1,0,0,0,13.1,21,7,6,0,5,0,13,0,0,0,58,1.950,14.2,0.0,3.4,8.8,2.60,0
Joshua Turley*,25,2,3,.400,4.68,6,6,0,0,0,0,32.2,42,20,17,3,12,1,24,0,0,0,150,1.653,11.6,0.8,3.3,6.6,2.00,0
Jordany Valdespin,28,0,0,,13.50,1,0,1,0,0,0,0.2,2,1,1,0,0,0,0,0,1,0,4,3.000,27.0,0.0,0.0,0.0,,1
Jose Valdez,26,0,0,,3.48,8,0,5,0,0,0,10.1,7,4,4,2,5,1,8,1,0,1,42,1.161,6.1,1.7,4.4,7.0,1.60,1
Drew VerHagen,25,0,0,,13.50,1,0,0,0,0,0,0.2,1,1,1,1,0,0,1,0,0,0,3,1.500,13.5,13.5,0.0,13.5,,1
Thad Weber,31,7,11,.389,4.44,22,20,0,3,1,0,129.2,149,72,64,12,32,5,65,0,1,3,555,1.396,10.3,0.8,2.2,4.5,2.03,1
Alex Wilson,29,0,0,,5.40,2,0,0,0,0,0,1.2,2,1,1,0,1,0,3,0,0,1,8,1.800,10.8,0.0,5.4,16.2,3.00,1
Jordan Zimmermann,30,0,1,.000,1.33,5,5,0,0,0,0,20.1,19,10,3,2,4,0,11,1,0,1,81,1.131,8.4,0.9,1.8,4.9,2.75,1
