Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jesse Adams*,22,1,2,.333,1.32,14,0,3,0,0,0,13.2,8,5,2,0,4,0,13,0,0,1,55,0.878,5.3,0.0,2.6,8.6,3.25,0,2016,Rookie,CIN
Junior Arias,22,1,0,1.000,2.18,16,0,6,0,0,3,20.2,15,5,5,0,7,0,19,1,1,1,80,1.065,6.5,0.0,3.0,8.3,2.71,0,2016,Rookie,CIN
Lucas Benenati,23,1,0,1.000,6.00,9,0,9,0,0,4,9.0,11,7,6,0,4,0,12,0,0,0,40,1.667,11.0,0.0,4.0,12.0,3.00,0,2016,Rookie,CIN
Zac Correll,20,5,0,1.000,2.64,18,3,0,0,0,0,44.1,37,14,13,1,8,0,51,0,0,3,174,1.015,7.5,0.2,1.6,10.4,6.38,0,2016,Rookie,CIN
Andy Cox*,22,3,0,1.000,4.59,24,0,4,0,0,1,33.1,33,22,17,0,20,0,27,4,0,8,155,1.590,8.9,0.0,5.4,7.3,1.35,0,2016,Rookie,CIN
Ryan Hendrix,21,0,0,,5.19,6,0,0,0,0,0,8.2,11,5,5,0,5,0,5,0,0,1,38,1.846,11.4,0.0,5.2,5.2,1.00,1,2016,Rookie,CIN
Brian Hunter,23,0,0,,4.22,7,0,3,0,0,0,10.2,14,5,5,0,2,0,8,0,0,4,46,1.500,11.8,0.0,1.7,6.8,4.00,0,2016,Rookie,CIN
Jake Johnson,23,0,2,.000,7.90,17,0,2,0,0,0,27.1,36,26,24,5,23,0,23,4,0,4,140,2.159,11.9,1.6,7.6,7.6,1.00,0,2016,Rookie,CIN
Andrew Jordan,18,1,6,.143,5.43,13,12,0,0,0,0,54.2,63,37,33,6,21,0,59,7,0,4,245,1.537,10.4,1.0,3.5,9.7,2.81,0,2016,Rookie,CIN
Ian Kahaloa,18,2,2,.500,2.82,10,10,0,0,0,0,44.2,38,20,14,4,13,0,42,2,0,3,188,1.142,7.7,0.8,2.6,8.5,3.23,0,2016,Rookie,CIN
Keenan Kish,24,1,0,1.000,8.44,5,0,0,0,0,0,5.1,6,5,5,0,6,0,7,1,0,0,29,2.250,10.1,0.0,10.1,11.8,1.17,0,2016,Rookie,CIN
Joel Kuhnel,21,0,1,.000,3.43,18,0,10,0,0,4,21.0,28,11,8,1,1,0,14,2,0,2,92,1.381,12.0,0.4,0.4,6.0,14.00,1,2016,Rookie,CIN
Carlos Machorro,19,0,2,.000,9.00,8,0,2,0,0,0,11.0,16,11,11,5,3,0,11,2,0,1,51,1.727,13.1,4.1,2.5,9.0,3.67,0,2016,Rookie,CIN
Soid Marquez,21,6,3,.667,5.66,19,1,6,0,0,0,35.0,35,24,22,1,18,0,24,2,1,10,155,1.514,9.0,0.3,4.6,6.2,1.33,0,2016,Rookie,CIN
Alfredo Mena,22,3,3,.500,6.75,20,2,4,0,0,0,40.0,57,38,30,4,14,0,36,6,0,2,192,1.775,12.8,0.9,3.2,8.1,2.57,0,2016,Rookie,CIN
Dauri Moreta,20,0,0,,0.00,2,0,0,0,0,0,2.2,1,1,0,0,3,0,3,0,0,1,11,1.500,3.4,0.0,10.1,10.1,1.00,1,2016,Rookie,CIN
Scott Moss*,21,3,1,.750,2.35,10,10,0,0,0,0,38.1,35,13,10,2,14,0,29,1,0,1,161,1.278,8.2,0.5,3.3,6.8,2.07,0,2016,Rookie,CIN
Moises Nova,20,0,7,.000,4.80,15,15,0,0,0,0,54.1,46,40,29,5,33,0,51,4,0,11,245,1.454,7.6,0.8,5.5,8.4,1.55,0,2016,Rookie,CIN
Aaron Quillen,22,1,0,1.000,4.13,16,2,3,0,0,0,24.0,27,14,11,3,9,0,20,1,0,1,108,1.500,10.1,1.1,3.4,7.5,2.22,0,2016,Rookie,CIN
Jordan Ramsey,23,0,0,,1.08,2,2,0,0,0,0,8.1,6,1,1,0,2,0,7,0,0,0,32,0.960,6.5,0.0,2.2,7.6,3.50,0,2016,Rookie,CIN
Patrick Riehl,22,5,2,.714,3.76,22,0,7,0,0,2,38.1,33,19,16,3,12,0,36,6,0,4,158,1.174,7.7,0.7,2.8,8.5,3.00,0,2016,Rookie,CIN
Adrian Rodriguez,19,2,0,1.000,4.01,8,6,0,0,0,0,33.2,29,17,15,1,9,0,34,3,0,3,140,1.129,7.8,0.3,2.4,9.1,3.78,0,2016,Rookie,CIN
Wennington Romero*,18,0,0,,3.00,1,1,0,0,0,0,3.0,3,1,1,0,1,0,1,0,0,0,13,1.333,9.0,0.0,3.0,3.0,1.00,0,2016,Rookie,CIN
Tony Santillan,19,1,0,1.000,3.92,8,8,0,0,0,0,39.0,32,17,17,4,16,0,46,2,3,8,164,1.231,7.4,0.9,3.7,10.6,2.88,1,2016,Rookie,CIN
Jesse Stallings,21,1,2,.333,5.09,19,0,14,0,0,5,23.0,24,16,13,3,13,0,21,1,1,2,108,1.609,9.4,1.2,5.1,8.2,1.62,0,2016,Rookie,CIN
Alex Webb,21,4,0,1.000,0.79,5,0,2,0,0,0,11.1,9,1,1,0,2,0,9,0,0,0,45,0.971,7.1,0.0,1.6,7.1,4.50,0,2016,Rookie,CIN
Max Wotell*,19,0,1,.000,15.00,3,3,0,0,0,0,6.0,10,10,10,1,7,0,5,1,0,2,35,2.833,15.0,1.5,10.5,7.5,0.71,0,2016,Rookie,CIN
