Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Keaton Aldridge,24,1,1,.500,6.62,12,0,4,0,0,0,17.2,27,17,13,0,4,1,9,3,1,2,87,1.755,13.8,0.0,2.0,4.6,2.25,0,2017,A,NYM
Marty Anderson*,24,0,5,.000,6.89,7,7,0,0,0,0,31.1,46,34,24,6,16,0,36,10,0,5,165,1.979,13.2,1.7,4.6,10.3,2.25,0,2017,A,NYM
Adam Atkins,23,3,0,1.000,0.86,23,0,7,0,0,0,31.1,23,4,3,0,6,0,29,2,0,2,118,0.926,6.6,0.0,1.7,8.3,4.83,0,2017,A,NYM
Matt Blackham,24,4,2,.667,1.43,40,0,22,0,0,8,56.2,37,11,9,0,19,0,82,2,0,4,223,0.988,5.9,0.0,3.0,13.0,4.32,0,2017,A,NYM
Justin Brantley,26,2,4,.333,5.18,9,9,0,0,0,0,48.2,54,29,28,3,20,0,45,5,0,1,219,1.521,10.0,0.6,3.7,8.3,2.25,0,2017,A,NYM
Brandon Brosher,22,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,0,2,0,1,0,0,0,7,4.000,18.0,0.0,18.0,9.0,0.50,0,2017,A,NYM
Gary Cornish,23,1,3,.250,3.07,5,5,0,0,0,0,29.1,30,10,10,1,5,0,20,0,0,2,116,1.193,9.2,0.3,1.5,6.1,4.00,0,2017,A,NYM
Aaron Ford*,22,0,0,,12.71,4,0,1,0,0,0,5.2,7,9,8,3,3,0,9,1,0,2,31,1.765,11.1,4.8,4.8,14.3,3.00,0,2017,A,NYM
J.J. Franco,25,0,0,,10.80,2,0,2,0,0,0,1.2,4,2,2,1,0,0,0,1,0,0,9,2.400,21.6,5.4,0.0,0.0,,0,2017,A,NYM
Harol Gonzalez,22,9,8,.529,3.56,20,20,0,3,0,0,126.1,123,56,50,11,37,1,91,8,0,5,529,1.266,8.8,0.8,2.6,6.5,2.46,0,2017,A,NYM
Merandy Gonzalez,21,8,1,.889,1.55,11,11,0,0,0,0,69.2,50,16,12,3,13,0,65,6,0,1,273,0.904,6.5,0.4,1.7,8.4,5.00,1,2017,A,NYM
Cameron Griffin,26,1,2,.333,3.05,28,0,17,0,0,1,41.1,41,16,14,3,10,0,40,3,0,4,177,1.234,8.9,0.7,2.2,8.7,4.00,0,2017,A,NYM
Taylor Henry*,23,4,0,1.000,4.33,39,0,6,0,0,1,60.1,73,35,29,5,20,0,39,3,1,5,277,1.541,10.9,0.7,3.0,5.8,1.95,0,2017,A,NYM
Colin Holderman,21,2,3,.400,4.94,7,7,0,0,0,0,31.0,24,20,17,2,11,0,25,5,0,4,134,1.129,7.0,0.6,3.2,7.3,2.27,0,2017,A,NYM
Joel Huertas*,21,0,2,.000,10.80,3,1,2,0,0,0,8.1,12,10,10,0,4,0,6,0,0,3,39,1.920,13.0,0.0,4.3,6.5,1.50,0,2017,A,NYM
Jordan Humphreys,21,10,1,.909,1.42,11,11,0,2,1,0,69.2,41,12,11,2,9,0,80,4,1,1,257,0.718,5.3,0.3,1.2,10.3,8.89,0,2017,A,NYM
Chase Ingram,22,1,4,.200,4.63,5,5,0,1,0,0,23.1,18,14,12,0,18,0,16,3,0,6,108,1.543,6.9,0.0,6.9,6.2,0.89,0,2017,A,NYM
Jay Jabs,22,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.0,0.0,0.0,9.0,,0,2017,A,NYM
Max Kuhns,22,1,0,1.000,2.10,17,0,11,0,0,5,25.2,13,6,6,0,10,0,37,2,0,1,100,0.896,4.6,0.0,3.5,13.0,3.70,0,2017,A,NYM
Gabriel Llanes,21,6,11,.353,4.48,24,24,0,2,0,0,142.2,166,90,71,8,38,0,67,14,0,10,627,1.430,10.5,0.5,2.4,4.2,1.76,0,2017,A,NYM
Austin McGeorge,22,0,0,,1.42,6,0,1,0,0,0,12.2,9,4,2,0,4,0,16,1,0,5,53,1.026,6.4,0.0,2.8,11.4,4.00,0,2017,A,NYM
Thomas McIlraith,23,2,1,.667,2.22,4,4,0,0,0,0,24.1,19,7,6,0,8,0,15,0,0,0,98,1.110,7.0,0.0,3.0,5.5,1.88,0,2017,A,NYM
