Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Kolby Allard*,19,8,11,.421,3.18,27,27,0,2,1,0,150.0,146,62,53,11,45,5,129,1,0,10,621,1.273,8.8,0.7,2.7,7.7,2.87,1
Jesse Biddle*,25,2,4,.333,2.90,27,0,8,0,0,2,49.2,48,22,16,3,16,0,53,1,0,0,210,1.289,8.7,0.5,2.9,9.6,3.31,1
Rex Brothers*,29,0,0,,2.79,10,0,4,0,0,1,9.2,7,4,3,0,5,0,18,0,0,4,41,1.241,6.5,0.0,4.7,16.8,3.60,1
Mauricio Cabrera,23,1,0,1.000,5.27,14,0,2,0,0,0,13.2,8,11,8,0,18,0,15,0,0,6,67,1.902,5.3,0.0,11.9,9.9,0.83,1
Corbin Clouse*,22,3,4,.429,2.86,16,0,9,0,0,1,22.0,21,8,7,2,13,4,26,0,0,1,98,1.545,8.6,0.8,5.3,10.6,2.00,0
Max Fried*,23,2,11,.154,5.92,19,19,0,0,0,0,86.2,88,61,57,8,43,2,85,7,2,6,385,1.512,9.1,0.8,4.5,8.8,1.98,1
Sal Giardina,25,0,0,,4.50,2,0,2,0,0,0,2.0,2,1,1,0,1,0,0,0,0,0,8,1.500,9.0,0.0,4.5,0.0,0.00,0
Luiz Gohara*,20,2,1,.667,2.60,12,11,0,0,0,0,52.0,42,17,15,2,18,1,60,3,0,4,217,1.154,7.3,0.3,3.1,10.4,3.33,1
Josh Graham,23,0,1,.000,1.38,10,0,7,0,0,2,13.0,10,2,2,0,9,1,10,0,0,2,56,1.462,6.9,0.0,6.2,6.9,1.11,0
Jason Hursh,25,0,0,,1.23,10,0,8,0,0,5,14.2,10,2,2,0,5,0,10,0,2,2,55,1.023,6.1,0.0,3.1,6.1,2.00,1
Michael Mader*,23,5,5,.500,4.18,35,1,14,0,0,4,64.2,57,34,30,5,41,3,57,0,0,8,290,1.515,7.9,0.7,5.7,7.9,1.39,0
Kris Medlen,31,1,0,1.000,1.74,2,2,0,1,0,0,10.1,10,4,2,0,3,0,8,1,0,0,46,1.258,8.7,0.0,2.6,7.0,2.67,1
A.J. Minter*,23,0,0,,0.00,3,0,1,0,0,0,3.0,1,0,0,0,2,0,3,0,0,0,11,1.000,3.0,0.0,6.0,9.0,1.50,1
Akeel Morris,24,0,0,,0.00,6,0,5,0,0,4,7.2,2,0,0,0,2,0,9,0,0,0,27,0.522,2.3,0.0,2.3,10.6,4.50,1
Wes Parsons,24,3,3,.500,2.71,26,10,8,0,0,3,103.0,83,36,31,5,33,1,98,5,0,9,421,1.126,7.3,0.4,2.9,8.6,2.97,1
Phil Pfeifer*,24,1,3,.250,3.45,30,0,10,0,0,3,44.1,37,18,17,2,33,1,68,1,0,5,197,1.579,7.5,0.4,6.7,13.8,2.06,0
Evan Phillips,22,1,1,.500,8.14,15,0,8,0,0,1,21.0,22,19,19,5,11,1,24,1,0,1,94,1.571,9.4,2.1,4.7,10.3,2.18,1
Tyler Pike*,23,0,9,.000,4.58,15,15,0,1,0,0,74.2,62,45,38,3,63,2,86,3,1,5,344,1.674,7.5,0.4,7.6,10.4,1.37,0
Dan Reynolds,26,1,3,.250,3.26,39,0,12,0,0,3,58.0,50,25,21,0,31,2,52,6,0,3,251,1.397,7.8,0.0,4.8,8.1,1.68,0
Junior Rincon,25,0,1,.000,4.76,3,0,0,0,0,0,5.2,3,4,3,0,5,2,8,1,0,1,27,1.412,4.8,0.0,7.9,12.7,1.60,0
Joe Rogers*,26,0,1,.000,11.57,3,0,1,0,0,0,2.1,4,3,3,0,3,0,1,0,0,0,13,3.000,15.4,0.0,11.6,3.9,0.33,0
Bradley Roney,24,4,1,.800,3.75,15,0,9,0,0,2,24.0,17,12,10,4,17,2,36,0,0,4,102,1.417,6.4,1.5,6.4,13.5,2.12,0
Andres Santiago,27,0,2,.000,6.11,5,3,2,0,0,0,17.2,29,14,12,1,10,1,9,1,0,3,91,2.208,14.8,0.5,5.1,4.6,0.90,0
Chad Sobotka,23,3,1,.750,5.52,18,0,6,0,0,0,31.0,29,19,19,1,19,0,23,2,0,7,140,1.548,8.4,0.3,5.5,6.7,1.21,1
Mike Soroka,19,11,8,.579,2.75,26,26,0,0,0,0,153.2,133,58,47,10,34,0,125,10,0,7,627,1.087,7.8,0.6,2.0,7.3,3.68,1
Touki Toussaint,21,3,4,.429,3.18,7,7,0,1,0,0,39.2,30,19,14,3,22,1,44,2,0,3,169,1.311,6.8,0.7,5.0,10.0,2.00,1
Devan Watts,22,0,2,.000,2.25,20,0,9,0,0,1,32.0,27,12,8,1,13,1,31,3,1,2,137,1.250,7.6,0.3,3.7,8.7,2.38,0
Jacob Webb,23,3,1,.750,2.63,16,0,8,0,0,0,24.0,17,8,7,1,14,1,26,0,2,1,99,1.292,6.4,0.4,5.3,9.8,1.86,1
Patrick Weigel,22,3,0,1.000,2.89,7,7,0,0,0,0,37.1,32,13,12,2,11,0,38,2,0,0,153,1.152,7.7,0.5,2.7,9.2,3.45,1
Matt Withrow,23,1,3,.250,4.47,10,10,0,0,0,0,48.1,39,26,24,8,22,0,44,2,2,2,203,1.262,7.3,1.5,4.1,8.2,2.00,0
