Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jason Alexander,24,0,0,,6.75,2,0,0,0,0,0,5.1,8,7,4,0,1,0,2,0,0,0,27,1.688,13.5,0.0,1.7,3.4,2.00,0,2017,Adv A,LAA
Justin Anderson,24,0,0,,5.06,4,0,2,0,0,1,5.1,4,4,3,0,2,0,6,0,0,2,25,1.125,6.8,0.0,3.4,10.1,3.00,1,2017,Adv A,LAA
Ty Barkell,24,0,1,.000,0.00,3,0,0,0,0,0,6.1,3,1,0,0,3,0,6,0,0,0,22,0.947,4.3,0.0,4.3,8.5,2.00,0,2017,Adv A,LAA
Jaime Barria,20,4,3,.571,2.48,11,11,0,0,0,0,65.1,48,20,18,6,13,0,57,3,1,3,257,0.934,6.6,0.8,1.8,7.9,4.38,1,2017,Adv A,LAA
Nathan Bates,23,0,5,.000,6.53,33,0,17,0,0,7,51.0,65,38,37,5,22,0,58,1,0,2,235,1.706,11.5,0.9,3.9,10.2,2.64,0,2017,Adv A,LAA
Cam Bedrosian,25,0,0,,7.36,4,1,0,0,0,0,3.2,5,3,3,1,0,0,7,0,0,0,17,1.364,12.3,2.5,0.0,17.2,,1,2017,Adv A,LAA
Greg Belton,24,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,0,4,0,0,0,7,0.500,0.0,0.0,4.5,18.0,4.00,0,2017,Adv A,LAA
Nate Bertness*,21,1,2,.333,3.55,6,6,0,0,0,0,33.0,37,20,13,2,8,0,31,1,0,0,143,1.364,10.1,0.5,2.2,8.5,3.88,0,2017,Adv A,LAA
Max Bethell*,23,0,0,,8.25,6,0,2,0,0,0,12.0,19,13,11,1,7,0,9,1,0,1,59,2.167,14.3,0.8,5.3,6.8,1.29,0,2017,Adv A,LAA
Vicente Campos,24,0,1,.000,16.20,1,1,0,0,0,0,1.2,3,3,3,2,3,0,3,0,0,0,11,3.600,16.2,10.8,16.2,16.2,1.00,1,2017,Adv A,LAA
Jesus Castillo,21,8,3,.727,3.62,16,15,1,0,0,0,82.0,86,45,33,13,18,1,74,5,0,2,346,1.268,9.4,1.4,2.0,8.1,4.11,0,2017,Adv A,LAA
Ryan Clark,23,1,4,.200,8.27,10,9,1,0,0,0,37.0,58,41,34,12,16,1,29,3,1,3,185,2.000,14.1,2.9,3.9,7.1,1.81,0,2017,Adv A,LAA
Samil De Los Santos,23,3,2,.600,4.08,32,0,24,0,0,10,46.1,49,21,21,4,20,2,52,2,1,7,202,1.489,9.5,0.8,3.9,10.1,2.60,0,2017,Adv A,LAA
Greyfer Eregua,23,0,3,.000,5.02,17,9,3,0,0,3,52.0,53,31,29,7,18,0,53,2,0,1,223,1.365,9.2,1.2,3.1,9.2,2.94,0,2017,Adv A,LAA
