Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Ricky Nolasco,34,6,15,.286,4.92,33,33,0,1,1,0,181.0,205,102,99,35,58,3,143,3,0,4,787,1.453,10.2,1.7,2.9,7.1,2.47,1
JC Ramirez,28,11,10,.524,4.15,27,24,1,0,0,0,147.1,149,72,68,21,49,1,105,6,1,5,620,1.344,9.1,1.3,3.0,6.4,2.14,1
Jesse Chavez,33,7,11,.389,5.35,38,21,6,0,0,0,138.0,148,83,82,28,45,2,119,2,0,1,586,1.399,9.7,1.8,2.9,7.8,2.64,1
Parker Bridwell,25,10,3,.769,3.64,21,20,0,0,0,0,121.0,115,52,49,19,30,0,73,4,0,4,492,1.198,8.6,1.4,2.2,5.4,2.43,1
Tyler Skaggs*,25,2,6,.250,4.55,16,16,0,0,0,0,85.0,90,46,43,13,28,0,76,6,2,5,365,1.388,9.5,1.4,3.0,8.0,2.71,1
Matt Shoemaker,30,6,3,.667,4.52,14,14,0,0,0,0,77.2,73,41,39,15,28,0,69,4,1,2,326,1.300,8.5,1.7,3.2,8.0,2.46,1
Bud Norris,32,2,6,.250,4.21,60,3,35,0,0,19,62.0,56,29,29,8,27,3,74,3,0,6,267,1.339,8.1,1.2,3.9,10.7,2.74,1
Yusmeiro Petit,32,5,2,.714,2.76,60,1,10,0,0,4,91.1,69,32,28,9,18,4,101,1,0,0,354,0.953,6.8,0.9,1.8,10.0,5.61,1
Blake Parker,32,3,3,.500,2.54,71,0,17,0,0,8,67.1,40,20,19,7,16,0,86,1,0,4,254,0.832,5.3,0.9,2.1,11.5,5.38,1
Keynan Middleton,23,6,1,.857,3.86,64,0,17,0,0,3,58.1,60,25,25,11,18,2,63,0,0,2,246,1.337,9.3,1.7,2.8,9.7,3.50,1
Jose Alvarez*,28,0,3,.000,3.88,64,0,12,0,0,1,48.2,50,23,21,7,12,5,45,0,0,1,203,1.274,9.2,1.3,2.2,8.3,3.75,1
Alex Meyer,27,4,5,.444,3.74,13,13,0,0,0,0,67.1,48,30,28,6,42,0,75,4,1,5,292,1.337,6.4,0.8,5.6,10.0,1.79,1
Cam Bedrosian,25,6,5,.545,4.43,48,0,13,0,0,6,44.2,41,26,22,5,17,1,53,0,0,7,190,1.299,8.3,1.0,3.4,10.7,3.12,1
David Hernandez,32,1,0,1.000,2.23,38,0,10,0,0,1,36.1,29,10,9,0,8,0,37,1,0,3,140,1.018,7.2,0.0,2.0,9.2,4.63,1
Garrett Richards,29,0,2,.000,2.28,6,6,0,0,0,0,27.2,18,8,7,1,7,0,27,0,0,2,108,0.904,5.9,0.3,2.3,8.8,3.86,1
Deolis Guerra,28,2,2,.500,4.68,19,0,5,0,0,0,25.0,20,13,13,4,12,0,22,0,0,2,105,1.280,7.2,1.4,4.3,7.9,1.83,1
Troy Scribner,25,2,1,.667,4.18,10,4,3,0,0,0,23.2,17,14,11,7,10,0,18,2,0,0,99,1.141,6.5,2.7,3.8,6.8,1.80,1
Eduardo Paredes,22,0,1,.000,4.43,18,0,6,0,0,1,22.1,21,11,11,2,6,1,17,3,0,0,92,1.209,8.5,0.8,2.4,6.9,2.83,1
Andrew Heaney*,26,1,2,.333,7.06,5,5,0,0,0,0,21.2,27,17,17,12,9,0,27,0,0,2,101,1.662,11.2,5.0,3.7,11.2,3.00,1
Daniel Wright,26,0,1,.000,4.58,5,2,3,0,0,0,19.2,21,12,10,1,8,0,11,2,0,1,85,1.475,9.6,0.5,3.7,5.0,1.38,1
Blake Wood,31,2,0,1.000,4.76,17,0,2,0,0,0,17.0,20,9,9,3,4,1,22,0,0,1,73,1.412,10.6,1.6,2.1,11.6,5.50,1
Mike Morin,26,0,0,,6.91,10,0,3,0,0,0,14.1,21,11,11,3,2,1,10,1,0,0,65,1.605,13.2,1.9,1.3,6.3,5.00,1
Fernando Salas,32,1,0,1.000,2.63,13,0,4,0,0,0,13.2,7,4,4,0,2,0,9,0,0,0,49,0.659,4.6,0.0,1.3,5.9,4.50,1
Brooks Pounders,26,1,0,1.000,10.45,11,0,10,0,0,0,10.1,17,12,12,4,5,1,12,1,1,0,54,2.129,14.8,3.5,4.4,10.5,2.40,1
Noe Ramirez,27,0,0,,2.16,10,0,0,0,0,0,8.1,3,3,2,0,4,0,10,0,0,0,31,0.840,3.2,0.0,4.3,10.8,2.50,1
Huston Street,33,0,0,,0.00,4,0,2,0,0,0,4.0,2,0,0,0,1,0,3,0,0,0,15,0.750,4.5,0.0,2.3,6.8,3.00,1
Andrew Bailey,33,2,0,1.000,0.00,4,0,2,0,0,0,4.0,1,0,0,0,0,0,2,0,0,0,13,0.250,2.3,0.0,0.0,4.5,,1
Kirby Yates,30,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,2,0,0,1,0,0,0,5,2.000,18.0,18.0,0.0,9.0,,1
Jose Valdez,27,0,0,,18.00,1,0,0,0,0,0,1.0,1,2,2,1,1,0,1,0,0,0,5,2.000,9.0,9.0,9.0,9.0,1.00,1
Jason Gurka*,29,0,0,,0.00,3,0,0,0,0,0,0.2,2,0,0,0,1,0,0,0,0,0,5,4.500,27.0,0.0,13.5,0.0,0.00,1
Damien Magnifico,26,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,2,0,1,0,0,0,3,6.000,0.0,0.0,54.0,27.0,0.50,1
