Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Jeremy Beasley,22,0,2,.000,2.35,6,5,0,0,0,0,23.0,16,6,6,0,7,0,19,0,1,2,89,1.000,6.3,0.0,2.7,7.4,2.71,1
Greg Belton,25,0,1,.000,3.18,4,0,2,0,0,0,5.2,6,3,2,2,1,0,8,1,0,0,24,1.235,9.5,3.2,1.6,12.7,8.00,0
Anfernee Benitez*,22,3,4,.429,4.92,24,1,3,0,0,0,53.0,51,38,29,1,31,0,64,8,2,8,248,1.547,8.7,0.2,5.3,10.9,2.06,0
Denny Brady,21,0,5,.000,4.72,13,13,0,0,0,0,47.2,51,29,25,1,15,0,47,3,0,5,206,1.385,9.6,0.2,2.8,8.9,3.13,0
Marc Brakeman,24,1,0,1.000,0.00,1,0,0,0,0,0,3.1,1,0,0,0,0,0,3,0,0,0,11,0.300,2.7,0.0,0.0,8.1,,0
Kida De La Cruz,23,2,2,.500,3.94,18,0,11,0,0,1,32.0,25,18,14,2,26,1,43,2,1,4,148,1.594,7.0,0.6,7.3,12.1,1.65,0
Eduardo Del Rosario,23,3,5,.375,3.38,33,0,15,0,0,2,64.0,58,30,24,4,35,0,74,2,1,10,281,1.453,8.2,0.6,4.9,10.4,2.11,0
Matt Eagle,22,0,0,,5.40,4,0,0,0,0,0,6.2,8,4,4,3,2,0,9,0,0,0,28,1.500,10.8,4.1,2.7,12.2,4.50,0
Kyle Halbohn,25,1,0,1.000,5.25,5,1,2,0,0,0,12.0,11,7,7,1,6,0,9,0,0,2,50,1.417,8.3,0.8,4.5,6.8,1.50,0
Brett Hanewich,23,0,2,.000,3.76,16,0,4,0,0,2,26.1,25,12,11,0,15,0,23,4,0,2,113,1.519,8.5,0.0,5.1,7.9,1.53,0
Max Herrmann*,24,2,9,.182,5.78,29,12,5,0,0,0,81.0,113,58,52,7,34,0,68,4,0,5,382,1.815,12.6,0.8,3.8,7.6,2.00,0
Sean Isaac,25,1,1,.500,3.38,3,0,2,0,0,1,5.1,4,2,2,0,2,0,8,0,0,0,22,1.125,6.8,0.0,3.4,13.5,4.00,0
Nick Jobst,24,0,0,,9.45,5,0,3,0,0,1,6.2,7,8,7,0,6,0,7,0,0,1,31,1.950,9.5,0.0,8.1,9.5,1.17,0
Zack Kelly,23,3,3,.500,2.86,12,0,4,0,0,0,28.1,26,10,9,3,12,0,25,3,0,5,119,1.341,8.3,1.0,3.8,7.9,2.08,0
Austin Krzeminski,21,5,6,.455,2.23,39,5,19,0,0,4,92.2,91,31,23,5,34,0,72,0,0,2,385,1.349,8.8,0.5,3.3,7.0,2.12,0
Luis Madero,21,2,7,.222,4.26,14,14,0,0,0,0,61.1,69,33,29,5,15,0,49,3,0,6,265,1.370,10.1,0.7,2.2,7.2,3.27,1
Jon Malmin*,23,0,1,.000,7.04,8,1,2,0,0,0,15.1,14,16,12,3,18,0,13,1,0,0,80,2.087,8.2,1.8,10.6,7.6,0.72,0
Simon Mathews,22,0,2,.000,4.22,10,8,0,0,0,0,42.2,44,23,20,4,10,0,46,2,0,2,178,1.266,9.3,0.8,2.1,9.7,4.60,0
Isaac Mattson,22,5,3,.625,3.95,14,11,1,0,0,0,57.0,59,25,25,1,19,0,46,3,0,1,243,1.368,9.3,0.2,3.0,7.3,2.42,1
Oliver Ortega,21,4,5,.444,3.51,19,18,0,0,0,0,82.0,64,36,32,6,41,0,86,1,1,19,346,1.280,7.0,0.7,4.5,9.4,2.10,1
Sam Pastrone,21,2,2,.500,5.23,7,3,2,0,0,0,20.2,19,18,12,1,26,0,17,2,0,6,106,2.177,8.3,0.4,11.3,7.4,0.65,0
Mayky Perez,21,1,0,1.000,2.58,25,0,17,0,0,3,38.1,16,14,11,1,22,0,57,2,1,4,153,0.991,3.8,0.2,5.2,13.4,2.59,0
Keith Rogalla,22,0,0,,1.93,2,2,0,0,0,0,4.2,4,1,1,0,4,0,7,0,0,1,22,1.714,7.7,0.0,7.7,13.5,1.75,0
Alvaro Rubalcaba,23,0,0,,13.50,1,0,1,0,0,0,0.2,2,1,1,1,0,0,0,0,0,0,4,3.000,27.0,13.5,0.0,0.0,,0
Carlos Salazar,23,0,0,,0.00,1,0,1,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0,8,1.000,4.5,0.0,4.5,4.5,1.00,0
Jeyson Sanchez,23,0,0,,10.13,2,0,2,0,0,0,2.2,6,3,3,0,0,0,1,1,0,0,15,2.250,20.3,0.0,0.0,3.4,,0
Michael Santos,23,3,1,.750,2.89,15,5,3,0,0,0,46.2,34,16,15,2,18,0,50,3,0,1,189,1.114,6.6,0.4,3.5,9.6,2.78,0
Jose Soriano,19,1,6,.143,4.47,14,14,0,0,0,0,46.1,34,24,23,1,35,0,42,4,1,10,198,1.489,6.6,0.2,6.8,8.2,1.20,0
Jorge Tavarez,22,2,4,.333,2.86,21,1,10,0,0,0,44.0,39,19,14,0,19,0,55,1,0,5,186,1.318,8.0,0.0,3.9,11.3,2.89,0
Mitchell Traver,24,5,7,.417,4.08,20,20,0,0,0,0,81.2,83,46,37,9,32,0,69,5,3,12,357,1.408,9.1,1.0,3.5,7.6,2.16,0
Andrew Wantz,22,1,2,.333,3.71,14,0,3,0,0,0,17.0,11,8,7,2,12,0,35,0,0,2,73,1.353,5.8,1.1,6.4,18.5,2.92,1
Austin Warren,22,0,2,.000,3.00,15,0,6,0,0,3,21.0,17,9,7,3,5,0,27,1,0,2,83,1.048,7.3,1.3,2.1,11.6,5.40,1
