Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Jasiel Alvino,21,2,0,1.000,4.56,17,0,12,0,0,6,25.2,20,15,13,3,11,0,23,2,1,2,107,1.208,7.0,1.1,3.9,8.1,2.09,0
Brock Carpenter,23,1,0,1.000,0.00,2,0,2,0,0,0,3.0,2,0,0,0,0,0,1,0,0,0,11,0.667,6.0,0.0,0.0,3.0,,0
Gerardo Carrillo,19,2,1,.667,1.65,9,9,0,0,0,0,49.0,35,10,9,3,15,1,37,4,1,4,195,1.020,6.4,0.6,2.8,6.8,2.47,0
James Carter,24,2,1,.667,5.06,12,0,4,0,0,0,21.1,21,13,12,1,7,0,18,1,0,1,90,1.313,8.9,0.4,3.0,7.6,2.57,0
Jeronimo Castro,21,1,2,.333,6.63,6,6,0,0,0,0,19.0,23,14,14,2,10,0,26,3,0,1,92,1.737,10.9,0.9,4.7,12.3,2.60,0
Yeison Cespedes,20,0,1,.000,12.60,5,0,3,0,0,0,5.0,5,11,7,1,6,1,3,1,0,0,28,2.200,9.0,1.8,10.8,5.4,0.50,0
Jose Chacin,21,0,3,.000,4.36,7,6,0,0,0,0,33.0,41,22,16,3,10,0,28,1,2,1,150,1.545,11.2,0.8,2.7,7.6,2.80,0
Leo Crawford*,21,0,5,.000,4.02,14,9,1,0,0,0,47.0,52,26,21,2,6,0,33,3,1,1,195,1.234,10.0,0.4,1.1,6.3,5.50,0
Austin Drury*,20,3,1,.750,0.51,10,0,2,0,0,1,17.2,8,1,1,0,5,0,18,3,0,1,68,0.736,4.1,0.0,2.5,9.2,3.60,0
Max Gamboa,22,3,4,.429,4.22,17,11,4,0,0,0,53.1,53,37,25,2,25,1,51,1,1,6,243,1.463,8.9,0.3,4.2,8.6,2.04,0
Victor Gonzalez*,22,0,3,.000,5.61,6,6,0,0,0,0,25.2,33,17,16,3,5,0,18,0,0,3,111,1.481,11.6,1.1,1.8,6.3,3.60,1
Justin Hagenman,21,1,0,1.000,6.75,4,0,0,0,0,0,8.0,13,6,6,2,2,0,6,0,1,0,38,1.875,14.6,2.3,2.3,6.8,3.00,0
Austin Hamilton*,24,2,0,1.000,3.60,10,0,0,0,0,0,20.0,22,10,8,2,4,0,22,0,0,2,86,1.300,9.9,0.9,1.8,9.9,5.50,0
Devin Hemmerich*,22,5,5,.500,2.73,31,0,14,0,0,2,56.0,46,25,17,3,27,5,34,2,0,7,239,1.304,7.4,0.5,4.3,5.5,1.26,0
Ricardo Hernandez,20,0,1,.000,4.50,1,0,0,0,0,0,2.0,2,2,1,0,2,0,3,0,0,1,10,2.000,9.0,0.0,9.0,13.5,1.50,0
Garrett Hope,24,0,0,,0.00,2,0,1,0,0,0,2.2,1,0,0,0,0,0,3,0,0,0,10,0.375,3.4,0.0,0.0,10.1,,0
Justin Hoyt*,23,1,1,.500,5.48,11,0,4,0,0,0,21.1,21,13,13,1,11,1,16,0,0,1,91,1.500,8.9,0.4,4.6,6.8,1.45,0
Joel Inoa,22,1,2,.333,5.34,7,5,0,0,0,0,30.1,30,19,18,5,14,0,21,0,2,4,129,1.451,8.9,1.5,4.2,6.2,1.50,0
Andre Jackson,22,1,5,.167,4.35,14,14,0,0,0,0,49.2,48,29,24,3,41,0,45,2,1,7,233,1.792,8.7,0.5,7.4,8.2,1.10,1
Dan Jagiello,23,2,2,.500,2.60,32,0,13,0,0,3,52.0,32,17,15,0,32,3,60,2,0,5,211,1.231,5.5,0.0,5.5,10.4,1.88,0
Melvin Jimenez,18,3,7,.300,4.22,28,6,13,0,0,4,59.2,41,30,28,4,29,0,59,5,1,8,248,1.173,6.2,0.6,4.4,8.9,2.03,0
Marshall Kasowski,23,0,1,.000,2.57,15,1,4,0,0,0,28.0,13,11,8,1,18,0,49,0,0,2,116,1.107,4.2,0.3,5.8,15.8,2.72,0
Stephen Kolek,21,2,0,1.000,0.66,14,0,7,0,0,2,27.1,16,2,2,0,6,1,27,0,0,2,102,0.805,5.3,0.0,2.0,8.9,4.50,0
Wills Montgomerie,23,0,1,.000,1.45,7,4,0,0,0,0,31.0,16,9,5,1,21,0,36,1,0,2,127,1.194,4.6,0.3,6.1,10.5,1.71,0
Orlandy Navarro,19,0,0,,0.00,1,0,0,0,0,0,2.2,0,0,0,0,1,0,1,0,0,1,8,0.375,0.0,0.0,3.4,3.4,1.00,0
Darien Núñez*,25,1,2,.333,2.67,17,0,5,0,0,2,30.1,28,9,9,2,12,0,46,2,0,1,129,1.319,8.3,0.6,3.6,13.6,3.83,1
Riley Ottesen,23,1,4,.200,11.39,12,4,3,0,0,0,27.2,22,35,35,0,38,0,25,8,1,11,146,2.169,7.2,0.0,12.4,8.1,0.66,0
Luis Pasen,23,1,0,1.000,8.68,6,0,0,0,0,0,9.1,12,9,9,1,10,0,11,2,0,3,51,2.357,11.6,1.0,9.6,10.6,1.10,0
Eric Peterson,24,0,0,,13.50,3,0,2,0,0,0,2.0,5,3,3,0,0,0,0,0,0,0,11,2.500,22.5,0.0,0.0,0.0,,0
Zach Pop,21,0,2,.000,2.20,11,0,3,0,0,0,16.1,12,8,4,1,7,0,24,0,0,0,69,1.163,6.6,0.6,3.9,13.2,3.43,1
John Rooney*,21,0,0,,2.40,6,6,0,0,0,0,15.0,12,4,4,0,7,0,14,2,0,1,60,1.267,7.2,0.0,4.2,8.4,2.00,0
Logan Salow*,23,1,0,1.000,5.06,3,0,0,0,0,0,5.1,5,3,3,1,2,0,8,0,0,0,24,1.313,8.4,1.7,3.4,13.5,4.00,0
Vinny Santarsiero,24,0,0,,0.00,1,0,1,0,0,0,2.0,1,0,0,0,0,0,3,0,0,0,7,0.500,4.5,0.0,0.0,13.5,,0
Sven Schuller,22,1,2,.333,4.84,14,0,8,0,0,0,22.1,25,15,12,1,5,1,23,3,1,4,102,1.343,10.1,0.4,2.0,9.3,4.60,0
Andre Scrubb,23,3,2,.600,5.10,19,0,6,0,0,2,30.0,33,21,17,3,16,1,34,2,0,4,137,1.633,9.9,0.9,4.8,10.2,2.13,1
Gregorio Sequera,20,0,0,,4.91,2,0,1,0,0,0,3.2,3,2,2,0,5,0,4,0,0,0,19,2.182,7.4,0.0,12.3,9.8,0.80,0
Connor Strain,23,2,0,1.000,1.40,16,0,6,0,0,0,25.2,20,5,4,1,12,0,21,0,0,7,104,1.247,7.0,0.4,4.2,7.4,1.75,0
Alfredo Tavarez,20,3,6,.333,3.30,20,18,0,0,0,0,95.1,80,40,35,4,47,1,67,6,0,5,406,1.332,7.6,0.4,4.4,6.3,1.43,0
