Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Adam Atkins,24,0,0,,4.15,2,0,0,0,0,0,4.1,6,3,2,0,2,0,4,1,0,3,23,1.846,12.5,0.0,4.2,8.3,2.00,0,2018,AA,NYM
Tyler Bashlor,25,0,3,.000,2.63,20,0,15,0,0,7,24.0,14,8,7,2,12,0,30,1,0,0,96,1.083,5.3,0.8,4.5,11.3,2.50,1,2018,AA,NYM
Gerson Bautista,23,1,0,1.000,4.82,6,0,2,0,0,0,9.1,12,5,5,0,0,0,15,1,0,0,40,1.286,11.6,0.0,0.0,14.5,,1,2018,AA,NYM
Matt Blackham,25,1,2,.333,3.42,22,0,11,0,0,0,26.1,18,12,10,2,17,1,36,1,0,2,116,1.329,6.2,0.7,5.8,12.3,2.12,0,2018,AA,NYM
Joe Cavallaro,22,0,0,,9.00,1,1,0,0,0,0,5.0,9,5,5,2,1,0,5,1,0,0,26,2.000,16.2,3.6,1.8,9.0,5.00,0,2018,AA,NYM
Andrew Church,23,1,5,.167,6.44,7,7,0,0,0,0,36.1,49,30,26,5,7,0,31,4,0,4,164,1.541,12.1,1.2,1.7,7.7,4.43,0,2018,AA,NYM
Scott Copeland,30,6,4,.600,3.63,14,14,0,0,0,0,79.1,83,34,32,5,29,1,67,4,0,3,338,1.412,9.4,0.6,3.3,7.6,2.31,1,2018,AA,NYM
Nabil Crismatt,23,8,6,.571,3.59,18,18,0,1,0,0,105.1,95,49,42,8,37,0,105,7,1,6,443,1.253,8.1,0.7,3.2,9.0,2.84,1,2018,AA,NYM
Justin Dunn,22,6,5,.545,4.22,15,15,0,0,0,0,89.2,85,49,42,7,37,1,105,4,0,6,379,1.361,8.5,0.7,3.7,10.5,2.84,1,2018,AA,NYM
Matt Gage*,25,2,1,.667,3.12,3,3,0,0,0,0,17.1,24,7,6,0,4,1,17,0,0,0,78,1.615,12.5,0.0,2.1,8.8,4.25,0,2018,AA,NYM
Drew Gagnon,28,1,0,1.000,0.00,1,1,0,0,0,0,6.0,2,0,0,0,1,0,5,0,0,1,22,0.500,3.0,0.0,1.5,7.5,5.00,1,2018,AA,NYM
Jose Garcia,23,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,1.000,9.0,0.0,0.0,0.0,,0,2018,AA,NYM
Michael Gibbons,25,1,1,.500,0.00,2,2,0,0,0,0,8.1,10,2,0,0,2,0,7,0,0,0,36,1.440,10.8,0.0,2.2,7.6,3.50,0,2018,AA,NYM
Harol Gonzalez,23,0,9,.000,7.79,9,9,0,0,0,0,52.0,79,48,45,10,17,0,30,1,1,5,246,1.846,13.7,1.7,2.9,5.2,1.76,0,2018,AA,NYM
Eric Hanhold,24,3,1,.750,2.84,17,0,12,0,0,8,25.1,21,8,8,1,9,2,32,3,0,0,107,1.184,7.5,0.4,3.2,11.4,3.56,1,2018,AA,NYM
Christian James,20,0,1,.000,2.25,1,1,0,0,0,0,4.0,3,1,1,0,1,0,4,0,0,0,16,1.000,6.8,0.0,2.3,9.0,4.00,0,2018,AA,NYM
Mickey Jannis,30,10,6,.625,3.60,24,23,0,1,0,0,142.1,157,65,57,12,36,1,114,5,1,8,608,1.356,9.9,0.8,2.3,7.2,3.17,1,2018,AA,NYM
Franklyn Kilome,23,0,3,.000,4.03,7,7,0,0,0,0,38.0,31,19,17,3,10,0,42,3,0,1,155,1.079,7.3,0.7,2.4,9.9,4.20,1,2018,AA,NYM
Ricky Knapp,26,0,1,.000,5.40,3,3,0,0,0,0,10.0,14,8,6,0,4,0,2,0,0,0,45,1.800,12.6,0.0,3.6,1.8,0.50,0,2018,AA,NYM
Johnny Magliozzi,26,0,1,.000,10.29,5,1,1,0,0,0,7.0,16,10,8,0,8,0,6,1,0,2,43,3.429,20.6,0.0,10.3,7.7,0.75,0,2018,AA,NYM
Austin McGeorge,23,1,1,.500,7.96,22,0,7,0,0,0,26.0,44,25,23,5,8,0,27,0,0,7,125,2.000,15.2,1.7,2.8,9.3,3.38,0,2018,AA,NYM
Kevin McGowan,26,0,3,.000,6.26,5,4,0,0,0,0,23.0,24,17,16,6,8,0,25,1,0,3,100,1.391,9.4,2.3,3.1,9.8,3.13,1,2018,AA,NYM
Marcos Molina,23,1,9,.100,6.66,14,14,0,0,0,0,73.0,102,59,54,14,29,2,57,5,0,7,347,1.795,12.6,1.7,3.6,7.0,1.97,0,2018,AA,NYM
Stephen Nogosek,23,0,0,,8.10,16,0,6,0,0,0,20.0,16,20,18,3,21,0,21,0,0,5,98,1.850,7.2,1.4,9.5,9.5,1.00,1,2018,AA,NYM
Matt Pobereyko,26,1,0,1.000,0.00,5,0,2,0,0,0,5.2,2,2,0,0,1,0,6,1,0,1,21,0.529,3.2,0.0,1.6,9.5,6.00,0,2018,AA,NYM
Josh Prevost,26,0,0,,7.94,1,1,0,0,0,0,5.2,9,5,5,0,3,0,4,0,0,0,27,2.118,14.3,0.0,4.8,6.4,1.33,0,2018,AA,NYM
David Roseboom*,26,3,3,.500,2.72,40,0,9,0,0,1,49.2,40,20,15,3,19,2,61,8,0,5,218,1.188,7.2,0.5,3.4,11.1,3.21,0,2018,AA,NYM
Ryder Ryan,23,3,3,.500,4.13,26,0,15,0,0,3,32.2,27,17,15,5,10,0,36,3,0,7,137,1.133,7.4,1.4,2.8,9.9,3.60,0,2018,AA,NYM
Joe Shaw,24,1,4,.200,6.47,12,12,0,0,0,0,65.1,77,50,47,9,29,2,49,8,0,5,298,1.622,10.6,1.2,4.0,6.8,1.69,0,2018,AA,NYM
Drew Smith,24,0,0,,2.08,2,0,1,0,0,1,4.1,2,1,1,0,1,0,6,0,0,0,15,0.692,4.2,0.0,2.1,12.5,6.00,1,2018,AA,NYM
Corey Taylor,25,2,1,.667,2.41,29,3,13,0,0,6,41.0,50,12,11,1,9,2,34,1,0,1,176,1.439,11.0,0.2,2.0,7.5,3.78,0,2018,AA,NYM
Joshua Torres,24,9,0,1.000,1.19,35,0,19,0,0,6,45.1,36,8,6,1,14,3,58,2,0,1,185,1.103,7.1,0.2,2.8,11.5,4.14,0,2018,AA,NYM
Adonis Uceta,24,0,1,.000,4.26,16,0,4,0,0,1,25.1,25,17,12,2,12,1,28,1,0,5,115,1.461,8.9,0.7,4.3,9.9,2.33,0,2018,AA,NYM
Steve Villines,22,1,0,1.000,3.18,7,0,2,0,0,0,11.1,6,4,4,1,2,0,17,1,0,0,43,0.706,4.8,0.8,1.6,13.5,8.50,0,2018,AA,NYM
Daniel Zamora*,25,1,1,.500,3.48,40,1,9,0,0,2,51.2,37,20,20,3,16,1,69,1,0,1,206,1.026,6.4,0.5,2.8,12.0,4.31,1,2018,AA,NYM
Joe Zanghi,23,1,1,.500,5.11,17,0,9,0,0,0,24.2,25,16,14,1,8,0,22,4,0,3,111,1.338,9.1,0.4,2.9,8.0,2.75,0,2018,AA,NYM
