Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
R.J. Alaniz,27,2,1,.667,2.84,9,0,6,0,0,1,12.2,7,5,4,0,7,2,13,1,0,1,52,1.105,5.0,0.0,5.0,9.2,1.86,1,2018,AA,TBR
Kyle Bird*,25,0,2,.000,3.66,16,1,14,0,0,4,19.2,14,9,8,2,9,0,23,3,0,2,82,1.169,6.4,0.9,4.1,10.5,2.56,1,2018,AA,TBR
Blake Bivens,22,0,2,.000,6.23,6,3,0,0,0,0,21.2,24,15,15,4,12,0,15,1,0,1,97,1.662,10.0,1.7,5.0,6.2,1.25,0,2018,AA,TBR
Mike Broadway,31,2,2,.500,3.60,22,1,9,0,0,1,30.0,20,14,12,3,11,1,38,3,0,1,126,1.033,6.0,0.9,3.3,11.4,3.45,1,2018,AA,TBR
Brock Burke*,21,6,1,.857,1.95,9,9,0,0,0,0,55.1,39,12,12,2,14,0,71,3,0,2,221,0.958,6.3,0.3,2.3,11.5,5.07,1,2018,AA,TBR
Genesis Cabrera*,21,7,6,.538,4.12,21,20,0,0,0,0,113.2,90,53,52,11,57,0,124,2,2,9,474,1.293,7.1,0.9,4.5,9.8,2.18,1,2018,AA,TBR
Danny De la Calle,25,0,0,,81.00,1,0,1,0,0,0,0.1,1,3,3,1,2,0,0,0,0,0,4,9.000,27.0,27.0,54.0,0.0,0.00,0,2018,AA,TBR
Yoel Espinal,25,3,3,.500,1.98,40,0,27,0,0,10,54.2,29,18,12,5,29,6,71,2,0,5,223,1.061,4.8,0.8,4.8,11.7,2.45,0,2018,AA,TBR
Mike Franco,26,1,0,1.000,2.16,12,0,7,0,0,3,16.2,7,4,4,0,6,1,20,0,0,0,61,0.780,3.8,0.0,3.2,10.8,3.33,0,2018,AA,TBR
Cody Hall,30,1,1,.500,3.72,9,0,7,0,0,5,9.2,5,6,4,1,6,0,5,0,0,1,39,1.138,4.7,0.9,5.6,4.7,0.83,1,2018,AA,TBR
Jordan Harrison*,27,0,1,.000,1.56,36,0,15,0,0,2,40.1,26,9,7,2,21,0,38,1,0,4,160,1.165,5.8,0.4,4.7,8.5,1.81,0,2018,AA,TBR
Spencer Jones,23,1,1,.500,4.11,10,2,2,0,0,0,15.1,19,8,7,2,5,0,7,0,0,0,64,1.565,11.2,1.2,2.9,4.1,1.40,0,2018,AA,TBR
Reece Karalus,24,1,1,.500,7.77,12,0,4,0,0,1,22.0,24,20,19,4,11,0,21,0,0,4,101,1.591,9.8,1.6,4.5,8.6,1.91,0,2018,AA,TBR
Matt Krook*,23,4,2,.667,4.26,37,6,4,0,0,0,74.0,57,40,35,3,50,0,95,8,0,20,326,1.446,6.9,0.4,6.1,11.6,1.90,0,2018,AA,TBR
Brandon Lawson,23,3,1,.750,4.25,14,5,2,0,0,0,42.1,53,24,20,4,17,2,33,0,0,1,192,1.654,11.3,0.9,3.6,7.0,1.94,0,2018,AA,TBR
Zach Lee,26,8,1,.889,2.31,13,12,0,1,1,0,74.0,72,23,19,4,20,0,59,1,0,2,307,1.243,8.8,0.5,2.4,7.2,2.95,1,2018,AA,TBR
Eduar Lopez,23,5,2,.714,4.32,12,11,0,0,0,0,58.1,53,28,28,3,29,0,38,2,1,1,251,1.406,8.2,0.5,4.5,5.9,1.31,0,2018,AA,TBR
J.D. Martin,35,8,10,.444,4.49,25,22,0,0,0,0,124.1,127,66,62,10,60,0,71,13,0,5,553,1.504,9.2,0.7,4.3,5.1,1.18,1,2018,AA,TBR
Sam McWilliams,22,6,7,.462,5.02,19,15,0,0,0,0,100.1,111,61,56,13,40,0,94,5,0,10,445,1.505,10.0,1.2,3.6,8.4,2.35,0,2018,AA,TBR
Dalton Moats*,23,2,3,.400,5.34,41,10,9,0,0,0,62.1,58,41,37,12,29,0,65,1,1,5,275,1.396,8.4,1.7,4.2,9.4,2.24,0,2018,AA,TBR
Benton Moss,25,8,5,.615,2.75,18,15,0,1,0,0,101.1,85,32,31,13,22,1,75,1,0,4,401,1.056,7.5,1.2,2.0,6.7,3.41,0,2018,AA,TBR
Travis Ott*,23,3,3,.500,3.21,43,2,11,0,0,4,70.0,57,28,25,6,29,1,91,6,2,4,299,1.229,7.3,0.8,3.7,11.7,3.14,0,2018,AA,TBR
Colin Poche*,24,1,0,1.000,0.00,3,0,0,0,0,0,5.0,1,0,0,0,0,0,9,0,0,0,16,0.200,1.8,0.0,0.0,16.2,,1,2018,AA,TBR
Roel Ramirez,23,3,1,.750,3.32,26,1,9,0,0,0,40.2,37,19,15,4,17,1,46,1,0,6,171,1.328,8.2,0.9,3.8,10.2,2.71,1,2018,AA,TBR
Forrest Snow,29,1,0,1.000,4.00,2,1,0,0,0,0,9.0,10,4,4,1,4,0,7,1,0,0,41,1.556,10.0,1.0,4.0,7.0,1.75,0,2018,AA,TBR
Curtis Taylor,22,3,4,.429,2.37,30,4,10,0,0,6,60.2,34,16,16,6,26,1,74,2,0,2,239,0.989,5.0,0.9,3.9,11.0,2.85,0,2018,AA,TBR
Austin Wright*,28,0,1,.000,13.50,6,0,1,0,0,0,7.1,10,12,11,2,9,0,8,0,0,4,40,2.591,12.3,2.5,11.0,9.8,0.89,0,2018,AA,TBR
