Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Adbert Alzolay,23,2,4,.333,4.76,8,8,0,0,0,0,39.2,43,21,21,4,13,0,27,0,2,1,171,1.412,9.8,0.9,2.9,6.1,2.08,1
Alberto Baldonado*,25,7,2,.778,4.88,37,1,6,0,0,0,59.0,61,35,32,5,37,2,66,2,0,9,264,1.661,9.3,0.8,5.6,10.1,1.78,1
Anthony Bass,30,0,3,.000,3.38,27,0,11,0,0,3,32.0,34,19,12,3,6,0,25,0,0,2,135,1.250,9.6,0.8,1.7,7.0,4.17,1
Craig Brooks,25,1,3,.250,4.03,18,0,3,0,0,0,22.1,17,15,10,1,24,1,22,2,0,1,108,1.836,6.9,0.4,9.7,8.9,0.92,0
Stephen Bruno,27,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,1.000,9.0,0.0,0.0,0.0,,0
Eddie Butler,27,0,3,.000,8.10,5,5,0,0,0,0,13.1,21,13,12,4,5,0,9,2,0,0,65,1.950,14.2,2.7,3.4,6.1,1.80,1
Tyler Chatwood,28,0,1,.000,9.45,2,2,0,0,0,0,6.2,5,7,7,0,10,0,4,1,0,0,33,2.250,6.8,0.0,13.5,5.4,0.40,1
Trevor Clifton,23,4,3,.571,3.89,14,12,0,0,0,0,69.1,65,32,30,8,29,1,56,9,1,5,297,1.356,8.4,1.0,3.8,7.3,1.93,0
Casey Coleman,30,2,4,.333,6.91,10,5,3,0,0,0,28.2,37,24,22,4,10,0,23,1,0,1,133,1.640,11.6,1.3,3.1,7.2,2.30,1
Brian Duensing*,35,0,1,.000,6.35,5,0,0,0,0,0,5.2,7,4,4,1,2,0,2,0,0,0,24,1.588,11.1,1.6,3.2,3.2,1.00,1
Carl Edwards Jr.,26,0,1,.000,9.00,3,0,0,0,0,0,2.0,2,2,2,0,4,0,3,2,0,2,13,3.000,9.0,0.0,18.0,13.5,0.75,1
Luke Farrell,27,1,4,.200,3.64,12,12,0,0,0,0,54.1,40,22,22,4,28,0,61,3,0,0,231,1.252,6.6,0.7,4.6,10.1,2.18,1
Chris Gimenez,35,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,1.000,9.0,0.0,0.0,0.0,,1
Justin Hancock,27,2,2,.500,4.57,18,0,10,0,0,0,21.2,25,14,11,2,8,1,27,0,0,0,95,1.523,10.4,0.8,3.3,11.2,3.38,1
Zach Hedges,25,0,0,,6.20,7,3,2,0,0,1,24.2,32,18,17,4,8,0,12,2,0,2,111,1.622,11.7,1.5,2.9,4.4,1.50,0
Danny Hultzen*,28,0,0,,4.50,2,0,0,0,0,0,2.0,3,1,1,0,0,0,1,0,0,0,9,1.500,13.5,0.0,0.0,4.5,,1
Dillon Maples,26,2,3,.400,2.79,41,0,30,0,0,10,38.2,22,14,12,1,39,1,75,2,0,12,177,1.578,5.1,0.2,9.1,17.5,1.92,1
Brad Markey,26,3,2,.600,5.12,24,2,4,0,0,0,45.2,51,29,26,11,9,0,33,1,0,1,197,1.314,10.1,2.2,1.8,6.5,3.67,0
Cory Mazzoni,28,4,3,.571,4.46,29,0,16,0,0,4,38.1,37,22,19,5,11,3,34,1,0,1,165,1.252,8.7,1.2,2.6,8.0,3.09,1
Dakota Mekkes,23,1,0,1.000,1.44,25,0,9,0,0,3,31.1,27,6,5,1,16,1,41,1,1,3,135,1.372,7.8,0.3,4.6,11.8,2.56,0
Alec Mills,26,5,12,.294,4.84,23,23,0,0,0,0,124.2,121,69,67,10,41,0,108,6,1,5,531,1.299,8.7,0.7,3.0,7.8,2.63,1
Preston Morrison,24,0,1,.000,6.23,3,0,1,0,0,0,4.1,7,3,3,1,0,0,3,0,0,0,21,1.615,14.5,2.1,0.0,6.2,,0
James Norwood,24,1,1,.500,2.55,15,0,7,0,0,0,17.2,11,5,5,1,12,1,21,1,0,1,75,1.302,5.6,0.5,6.1,10.7,1.75,1
Duncan Robinson,24,1,0,1.000,0.82,2,2,0,0,0,0,11.0,9,2,1,0,3,1,8,0,0,0,44,1.091,7.4,0.0,2.5,6.5,2.67,0
Randy Rosario*,24,0,0,,0.79,15,0,5,0,0,0,22.2,13,3,2,1,6,0,15,0,0,2,85,0.838,5.2,0.4,2.4,6.0,2.50,1
Michael Roth*,28,1,2,.333,3.03,7,5,2,0,0,0,29.2,27,13,10,2,15,2,23,2,0,2,124,1.416,8.2,0.6,4.6,7.0,1.53,1
Kyle Ryan*,26,1,2,.333,2.86,22,8,4,0,0,0,66.0,48,21,21,9,18,0,61,3,0,0,257,1.000,6.5,1.2,2.5,8.3,3.39,1
Shae Simmons,27,2,2,.500,5.56,24,0,9,0,0,2,22.2,19,15,14,1,21,2,21,2,0,1,109,1.765,7.5,0.4,8.3,8.3,1.00,1
Ali Solis,30,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,1,0,0,0,0,0,0,4,2.000,18.0,9.0,0.0,0.0,,1
Daury Torrez,25,1,2,.333,5.20,8,3,2,0,0,0,27.2,29,16,16,3,10,0,16,1,0,0,120,1.410,9.4,1.0,3.3,5.2,1.60,0
Jen-Ho Tseng,23,2,15,.118,6.27,26,26,0,0,0,0,136.1,159,103,95,20,44,1,115,9,2,3,613,1.489,10.5,1.3,2.9,7.6,2.61,1
Duane Underwood Jr.,23,4,10,.286,4.53,27,20,5,0,0,0,119.1,127,71,60,8,37,1,105,6,0,6,512,1.374,9.6,0.6,2.8,7.9,2.84,1
Allen Webster,28,0,0,,2.70,4,0,0,0,0,0,3.1,3,1,1,1,0,0,2,0,0,0,13,0.900,8.1,2.7,0.0,5.4,,1
Rob Zastryzny*,26,3,2,.600,3.86,33,1,6,0,0,0,56.0,47,28,24,5,28,3,50,1,0,2,239,1.339,7.6,0.8,4.5,8.0,1.79,1
