Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Johnny Barbato,25,0,0,,40.50,1,1,0,0,0,0,0.2,1,3,3,0,2,0,1,0,0,0,5,4.500,13.5,0.0,27.0,13.5,0.50,1,2018,Adv A,DET
Johan Belisario,24,0,0,,0.00,1,0,1,0,0,0,3.0,1,0,0,0,0,0,3,0,0,0,10,0.333,3.0,0.0,0.0,9.0,,0,2018,Adv A,DET
Liarvis Breto*,25,3,2,.600,2.61,10,3,4,0,0,0,31.0,24,11,9,1,12,0,42,2,0,2,129,1.161,7.0,0.3,3.5,12.2,3.50,0,2018,Adv A,DET
Endrys Briceno,26,0,1,.000,6.75,1,1,0,0,0,0,4.0,7,7,3,0,3,0,2,1,0,1,24,2.500,15.8,0.0,6.8,4.5,0.67,0,2018,Adv A,DET
Drew Carlton,22,4,2,.667,2.38,34,0,23,0,0,9,56.2,46,19,15,0,11,1,57,1,0,0,226,1.006,7.3,0.0,1.7,9.1,5.18,1,2018,Adv A,DET
Ryan Carpenter*,27,0,0,,3.00,1,1,0,0,0,0,3.0,4,2,1,1,1,0,1,0,0,0,14,1.667,12.0,3.0,3.0,3.0,1.00,1,2018,Adv A,DET
Anthony Castro,23,9,4,.692,2.93,22,20,0,2,0,0,116.2,112,42,38,8,43,0,101,12,3,6,501,1.329,8.6,0.6,3.3,7.8,2.35,1,2018,Adv A,DET
Hunter Cervenka*,28,0,0,,0.00,2,0,0,0,0,0,3.1,1,0,0,0,0,0,5,0,0,2,11,0.300,2.7,0.0,0.0,13.5,,1,2018,Adv A,DET
Drew Crosby*,22,0,0,,13.50,1,0,0,0,0,0,2.0,6,3,3,1,0,0,2,0,0,0,11,3.000,27.0,4.5,0.0,9.0,,0,2018,Adv A,DET
Tom de Blok,22,4,4,.500,5.98,11,11,0,0,0,0,55.2,65,38,37,7,20,0,41,4,0,1,250,1.527,10.5,1.1,3.2,6.6,2.05,0,2018,Adv A,DET
Ethan DeCaster,23,0,0,,0.00,1,0,0,0,0,0,2.1,1,0,0,0,2,0,4,0,0,0,10,1.286,3.9,0.0,7.7,15.4,2.00,0,2018,Adv A,DET
Alex Faedo,22,2,4,.333,3.10,12,12,0,0,0,0,61.0,49,25,21,3,13,0,51,4,0,4,246,1.016,7.2,0.4,1.9,7.5,3.92,0,2018,Adv A,DET
Michael Fulmer,25,0,0,,0.00,2,2,0,0,0,0,6.0,1,0,0,0,0,0,11,0,0,1,19,0.167,1.5,0.0,0.0,16.5,,1,2018,Adv A,DET
Alfred Gutierrez,23,2,4,.333,2.42,23,11,4,0,0,3,74.1,50,23,20,3,27,0,78,1,0,4,296,1.036,6.1,0.4,3.3,9.4,2.89,0,2018,Adv A,DET
Carlos Guzman,20,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,,0,2018,Adv A,DET
Evan Hill*,24,0,2,.000,4.60,13,0,4,0,0,1,15.2,18,10,8,3,5,0,16,0,0,0,69,1.468,10.3,1.7,2.9,9.2,3.20,0,2018,Adv A,DET
Eudis Idrogo*,23,4,3,.571,4.50,21,5,6,0,0,2,68.0,72,45,34,7,15,1,42,1,0,0,283,1.279,9.5,0.9,2.0,5.6,2.80,0,2018,Adv A,DET
Eduardo Jimenez,23,3,4,.429,3.42,40,0,34,0,0,15,50.0,62,22,19,3,20,3,51,1,1,4,229,1.640,11.2,0.5,3.6,9.2,2.55,1,2018,Adv A,DET
