Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Ismael Aquino,19,2,2,.500,4.54,14,11,0,0,0,0,33.2,29,20,17,0,22,0,37,3,0,10,153,1.515,7.8,0.0,5.9,9.9,1.68,0
Osvaldo Berrios,18,3,4,.429,3.71,13,10,0,0,0,0,51.0,57,27,21,1,13,0,43,2,1,6,220,1.373,10.1,0.2,2.3,7.6,3.31,0
Reid Birlingmair,21,2,0,1.000,1.45,8,2,0,0,0,0,18.2,15,5,3,0,6,0,25,2,1,2,79,1.125,7.2,0.0,2.9,12.1,4.17,0
Jake Bray,25,0,0,,0.00,2,2,0,0,0,0,4.0,2,0,0,0,1,0,5,0,0,0,15,0.750,4.5,0.0,2.3,11.3,5.00,0
Austin Briggs*,22,0,1,.000,3.12,16,1,5,0,0,3,26.0,24,15,9,0,14,0,28,3,0,4,117,1.462,8.3,0.0,4.8,9.7,2.00,0
Chase Cohen,21,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0.000,0.0,0.0,0.0,0.0,,0
Calvin Coker,22,0,0,,4.00,13,1,5,0,0,2,18.0,20,11,8,1,9,0,23,0,0,2,84,1.611,10.0,0.5,4.5,11.5,2.56,0
Clark Cota,21,0,0,,0.00,2,0,0,0,0,0,2.0,0,0,0,0,2,0,5,0,0,1,10,1.000,0.0,0.0,9.0,22.5,2.50,0
Caleb Evans,23,1,0,1.000,1.56,11,1,6,0,0,2,17.1,15,4,3,0,7,0,22,0,0,5,72,1.269,7.8,0.0,3.6,11.4,3.14,0
Kyle Finnegan,26,0,0,,18.00,2,2,0,0,0,0,2.0,4,4,4,0,1,0,3,0,0,2,11,2.500,18.0,0.0,4.5,13.5,3.00,1
Yhoelnys Gonzalez,21,0,0,,5.40,2,0,2,0,0,0,1.2,2,1,1,0,1,0,1,0,0,0,8,1.800,10.8,0.0,5.4,5.4,1.00,0
Angello Infante,19,4,3,.571,3.12,9,5,0,0,0,0,43.1,40,15,15,0,9,0,37,2,1,4,175,1.131,8.3,0.0,1.9,7.7,4.11,0
Daulton Jefferies,22,0,0,,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,5,0,0,0,7,0.500,4.5,0.0,0.0,22.5,,1
Malik Jones,22,1,0,1.000,4.44,16,0,8,0,0,0,24.1,22,14,12,0,17,0,26,3,0,5,109,1.603,8.1,0.0,6.3,9.6,1.53,0
Daniel Martinez,19,1,1,.500,3.13,15,1,9,0,0,4,23.0,17,10,8,0,12,0,28,1,0,4,94,1.261,6.7,0.0,4.7,11.0,2.33,0
Jorge Martinez*,22,3,2,.600,6.51,15,1,2,0,0,0,27.2,30,23,20,3,13,0,28,2,0,4,124,1.554,9.8,1.0,4.2,9.1,2.15,0
Aiden McIntyre,22,1,2,.333,3.38,14,5,0,0,0,0,29.1,19,11,11,0,13,0,43,2,0,8,120,1.091,5.8,0.0,4.0,13.2,3.31,0
Jesus Monserratt,21,2,2,.500,5.11,15,2,4,0,0,2,24.2,27,18,14,1,12,0,23,1,1,6,111,1.581,9.9,0.4,4.4,8.4,1.92,0
Jose Morban,20,6,3,.667,1.92,13,7,0,0,0,0,61.0,45,24,13,3,23,0,64,2,1,8,258,1.115,6.6,0.4,3.4,9.4,2.78,0
Bryce Nightengale,21,0,0,,27.00,1,0,0,0,0,0,0.1,2,2,1,0,1,0,1,0,0,1,5,9.000,54.0,0.0,27.0,27.0,1.00,0
Alex Pantuso,22,0,0,,3.33,15,0,4,0,0,0,24.1,15,10,9,0,13,0,35,3,0,6,103,1.151,5.5,0.0,4.8,12.9,2.69,0
Leudeny Pineda,22,1,3,.250,7.32,13,1,3,0,0,0,19.2,20,18,16,1,14,0,14,3,1,5,95,1.729,9.2,0.5,6.4,6.4,1.00,0
Christopher Quintin,19,0,1,.000,22.50,4,0,3,0,0,1,2.0,5,6,5,1,2,0,1,0,1,0,13,3.500,22.5,4.5,9.0,4.5,0.50,0
Gus Varland,21,0,0,,0.00,1,1,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,4,2.000,9.0,0.0,9.0,0.0,0.00,0
Corey Walter,25,0,0,,4.50,3,0,0,0,0,0,4.0,4,2,2,0,4,0,4,2,0,1,22,2.000,9.0,0.0,9.0,9.0,1.00,0
Dallas Woolfolk,21,2,1,.667,7.31,11,0,3,0,0,2,16.0,14,16,13,3,16,0,20,0,0,5,81,1.875,7.9,1.7,9.0,11.3,1.25,0
