Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Domingo Acevedo,24,0,0,,3.86,2,2,0,0,0,0,4.2,5,2,2,0,1,0,3,0,0,0,18,1.286,9.6,0.0,1.9,5.8,3.00,1
Daniel Alvarez,22,1,0,1.000,1.93,9,0,7,0,0,2,14.0,12,4,3,1,3,0,28,1,0,1,58,1.071,7.7,0.6,1.9,18.0,9.33,0
Daniel Bies,22,1,0,1.000,0.00,1,0,0,0,0,0,4.0,2,0,0,0,0,0,3,0,0,0,13,0.500,4.5,0.0,0.0,6.8,,0
Roansy Contreras,18,0,0,,1.26,5,5,0,0,0,0,28.2,15,5,4,1,9,0,32,1,0,2,107,0.837,4.7,0.3,2.8,10.0,3.56,1
Harold Cortijo,19,4,1,.800,2.63,10,9,1,0,0,0,51.1,44,20,15,5,12,0,60,3,0,5,206,1.091,7.7,0.9,2.1,10.5,5.00,0
Keegan Curtis,22,0,1,.000,20.25,3,0,1,0,0,0,2.2,5,6,6,2,4,0,4,0,0,0,17,3.375,16.9,6.8,13.5,13.5,1.00,0
Juan De Paula,20,2,2,.500,1.71,10,9,1,0,0,0,47.1,35,11,9,1,26,0,46,0,0,2,197,1.289,6.7,0.2,4.9,8.7,1.77,0
Abel Duarte,24,4,1,.800,1.14,14,0,4,0,0,0,23.2,20,13,3,1,15,0,26,3,0,3,108,1.479,7.6,0.4,5.7,9.9,1.73,0
Drew Finley,21,2,4,.333,7.24,16,1,3,0,0,0,27.1,27,25,22,4,20,0,33,8,1,9,137,1.720,8.9,1.3,6.6,10.9,1.65,0
Austin Gardner,23,0,0,,0.00,2,0,2,0,0,1,6.0,2,0,0,0,1,0,8,1,0,1,22,0.500,3.0,0.0,1.5,12.0,8.00,0
Frank German,20,1,3,.250,2.22,10,4,2,0,0,1,28.1,22,9,7,0,6,0,38,0,0,4,114,0.988,7.0,0.0,1.9,12.1,6.33,0
Luis Gil,20,0,2,.000,5.40,2,2,0,0,0,0,6.2,11,7,4,1,6,0,10,0,1,3,39,2.550,14.9,1.4,8.1,13.5,1.67,1
Chase Hodson,25,1,1,.500,2.93,11,0,3,0,0,0,15.1,15,6,5,0,1,0,23,2,0,5,61,1.043,8.8,0.0,0.6,13.5,23.00,0
Rodney Hutchison,21,2,1,.667,1.97,9,6,2,0,0,1,32.0,26,9,7,2,6,0,31,1,0,3,127,1.000,7.3,0.6,1.7,8.7,5.17,0
Kyle Johnson,24,0,0,,1.80,5,0,3,0,0,0,10.0,9,2,2,0,2,0,9,1,0,1,42,1.100,8.1,0.0,1.8,8.1,4.50,0
Brooks Kriske,24,2,2,.500,1.09,14,0,7,0,0,3,24.2,21,4,3,0,8,0,33,0,0,2,96,1.176,7.7,0.0,2.9,12.0,4.13,1
Josh Maciejewski*,22,0,0,,5.68,3,0,0,0,0,0,6.1,8,4,4,0,4,0,8,0,0,1,31,1.895,11.4,0.0,5.7,11.4,2.00,0
Ron Marinaccio,22,0,0,,9.22,7,0,4,0,0,2,13.2,21,14,14,0,3,0,21,0,0,1,63,1.756,13.8,0.0,2.0,13.8,7.00,0
Nolan Martinez,20,4,0,1.000,1.23,8,5,1,0,0,0,36.2,21,7,5,1,11,0,26,3,0,2,136,0.873,5.2,0.2,2.7,6.4,2.36,0
Alex Mauricio,21,0,2,.000,2.14,4,4,0,0,0,0,21.0,16,9,5,0,6,0,21,2,0,0,84,1.048,6.9,0.0,2.6,9.0,3.50,0
Aaron McGarity,23,2,0,1.000,0.35,13,0,8,0,0,3,25.2,19,5,1,0,3,1,32,1,0,0,97,0.857,6.7,0.0,1.1,11.2,10.67,0
Christian Morris,24,0,2,.000,0.92,12,0,8,0,0,4,19.2,11,4,2,1,6,1,27,0,1,1,77,0.864,5.0,0.5,2.7,12.4,4.50,0
Garrett Mundell,25,4,3,.571,1.87,18,0,10,0,0,4,33.2,24,12,7,0,10,0,33,4,0,2,137,1.010,6.4,0.0,2.7,8.8,3.30,0
Tanner Myatt,20,0,0,,0.00,1,1,0,0,0,0,2.0,1,0,0,0,2,0,2,0,0,0,9,1.500,4.5,0.0,9.0,9.0,1.00,0
Luis Rijo,19,0,0,,3.00,1,1,0,0,0,0,6.0,8,2,2,0,2,0,3,0,0,1,27,1.667,12.0,0.0,3.0,4.5,1.50,0
Reiver Sanmartin*,22,1,0,1.000,0.00,2,0,2,0,0,1,7.1,5,0,0,0,0,0,13,0,0,0,27,0.682,6.1,0.0,0.0,16.0,,1
Matt Sauer,19,3,6,.333,3.90,13,13,0,0,0,0,67.0,60,31,29,3,18,0,45,9,0,10,283,1.164,8.1,0.4,2.4,6.0,2.50,0
Clarke Schmidt,22,0,1,.000,1.08,2,2,0,0,0,0,8.1,4,1,1,0,2,0,10,1,0,1,32,0.720,4.3,0.0,2.2,10.8,5.00,1
Shawn Semple,22,3,4,.429,3.00,10,7,2,0,0,0,45.0,45,20,15,1,12,0,43,4,0,2,191,1.267,9.0,0.2,2.4,8.6,3.58,0
Erik Swanson,24,0,0,,4.05,2,2,0,0,0,0,6.2,8,3,3,0,0,0,6,0,1,0,27,1.200,10.8,0.0,0.0,8.1,,1
Paul Young,25,0,0,,7.36,2,0,2,0,0,0,3.2,4,3,3,0,2,0,7,0,0,1,16,1.636,9.8,0.0,4.9,17.2,3.50,0
