Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Andrew Beckwith,24,1,0,1.000,5.84,26,0,14,0,0,0,37.0,46,30,24,2,15,1,28,6,1,0,177,1.649,11.2,0.5,3.6,6.8,1.87,0,2019,AA,KCR
Scott Blewett,23,1,3,.250,3.55,5,5,0,0,0,0,25.1,21,11,10,2,8,0,34,1,0,0,105,1.145,7.5,0.7,2.8,12.1,4.25,1,2019,AA,KCR
Jake Brentz*,24,0,0,,3.38,5,0,1,0,0,0,5.1,6,2,2,1,2,0,5,0,0,0,23,1.500,10.1,1.7,3.4,8.4,2.50,1,2019,AA,KCR
Bryan Brickhouse,27,0,0,,2.53,7,0,4,0,0,0,10.2,6,3,3,0,5,1,16,0,0,1,42,1.031,5.1,0.0,4.2,13.5,3.20,0,2019,AA,KCR
Holden Capps*,24,0,2,.000,5.11,14,0,6,0,0,0,12.1,21,9,7,1,6,0,9,0,0,0,64,2.189,15.3,0.7,4.4,6.6,1.50,0,2019,AA,KCR
J.C. Cloney*,24,2,6,.250,3.74,22,15,5,0,0,1,101.0,109,52,42,13,26,1,81,7,1,1,431,1.337,9.7,1.2,2.3,7.2,3.12,0,2019,AA,KCR
Danny Duffy*,30,1,0,1.000,0.87,2,2,0,0,0,0,10.1,8,2,1,1,0,0,11,1,0,0,38,0.774,7.0,0.9,0.0,9.6,,1,2019,AA,KCR
Gerson Garabito,23,6,12,.333,3.77,26,26,0,0,0,0,141.0,148,64,59,13,60,1,113,10,1,8,628,1.475,9.4,0.8,3.8,7.2,1.88,0,2019,AA,KCR
Grant Gavin,23,6,4,.600,3.61,41,0,13,0,0,1,52.1,43,28,21,6,25,1,73,8,0,1,231,1.299,7.4,1.0,4.3,12.6,2.92,0,2019,AA,KCR
Ofreidy Gomez,23,7,8,.467,4.05,22,20,1,1,0,0,115.2,110,62,52,12,45,0,111,14,1,6,500,1.340,8.6,0.9,3.5,8.6,2.47,0,2019,AA,KCR
Conner Greene,24,3,9,.250,5.29,21,16,2,0,0,1,97.0,101,73,57,11,38,0,85,9,1,17,432,1.433,9.4,1.0,3.5,7.9,2.24,1,2019,AA,KCR
Bryce Hensley*,23,0,0,,0.00,1,0,0,0,0,0,1.2,1,0,0,0,0,0,1,1,0,0,6,0.600,5.4,0.0,0.0,5.4,,0,2019,AA,KCR
Arnaldo Hernandez,23,2,2,.500,1.96,4,4,0,0,0,0,23.0,21,12,5,2,11,1,20,1,0,0,98,1.391,8.2,0.8,4.3,7.8,1.82,0,2019,AA,KCR
Jake Kalish*,27,0,0,,1.00,3,1,1,0,0,1,9.0,6,1,1,0,1,0,13,0,0,0,35,0.778,6.0,0.0,1.0,13.0,13.00,0,2019,AA,KCR
Jackson Kowar,22,2,7,.222,3.51,13,13,0,0,0,0,74.1,73,32,29,8,21,0,78,2,0,5,310,1.265,8.8,1.0,2.5,9.4,3.71,1,2019,AA,KCR
Zachary Lovvorn,25,1,0,1.000,1.38,8,0,2,0,0,0,13.0,6,2,2,0,5,0,12,0,0,1,48,0.846,4.2,0.0,3.5,8.3,2.40,0,2019,AA,KCR
Yunior Marte,24,3,3,.500,1.59,23,0,7,0,0,1,34.0,22,8,6,1,13,0,35,0,0,4,136,1.029,5.8,0.3,3.4,9.3,2.69,0,2019,AA,KCR
Emilio Ogando*,25,1,3,.250,4.83,36,2,5,0,0,1,69.0,66,38,37,4,20,1,74,5,0,3,287,1.246,8.6,0.5,2.6,9.7,3.70,0,2019,AA,KCR
Walker Sheller,24,0,2,.000,9.00,13,0,4,0,0,1,13.0,23,21,13,2,12,0,11,3,0,2,78,2.692,15.9,1.4,8.3,7.6,0.92,0,2019,AA,KCR
Brady Singer,22,7,3,.700,3.47,16,16,0,1,0,0,90.2,86,43,35,8,26,0,85,6,1,4,385,1.235,8.5,0.8,2.6,8.4,3.27,1,2019,AA,KCR
Eric Skoglund*,26,1,1,.500,5.40,2,2,0,0,0,0,10.0,14,7,6,0,2,0,5,2,0,0,47,1.600,12.6,0.0,1.8,4.5,2.50,1,2019,AA,KCR
Andres Sotillet,22,6,1,.857,3.35,34,4,6,0,0,1,75.1,68,34,28,6,29,1,63,2,0,5,317,1.288,8.1,0.7,3.5,7.5,2.17,0,2019,AA,KCR
Gabe Speier*,24,1,1,.500,2.42,17,0,12,0,0,5,22.1,20,10,6,2,9,0,28,3,0,1,101,1.299,8.1,0.8,3.6,11.3,3.11,1,2019,AA,KCR
Drew Storen,31,0,1,.000,7.84,9,0,4,0,0,0,10.1,15,9,9,1,5,0,12,2,0,1,50,1.935,13.1,0.9,4.4,10.5,2.40,1,2019,AA,KCR
Franco Terrero,24,2,5,.286,5.08,43,0,28,0,0,7,44.1,53,30,25,5,24,2,48,1,0,2,209,1.737,10.8,1.0,4.9,9.7,2.00,0,2019,AA,KCR
Daniel Tillo*,23,1,1,.500,3.47,9,3,2,0,0,0,23.1,22,9,9,1,11,0,21,0,0,2,98,1.414,8.5,0.4,4.2,8.1,1.91,0,2019,AA,KCR
Jace Vines,24,2,5,.286,5.47,11,9,0,0,0,0,51.0,66,43,31,5,21,0,40,6,1,6,239,1.706,11.6,0.9,3.7,7.1,1.90,0,2019,AA,KCR
Tyler Zuber,24,1,2,.333,2.42,22,0,19,0,0,10,26.0,18,9,7,2,5,1,30,2,0,0,100,0.885,6.2,0.7,1.7,10.4,6.00,1,2019,AA,KCR
