Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jeremy Bleich*,32,2,2,.500,5.59,12,3,1,0,0,0,19.1,21,13,12,4,8,0,17,1,0,0,86,1.500,9.8,1.9,3.7,7.9,2.13,1,2019,AAA,BOS
Ryan Brasier,31,2,0,1.000,0.96,10,0,2,0,0,0,9.1,6,1,1,1,1,0,13,2,0,0,36,0.750,5.8,1.0,1.0,12.5,13.00,1,2019,AAA,BOS
Colten Brewer,26,2,3,.400,4.91,9,0,2,0,0,0,11.0,14,9,6,2,7,0,10,2,0,3,56,1.909,11.5,1.6,5.7,8.2,1.43,1,2019,AAA,BOS
Brian Ellington,28,0,0,,9.00,4,0,1,0,0,0,4.0,4,4,4,0,7,0,5,2,0,4,23,2.750,9.0,0.0,15.8,11.3,0.71,1,2019,AAA,BOS
Nathan Eovaldi,29,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,3,0,0,0,4,1.000,0.0,0.0,9.0,27.0,3.00,1,2019,AAA,BOS
Matthew Gorst,24,1,1,.500,2.70,9,1,2,0,0,0,13.1,10,4,4,1,13,0,8,0,0,0,58,1.725,6.8,0.7,8.8,5.4,0.62,0,2019,AAA,BOS
Kyle Hart*,26,9,7,.563,3.86,18,15,2,1,1,0,100.1,91,44,43,8,36,0,80,6,0,2,413,1.266,8.2,0.7,3.2,7.2,2.22,1,2019,AAA,BOS
Heath Hembree,30,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,4,0.000,0.0,0.0,0.0,18.0,,1,2019,AAA,BOS
Darwinzon Hernandez*,22,1,2,.333,4.76,7,3,0,0,0,0,17.0,10,9,9,2,16,0,20,4,1,1,77,1.529,5.3,1.1,8.5,10.6,1.25,1,2019,AAA,BOS
Tanner Houck,23,0,0,,3.24,16,2,3,0,0,1,25.0,19,11,9,3,14,0,27,5,0,3,113,1.320,6.8,1.1,5.0,9.7,1.93,1,2019,AAA,BOS
Dedgar Jimenez*,23,0,1,.000,14.09,2,2,0,0,0,0,7.2,10,12,12,2,10,0,7,1,0,0,43,2.609,11.7,2.3,11.7,8.2,0.70,0,2019,AAA,BOS
Brian Johnson*,28,1,0,1.000,3.68,6,3,0,0,0,0,14.2,13,6,6,1,8,0,19,1,0,1,61,1.432,8.0,0.6,4.9,11.7,2.38,1,2019,AAA,BOS
Trevor Kelley,25,5,5,.500,1.79,52,0,31,0,0,12,65.1,51,18,13,8,21,3,63,6,0,4,268,1.102,7.0,1.1,2.9,8.7,3.00,1,2019,AAA,BOS
Matthew Kent*,26,1,4,.200,8.70,6,6,0,0,0,0,30.0,37,29,29,8,15,0,14,2,0,0,140,1.733,11.1,2.4,4.5,4.2,0.93,0,2019,AAA,BOS
Travis Lakins,25,3,4,.429,4.60,40,1,16,0,0,6,45.0,46,25,23,4,23,1,42,2,0,5,201,1.533,9.2,0.8,4.6,8.4,1.83,1,2019,AAA,BOS
Adam Lau,24,1,0,1.000,5.79,5,1,1,0,0,0,9.1,8,8,6,3,11,0,8,2,0,0,48,2.036,7.7,2.9,10.6,7.7,0.73,0,2019,AAA,BOS
Kevin Lenik,27,0,0,,4.50,3,0,0,0,0,0,4.0,4,2,2,1,3,0,4,0,0,1,19,1.750,9.0,2.3,6.8,9.0,1.33,0,2019,AAA,BOS
Daniel McGrath*,24,0,0,,5.23,2,1,1,0,0,0,10.1,13,6,6,1,4,0,3,0,0,0,43,1.645,11.3,0.9,3.5,2.6,0.75,0,2019,AAA,BOS
Jenrry Mejia,29,2,7,.222,6.38,42,0,27,0,0,7,48.0,52,36,34,9,16,0,49,3,1,8,211,1.417,9.8,1.7,3.0,9.2,3.06,1,2019,AAA,BOS
Bobby Poyner*,26,2,5,.286,3.77,43,1,15,0,0,6,57.1,47,27,24,9,27,2,70,3,0,3,249,1.291,7.4,1.4,4.2,11.0,2.59,1,2019,AAA,BOS
Erasmo Ramirez,29,6,8,.429,4.74,27,24,1,1,0,0,125.1,125,75,66,18,43,0,95,5,1,6,537,1.340,9.0,1.3,3.1,6.8,2.21,1,2019,AAA,BOS
Dan Runzler*,34,1,1,.500,5.40,22,0,1,0,0,1,26.2,26,19,16,3,15,0,22,3,0,0,121,1.538,8.8,1.0,5.1,7.4,1.47,1,2019,AAA,BOS
Mike Shawaryn,24,1,2,.333,4.52,26,14,1,0,0,0,89.2,76,48,45,13,49,0,76,6,1,7,383,1.394,7.6,1.3,4.9,7.6,1.55,1,2019,AAA,BOS
Chandler Shepherd,26,0,5,.000,10.01,8,7,0,0,0,0,29.2,53,43,33,11,16,0,30,5,0,1,163,2.326,16.1,3.3,4.9,9.1,1.88,1,2019,AAA,BOS
Josh A. Smith,31,5,3,.625,5.48,13,12,0,1,0,0,67.1,82,44,41,9,20,0,70,3,0,2,296,1.515,11.0,1.2,2.7,9.4,3.50,1,2019,AAA,BOS
Teddy Stankiewicz,25,6,7,.462,3.85,24,23,0,1,1,0,131.0,138,62,56,26,39,0,106,2,0,2,561,1.351,9.5,1.8,2.7,7.3,2.72,0,2019,AAA,BOS
Cole Sturgeon*,27,0,1,.000,9.00,4,0,4,0,0,0,4.0,7,8,4,1,6,0,3,0,0,1,24,3.250,15.8,2.3,13.5,6.8,0.50,0,2019,AAA,BOS
Domingo Tapia,27,5,4,.556,5.18,44,1,11,0,0,2,66.0,74,47,38,8,32,0,52,5,0,3,302,1.606,10.1,1.1,4.4,7.1,1.63,1,2019,AAA,BOS
Josh Taylor*,26,1,1,.500,2.70,20,0,7,0,0,3,23.1,18,9,7,2,11,0,32,1,0,2,97,1.243,6.9,0.8,4.2,12.3,2.91,1,2019,AAA,BOS
Tyler Thornburg,30,0,2,.000,12.66,11,1,1,0,0,0,10.2,17,15,15,5,9,0,13,0,0,3,60,2.438,14.3,4.2,7.6,11.0,1.44,1,2019,AAA,BOS
Hector Velazquez,30,0,0,,3.31,12,0,1,0,0,1,16.1,11,6,6,3,11,1,14,0,0,1,66,1.347,6.1,1.7,6.1,7.7,1.27,1,2019,AAA,BOS
Konner Wade,27,0,0,,1.80,1,1,0,0,0,0,5.0,8,1,1,0,3,0,1,0,0,0,26,2.200,14.4,0.0,5.4,1.8,0.33,1,2019,AAA,BOS
Marcus Walden,30,0,0,,0.00,1,0,0,0,0,0,1.2,1,0,0,0,0,0,2,0,0,0,6,0.600,5.4,0.0,0.0,10.8,,1,2019,AAA,BOS
Ryan Weber,28,1,5,.167,4.50,16,16,0,1,0,0,78.0,86,41,39,9,25,0,63,3,0,3,337,1.423,9.9,1.0,2.9,7.3,2.52,1,2019,AAA,BOS
Jordan Weems,26,0,1,.000,6.17,8,1,2,0,0,0,11.2,14,9,8,1,6,0,14,0,0,3,52,1.714,10.8,0.8,4.6,10.8,2.33,1,2019,AAA,BOS
Jantzen Witte,29,0,0,,27.00,1,0,1,0,0,0,1.0,8,7,3,0,0,0,0,0,0,0,11,8.000,72.0,0.0,0.0,0.0,,0,2019,AAA,BOS
Steven Wright,34,1,0,1.000,1.86,5,1,1,0,0,0,9.2,6,2,2,1,3,0,4,0,0,0,37,0.931,5.6,0.9,2.8,3.7,1.33,1,2019,AAA,BOS
