Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Marco Gonzales*,27,16,13,.552,3.99,34,34,0,0,0,0,203.0,210,106,90,23,56,1,147,6,1,2,866,1.310,9.3,1.0,2.5,6.5,2.63,1
Yusei Kikuchi*,28,6,11,.353,5.46,32,32,0,1,1,0,161.2,195,109,98,36,50,0,116,6,1,5,721,1.515,10.9,2.0,2.8,6.5,2.32,1
Mike Leake,31,9,8,.529,4.27,22,22,0,2,1,0,137.0,153,78,65,26,19,1,100,4,0,2,576,1.255,10.1,1.7,1.2,6.6,5.26,1
Felix Hernandez,33,1,8,.111,6.40,15,15,0,0,0,0,71.2,85,58,51,17,25,0,57,6,0,5,325,1.535,10.7,2.1,3.1,7.2,2.28,1
Roenis Elias*,30,4,2,.667,3.64,44,0,28,0,0,14,47.0,41,28,19,8,17,1,45,1,1,1,203,1.234,7.9,1.5,3.3,8.6,2.65,1
Anthony Bass,31,2,4,.333,3.56,44,0,14,0,0,5,48.0,30,20,19,5,17,2,43,1,0,6,189,0.979,5.6,0.9,3.2,8.1,2.53,1
Brandon Brennan,27,3,6,.333,4.56,44,0,7,0,0,0,47.1,34,25,24,6,24,4,47,0,0,6,196,1.225,6.5,1.1,4.6,8.9,1.96,1
Cory Gearrin,33,0,2,.000,3.92,48,2,3,0,0,0,41.1,38,18,18,3,21,1,39,4,0,4,180,1.427,8.3,0.7,4.6,8.5,1.86,1
Austin Adams,28,2,2,.500,3.77,29,2,3,0,0,0,31.0,20,13,13,4,14,0,51,0,0,2,124,1.097,5.8,1.2,4.1,14.8,3.64,1
Wade LeBlanc*,34,6,7,.462,5.71,26,8,4,0,0,0,121.1,145,80,77,28,31,1,92,1,0,0,532,1.451,10.8,2.1,2.3,6.8,2.97,1
Tommy Milone*,32,4,10,.286,4.76,23,6,0,0,0,0,111.2,102,61,59,24,23,2,94,2,0,1,453,1.119,8.2,1.9,1.9,7.6,4.09,1
Erik Swanson,25,1,5,.167,5.74,27,8,7,0,0,2,58.0,56,41,37,17,12,1,52,2,0,2,245,1.172,8.7,2.6,1.9,8.1,4.33,1
Justus Sheffield*,23,0,1,.000,5.50,8,7,0,0,0,0,36.0,44,22,22,5,18,0,37,3,0,3,168,1.722,11.0,1.3,4.5,9.3,2.06,1
Connor Sadzeck,27,0,1,.000,2.66,20,0,10,0,0,1,23.2,18,10,7,3,15,1,27,2,0,4,107,1.394,6.8,1.1,5.7,10.3,1.80,1
Sam Tuivailala,26,1,0,1.000,2.35,23,2,3,0,0,0,23.0,13,6,6,1,11,0,27,2,0,1,94,1.043,5.1,0.4,4.3,10.6,2.45,1
Matt Magill,29,3,2,.600,3.63,22,0,12,0,0,5,22.1,21,10,9,3,5,2,28,0,0,3,96,1.164,8.5,1.2,2.0,11.3,5.60,1
Matthew Festa,26,0,2,.000,5.64,20,0,10,0,0,0,22.1,20,15,14,5,12,1,21,2,0,1,101,1.433,8.1,2.0,4.8,8.5,1.75,1
Matt Wisler,26,1,2,.333,6.04,23,8,2,0,0,0,22.1,22,17,15,5,6,0,29,0,0,0,95,1.254,8.9,2.0,2.4,11.7,4.83,1
Reggie McClain,26,1,1,.500,6.00,14,2,6,0,0,0,21.0,22,14,14,2,13,0,11,0,0,1,95,1.667,9.4,0.9,5.6,4.7,0.85,1
Zac Grotz,26,1,0,1.000,4.15,14,0,4,0,0,0,17.1,14,9,8,0,8,1,18,1,0,6,73,1.269,7.3,0.0,4.2,9.3,2.25,1
Chasen Bradford,29,0,0,,4.86,12,0,6,0,0,1,16.2,17,9,9,6,4,0,11,0,0,1,69,1.260,9.2,3.2,2.2,5.9,2.75,1
Mike Wright,29,0,0,,6.75,9,0,5,0,0,0,16.0,24,16,12,1,5,1,16,1,0,1,81,1.813,13.5,0.6,2.8,9.0,3.20,1
