Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jack Flaherty,23,11,8,.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,0.968,6.2,1.1,2.5,10.6,4.20,1,2019,MLB,STL
Miles Mikolas,30,9,14,.391,4.16,32,32,0,1,1,0,184.0,193,90,85,27,32,1,144,12,2,5,764,1.223,9.4,1.3,1.6,7.0,4.50,1,2019,MLB,STL
Dakota Hudson,24,16,7,.696,3.35,33,32,1,0,0,1,174.2,160,80,65,22,86,8,136,9,0,5,757,1.408,8.2,1.1,4.4,7.0,1.58,1,2019,MLB,STL
Adam Wainwright,37,14,10,.583,4.19,31,31,0,0,0,0,171.2,181,83,80,22,64,7,153,8,0,2,745,1.427,9.5,1.2,3.4,8.0,2.39,1,2019,MLB,STL
Michael Wacha,27,6,7,.462,4.76,29,24,0,0,0,0,126.2,143,71,67,26,55,4,104,3,0,2,562,1.563,10.2,1.8,3.9,7.4,1.89,1,2019,MLB,STL
Carlos Martinez,27,4,2,.667,3.17,48,0,38,0,0,24,48.1,39,18,17,2,18,1,53,3,0,2,200,1.179,7.3,0.4,3.4,9.9,2.94,1,2019,MLB,STL
Giovanny Gallegos,27,3,2,.600,2.31,66,0,10,0,0,1,74.0,44,19,19,9,16,2,93,3,1,3,279,0.811,5.4,1.1,1.9,11.3,5.81,1,2019,MLB,STL
John Brebbia,29,3,4,.429,3.59,66,0,22,0,0,0,72.2,59,31,29,6,27,2,87,3,0,0,304,1.183,7.3,0.7,3.3,10.8,3.22,1,2019,MLB,STL
Tyler Webb*,28,2,1,.667,3.76,65,0,11,0,0,1,55.0,33,23,23,7,23,3,48,2,0,2,221,1.018,5.4,1.1,3.8,7.9,2.09,1,2019,MLB,STL
Andrew Miller*,34,5,6,.455,4.45,73,0,11,0,0,6,54.2,45,32,27,11,27,1,70,8,0,4,236,1.317,7.4,1.8,4.4,11.5,2.59,1,2019,MLB,STL
John Gant,26,11,1,.917,3.66,64,0,13,0,0,3,66.1,51,29,27,4,34,1,60,0,0,1,269,1.281,6.9,0.5,4.6,8.1,1.76,1,2019,MLB,STL
Daniel Ponce de Leon,27,1,2,.333,3.70,13,8,1,0,0,0,48.2,36,21,20,6,26,3,52,2,0,2,203,1.274,6.7,1.1,4.8,9.6,2.00,1,2019,MLB,STL
Dominic Leone,27,1,0,1.000,5.53,40,0,11,0,0,1,40.2,39,28,25,9,22,2,46,0,0,1,180,1.500,8.6,2.0,4.9,10.2,2.09,1,2019,MLB,STL
Ryan Helsley,24,2,0,1.000,2.95,24,0,4,0,0,0,36.2,34,13,12,5,12,2,32,0,1,2,153,1.255,8.3,1.2,2.9,7.9,2.67,1,2019,MLB,STL
Jordan Hicks,22,2,2,.500,3.14,29,0,21,0,0,14,28.2,16,10,10,2,11,0,31,1,0,2,110,0.942,5.0,0.6,3.5,9.7,2.82,1,2019,MLB,STL
Genesis Cabrera*,22,0,2,.000,4.87,13,2,5,0,0,1,20.1,23,16,11,2,11,0,19,2,0,1,99,1.672,10.2,0.9,4.9,8.4,1.73,1,2019,MLB,STL
Mike Mayers,27,0,1,.000,6.63,16,0,4,0,0,0,19.0,21,14,14,3,11,2,16,1,0,1,88,1.684,9.9,1.4,5.2,7.6,1.45,1,2019,MLB,STL
Junior Fernandez,22,0,1,.000,5.40,13,0,5,0,0,0,11.2,9,7,7,2,6,0,16,4,0,2,54,1.286,6.9,1.5,4.6,12.3,2.67,1,2019,MLB,STL
Luke Gregerson,35,0,0,,7.94,6,0,3,0,0,0,5.2,11,5,5,0,1,0,2,0,0,0,27,2.118,17.5,0.0,1.6,3.2,2.00,1,2019,MLB,STL
Alex Reyes,24,0,1,.000,15.00,4,0,0,0,0,0,3.0,2,5,5,1,6,0,1,0,0,1,17,2.667,6.0,3.0,18.0,3.0,0.17,1,2019,MLB,STL
Adalberto Mejia*,26,0,0,,9.00,2,0,0,0,0,0,3.0,8,3,3,0,1,0,2,0,0,2,17,3.000,24.0,0.0,3.0,6.0,2.00,1,2019,MLB,STL
Chasen Shreve*,28,1,0,1.000,9.00,3,0,0,0,0,0,2.0,2,2,2,0,1,0,2,1,0,0,10,1.500,9.0,0.0,4.5,9.0,2.00,1,2019,MLB,STL
Jedd Gyorko,30,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,1,0.000,0.0,0.0,0.0,27.0,,1,2019,MLB,STL
