Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Jason Kendall,24,149,627,535,95,175,36,3,12,75,26,5,51,51,.327,.411,.473,.884,131,253,6,31,2,8,3,1
1B,Kevin Young,29,159,657,592,88,160,40,2,27,108,15,7,44,127,.270,.328,.481,.809,108,285,20,11,0,9,1,1
2B,Tony Womack*,28,159,704,655,85,185,26,7,3,45,58,8,38,94,.282,.319,.357,.677,77,234,4,0,6,5,1,1
SS,Lou Collier,24,110,379,334,30,82,13,6,2,34,2,2,31,70,.246,.316,.338,.655,72,113,8,6,3,5,6,1
3B,Aramis Ramirez,20,72,275,251,23,59,9,1,6,24,0,1,18,72,.235,.296,.351,.646,68,88,3,4,1,1,0,1
LF,Al Martin*,30,125,479,440,57,105,15,2,12,47,20,3,32,91,.239,.296,.364,.660,72,160,13,5,0,2,2,1
CF,Jermaine Allensworth,26,69,261,233,30,72,13,3,3,24,8,4,17,43,.309,.372,.429,.801,109,100,1,7,3,1,0,1
RF,Jose Guillen,22,153,605,573,60,153,38,2,14,84,3,5,21,100,.267,.298,.414,.712,84,237,7,6,1,4,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OF,Turner Ward#,33,123,324,282,33,74,13,3,9,46,5,4,27,40,.262,.328,.426,.754,95,120,4,4,4,7,1,1
SS,Kevin Polcovich,28,81,238,212,18,40,12,0,0,14,4,3,15,33,.189,.255,.245,.501,32,52,7,5,3,3,2,1
3B,Doug Strange#,34,90,201,185,9,32,8,0,0,14,1,0,10,39,.173,.217,.216,.433,14,40,5,1,3,2,1,1
OF,Manny Martinez,27,73,197,180,21,45,11,2,6,24,0,3,9,44,.250,.290,.433,.723,86,78,3,2,3,2,0,1
3B,Freddy Garcia,25,56,193,172,27,44,11,1,9,26,0,2,18,45,.256,.332,.488,.820,111,84,3,2,0,1,3,1
CF,Adrian Brown#,24,41,165,152,20,43,4,1,0,5,4,0,9,18,.283,.323,.322,.645,70,49,3,0,4,0,0,1
UT,Mark Smith,28,59,144,128,18,25,6,0,2,13,7,0,10,26,.195,.264,.289,.553,45,37,1,3,0,3,0,1
C,Keith Osik,29,39,116,98,8,21,4,0,0,7,1,2,13,16,.214,.316,.255,.571,52,25,4,2,2,1,2,1
SS,Abraham Nunez#,22,24,67,52,6,10,2,0,1,2,4,2,12,14,.192,.344,.288,.632,68,15,1,0,3,0,0,1
OF,Emil Brown,23,13,41,39,2,10,1,0,0,3,0,0,1,11,.256,.293,.282,.575,51,11,0,1,0,0,0,1
IF,Chance Sanford*,26,14,29,28,3,4,1,1,0,3,0,0,1,6,.143,.172,.250,.422,9,7,1,0,0,0,0,1
UT,Tim Laker,28,14,26,24,2,9,1,0,1,2,0,0,1,3,.375,.385,.542,.926,139,13,1,0,0,1,0,1
LF,Steve Bieser*,30,13,13,11,2,3,1,0,0,1,0,0,2,2,.273,.385,.364,.748,97,4,1,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Francisco Cordova,26,33,79,75,3,9,1,1,0,1,0,0,2,29,.120,.143,.160,.303,-21,12,2,0,2,0,0,1
P,Jason Schmidt,25,33,77,62,1,6,2,0,0,2,0,0,2,25,.097,.123,.129,.252,-34,8,1,0,12,1,0,1
P,Jon Lieber*,28,27,58,48,3,8,1,0,0,1,0,0,3,20,.167,.216,.188,.403,7,9,0,0,7,0,0,1
P,Chris Peters*,26,37,44,39,2,9,0,0,0,2,1,0,1,9,.231,.250,.231,.481,27,9,0,0,4,0,0,1
P,Jose Silva,24,17,35,27,0,1,1,0,0,0,0,0,2,10,.037,.133,.074,.207,-44,2,1,1,5,0,0,1
P,Esteban Loaiza,26,20,33,29,2,7,0,0,0,3,0,0,1,5,.241,.267,.241,.508,34,7,1,0,3,0,0,1
P,Todd Van Poppel,26,18,14,12,2,3,1,0,0,1,0,0,1,4,.250,.308,.333,.641,68,4,0,0,1,0,0,1
P,Elmer Dessens,27,42,12,8,0,0,0,0,0,1,0,0,1,4,.000,.111,.000,.111,-68,0,0,0,3,0,0,1
P,Sean Lawrence*,27,7,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Mike Williams,29,37,5,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
P,Jason Christiansen,28,57,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,31,1,0,0,0,0,0,1
P,Ricardo Rincon*,28,58,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,Javier Martinez,21,34,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Rich Loiselle,26,52,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
P,Jeff Tabaka,34,37,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jeff McCurry,28,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Marc Wilkins,27,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,26.7,163,6113,5493,650,1395,271,35,107,613,159,51,393,1060,.254,.311,.374,.686,79,2057,102,91,78,56,22,1
,Rank in 16 NL teams,,,,11,15,11,12,5,16,,1,11,16,7,11,14,15,16,,16,,1,,2,,1
,Non-Pitcher Totals,26.7,163,5741,5176,637,1351,265,34,107,601,158,51,380,945,.261,.319,.387,.707,84,2005,96,90,38,55,22,1
,Pitcher Totals,26.0,163,372,317,13,44,6,1,0,12,1,0,13,115,.139,.175,.164,.339,-11,52,6,1,40,1,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
