Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Brian Anthony*,25,64,185,171,20,38,9,1,7,20,1,2,11,39,.222,.270,.409,.680,70,5,1,0,2,0,,0
Roger Bailey,28,4,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,,1
Rod Bair,24,125,522,472,70,143,34,6,13,81,14,12,28,78,.303,.358,.483,.841,228,11,16,0,6,0,,0
Blake Barthol,26,96,367,322,41,90,18,3,8,27,0,1,32,62,.280,.356,.429,.785,138,8,7,5,1,2,,0
Mike Berry,28,90,337,306,36,74,15,2,9,38,0,2,26,61,.242,.303,.392,.695,120,11,2,0,3,0,,0
Bobby Bevel*,25,49,3,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,,0
Jason Brester*,22,11,11,10,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,1,0,0,,0
Tarrik Brock*,25,66,260,218,40,54,10,1,7,23,7,4,39,67,.248,.363,.399,.762,87,2,1,1,1,0,,1
John Cotton,28,42,174,163,27,46,9,0,10,21,0,1,10,48,.282,.328,.521,.849,85,3,1,0,0,1,,0
Scott DeWitt,24,45,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,,0
Dave Feuerstein,25,101,311,287,27,63,9,3,1,18,6,2,18,43,.220,.271,.282,.553,81,6,3,1,2,1,,0
Luther Hackman,24,11,18,15,1,2,2,0,0,2,0,0,2,5,.133,.222,.267,.489,4,0,0,0,1,0,,1
Chad Hartvigson*,28,30,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Ryan Jacobs,25,28,19,18,1,3,1,0,0,1,0,0,0,5,.167,.167,.222,.389,4,0,0,1,0,0,,0
Brian Keck,25,5,19,15,0,3,0,1,0,2,2,1,4,3,.200,.368,.333,.702,5,1,0,0,0,0,,0
Chris Kirgan,26,133,540,474,55,105,27,2,13,84,1,0,60,115,.222,.309,.369,.678,175,17,2,0,4,4,,0
Tal Light,25,80,284,259,26,48,18,0,9,30,0,3,16,121,.185,.251,.359,.610,93,4,7,1,1,0,,0
Doug Livingston,25,43,137,119,11,24,2,1,1,9,4,2,13,24,.202,.276,.261,.537,31,1,0,3,2,4,,0
Jose Malave,28,44,166,146,21,40,10,1,10,26,0,1,16,28,.274,.349,.562,.911,82,3,2,0,2,0,,1
Chandler Martin,25,27,45,41,1,5,1,0,0,0,0,0,1,12,.122,.143,.146,.289,6,1,0,3,0,0,,0
Elvis Pena#,22,110,420,356,57,107,24,6,2,31,21,6,48,64,.301,.391,.419,.809,149,6,6,8,2,2,,1
Ben Petrick,22,20,80,68,18,21,5,1,4,22,3,1,9,15,.309,.388,.588,.976,40,0,1,0,2,0,,1
Matt Raleigh,28,48,140,115,13,24,8,0,4,12,0,0,23,60,.209,.345,.383,.728,44,2,1,1,0,1,,0
Scott Randall,23,16,18,15,2,2,0,0,0,0,0,0,0,5,.133,.133,.133,.267,2,1,0,3,0,0,,1
Kevin Rawitzer*,28,33,5,2,1,1,0,0,0,0,0,0,1,0,.500,.667,.500,1.167,1,0,0,2,0,0,,0
Chris Roberts,28,44,13,11,2,2,0,0,0,1,0,0,0,5,.182,.182,.182,.364,2,0,0,2,0,0,,0
Rich Robertson*,30,11,12,12,2,2,0,0,0,0,0,0,0,2,.167,.167,.167,.333,2,0,0,0,0,0,,1
Mike Rossiter,26,16,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0
Juan Sosa,23,125,534,490,70,135,22,5,7,42,38,15,31,65,.276,.318,.384,.701,188,12,2,5,6,0,,1
Mike Vavrek*,25,10,7,4,1,0,0,0,0,0,0,0,1,0,.000,.200,.000,.200,0,0,0,2,0,0,,0
Gilbert Vidal,24,45,142,129,10,31,8,0,2,12,0,0,8,30,.240,.288,.349,.637,45,2,1,3,1,0,,0
Doug Walls*,25,26,30,25,4,12,1,0,0,5,0,0,1,3,.480,.464,.520,.984,13,1,0,2,2,0,,0
Pat Watkins,26,88,346,312,38,93,27,1,3,40,6,5,24,49,.298,.357,.420,.776,131,3,6,1,3,0,,1
Mark Zamarripa,24,5,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,0,0,0,0,0,,0
34 Players,25.1,140,5157,4587,597,1169,260,34,110,547,103,58,423,1017,.255,.323,.398,.721,1827,100,59,47,41,15,,0
