Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Juan Alcala,21,8,15,14,0,1,1,0,0,2,0,0,1,7,.071,.133,.143,.276,2,0,0,0,0,0,,0
Jerry Amador,19,19,81,74,12,20,3,1,1,9,2,1,3,24,.270,.316,.378,.695,28,0,2,2,0,0,,0
Jermaine Clark*,22,126,573,502,112,158,27,8,6,61,33,15,58,80,.315,.386,.436,.822,219,10,2,8,3,2,,1
Greg Connors,24,117,500,448,72,120,20,7,16,84,10,7,40,91,.268,.333,.451,.784,202,3,6,1,5,2,,0
Cirilo Cruz,23,94,378,342,51,85,12,1,12,44,1,1,28,73,.249,.312,.395,.707,135,4,4,3,1,1,,0
Gerald Eady,23,52,190,151,20,37,4,3,1,18,7,12,27,57,.245,.385,.331,.716,50,2,8,3,1,0,,0
Marco Estrada#,22,13,38,35,3,7,2,0,0,3,1,0,2,8,.200,.263,.257,.520,9,1,1,0,0,0,,0
Alex Fernandez*,18,118,458,426,63,120,29,2,14,62,21,11,21,83,.282,.320,.458,.778,195,13,4,5,2,1,,0
Luis Figueroa,22,39,168,146,21,52,8,1,4,20,2,2,18,8,.356,.429,.507,.935,74,10,2,0,2,2,,0
Harvey Hargrove,23,130,573,510,83,150,20,2,11,80,17,16,51,116,.294,.359,.406,.764,207,5,3,4,5,0,,0
Craig Kuzmic#,22,32,130,108,19,22,4,0,5,15,3,1,20,43,.204,.331,.380,.710,41,1,1,0,1,1,,0
Pee Wee Lopez,22,72,270,247,37,71,10,3,5,28,5,4,15,36,.287,.340,.413,.753,102,11,5,2,1,0,,0
Ricky Magdaleno,24,23,103,89,12,31,4,2,1,14,2,1,11,12,.348,.417,.472,.889,42,1,1,0,2,0,,0
Mike Marchiano,24,47,204,182,25,57,11,1,3,29,4,1,16,28,.313,.373,.434,.807,79,5,3,0,3,1,,0
Scott Maynard,21,8,31,27,6,7,4,0,1,3,0,0,4,8,.259,.355,.519,.873,14,0,0,0,0,0,,0
Shawn McCorkle*,21,83,340,302,45,83,22,1,9,52,1,1,35,97,.275,.350,.444,.794,134,3,1,0,2,4,,0
Jose Moreno,21,23,77,68,9,11,2,0,0,4,4,1,7,12,.162,.250,.191,.441,13,2,1,1,0,0,,0
Wilfredo Quintana,21,10,40,37,7,11,1,1,3,8,1,0,2,14,.297,.350,.622,.972,23,1,1,0,0,0,,0
Joel Ramirez,25,106,427,376,55,90,17,7,2,42,10,8,29,64,.239,.312,.338,.650,127,3,13,4,5,0,,0
Jason Regan,23,64,273,231,50,59,17,1,15,45,4,1,33,77,.255,.360,.532,.893,123,6,6,1,2,2,,0
Matt Sachse*,23,69,272,236,40,72,18,2,7,41,5,4,33,67,.305,.391,.487,.878,115,1,1,1,1,0,,0
Rick Southall*,22,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Josh Taylor,22,6,14,13,0,1,0,0,0,2,0,0,1,6,.077,.143,.077,.220,1,0,0,0,0,0,,0
Ramon Valera#,23,17,66,54,10,10,1,0,0,1,4,4,10,10,.185,.323,.204,.527,11,0,1,1,0,0,,0
Peanut Williams,21,68,312,272,60,88,12,0,26,59,0,0,35,89,.324,.407,.654,1.061,178,5,4,0,1,1,,0
25 Players,22.3,140,5535,4892,812,1363,249,43,142,726,137,91,500,1112,.279,.352,.434,.786,2124,87,70,36,37,17,,0
