Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Chip Alley#,24,19,62,51,5,11,0,1,0,4,2,0,7,3,.216,.317,.255,.572,13,1,1,2,1,0,,0
Adan Amezcua,27,38,149,135,19,29,7,2,4,21,0,0,9,25,.215,.282,.385,.667,52,6,4,0,1,1,,0
Larry Bigbie*,23,71,303,262,41,77,13,3,8,33,10,7,40,54,.294,.386,.458,.844,120,5,0,0,1,1,,1
Mike Bordick,35,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,,1
Stoney Briggs,29,55,193,164,25,40,5,1,8,22,2,2,24,40,.244,.349,.433,.782,71,8,3,1,1,0,,0
Derek Brown,24,36,2,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,2,0,0,0,0,0,,0
Carlos Casimiro,24,80,322,302,22,67,15,1,4,24,2,5,18,81,.222,.268,.318,.586,96,6,1,1,0,2,,1
Manny Del Rosario#,19,7,16,14,0,5,0,0,0,1,0,0,0,2,.357,.357,.357,.714,5,0,0,2,0,0,,0
Franky Figueroa,24,137,562,534,61,160,32,0,14,72,0,4,21,138,.300,.326,.438,.764,234,23,2,1,4,2,,0
Mark Gibbs,23,32,84,79,7,18,2,0,0,6,0,1,4,23,.228,.262,.253,.515,20,1,0,0,1,0,,0
Steve Goodell,26,41,166,135,27,33,6,1,6,26,1,3,24,36,.244,.373,.437,.811,59,5,5,0,2,0,,0
Rich Hackett,22,3,9,8,0,1,0,0,0,0,0,1,1,5,.125,.222,.125,.347,1,0,0,0,0,0,,0
Joey Hammond,23,102,394,342,49,95,13,2,1,26,2,3,42,59,.278,.365,.336,.701,115,8,6,2,2,1,,0
Willie Harris*,23,133,590,525,83,160,27,4,9,49,54,16,46,71,.305,.364,.423,.787,222,6,5,10,4,3,,1
Cory Keylor*,21,3,8,7,0,1,1,0,0,1,0,0,0,2,.143,.125,.286,.411,2,0,0,0,1,0,,0
Jose Leon,24,26,104,95,18,34,9,1,4,20,1,1,8,21,.358,.413,.600,1.013,57,2,1,0,0,0,,1
Mike Lopez-Cao*,25,61,198,174,18,35,11,0,4,20,0,2,17,34,.201,.289,.333,.623,58,4,5,1,1,1,,0
Eddy Martinez,23,32,140,122,21,35,1,0,1,10,5,3,14,31,.287,.360,.320,.679,39,2,1,1,2,0,,0
Luis Matos,22,13,52,46,6,14,5,0,1,8,0,1,5,7,.304,.385,.478,.863,22,0,1,0,0,1,,1
Darnell McDonald,22,30,128,117,16,33,7,1,3,21,3,3,9,28,.282,.336,.436,.772,51,1,1,0,1,0,,1
Tom McGee,26,48,173,156,15,25,6,0,2,14,0,1,12,32,.160,.234,.237,.471,37,5,3,2,0,0,,0
Sean Mulligan,31,6,23,23,2,5,0,0,2,7,0,0,0,6,.217,.217,.478,.696,11,1,0,0,0,0,,1
Ntema Ndungidi*,22,104,383,339,34,72,17,1,3,35,3,5,37,90,.212,.296,.295,.591,100,8,4,1,2,0,,0
Wynter Phoenix*,26,81,300,267,32,60,17,4,4,20,11,5,26,62,.225,.297,.363,.660,97,5,3,0,4,2,,0
Tim Raines Jr.,21,65,296,254,46,74,14,1,4,30,29,10,34,60,.291,.380,.402,.782,102,3,3,4,1,0,,1
Keith Reed,22,18,73,67,7,17,3,0,1,8,2,2,6,10,.254,.315,.343,.658,23,3,0,0,0,0,,1
Brian Roberts#,23,22,95,81,12,24,7,0,1,7,10,0,9,12,.296,.366,.420,.785,34,2,1,2,2,0,,1
Eddie Rogers,22,53,203,191,11,38,10,1,0,13,10,2,6,40,.199,.231,.262,.493,50,4,2,4,0,0,,1
Brian Rust,26,38,139,129,16,39,6,0,5,19,1,5,6,33,.302,.338,.465,.803,60,4,2,0,2,0,,0
Dave Ullery*,26,14,56,53,3,15,3,0,2,12,0,0,1,15,.283,.304,.453,.756,24,1,1,0,1,0,,0
30 Players,23.9,141,5227,4678,597,1219,238,24,91,529,148,82,426,1021,.261,.327,.380,.707,1778,114,55,34,34,14,,0
