Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Alex Blackburn,18,42,157,139,19,35,6,0,2,14,1,1,15,41,.252,.329,.338,.667,47,1,1,2,0,0,,0
David Corrente,17,35,116,99,7,19,5,0,1,6,1,0,8,32,.192,.298,.273,.571,27,2,7,2,0,0,,0
Armando Guerrero,23,72,280,263,35,64,10,1,8,36,10,10,10,61,.243,.274,.380,.655,100,2,2,3,2,0,,0
Luke Hetherington,18,51,198,174,22,36,3,4,2,14,6,1,18,54,.207,.299,.305,.604,53,4,5,1,0,0,,0
Nathan Hyde,22,57,208,190,27,44,7,3,3,18,5,0,12,47,.232,.290,.347,.637,66,4,4,1,1,0,,0
Isaac Iorg,22,24,82,80,8,20,3,0,2,10,0,1,1,16,.250,.268,.363,.631,29,2,1,0,0,0,,0
Glynn Kimberley,19,52,215,190,21,44,8,1,9,26,0,0,18,64,.232,.312,.426,.738,81,3,5,0,2,0,,0
Cesar Martin,22,67,299,254,34,56,16,0,8,43,4,3,27,54,.220,.325,.378,.703,96,7,13,4,1,0,,0
Aaron McEachran*,22,69,297,256,34,86,12,1,5,41,3,1,32,55,.336,.426,.449,.875,115,7,8,1,0,2,,0
Frewing Medina,20,19,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Rodney Medina*,19,50,218,195,37,60,7,0,7,21,6,2,19,29,.308,.375,.451,.826,88,2,2,2,0,0,,0
Juan Peralta#,18,71,329,299,45,69,8,3,0,13,18,8,26,47,.231,.291,.278,.568,83,3,0,2,2,1,,0
Willie Rivera*,19,48,188,173,18,36,4,0,0,11,3,0,9,38,.208,.250,.231,.481,40,2,1,4,1,0,,0
Nick Tempesta*,22,72,298,263,49,88,16,1,8,46,3,1,24,51,.335,.407,.494,.902,130,3,9,1,1,2,,0
Stephen Wood,23,2,7,6,0,2,1,0,0,2,0,0,0,1,.333,.429,.500,.929,3,0,1,0,0,0,,0
Jose Yepez,20,18,65,58,5,16,5,0,0,3,3,0,4,4,.276,.354,.362,.716,21,0,3,0,0,0,,0
16 Players,20.3,76,2958,2640,361,675,111,14,55,304,63,28,223,594,.256,.327,.371,.698,979,42,62,23,10,5,,0
