Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Rondon Anderson*,22,45,152,120,20,25,1,1,3,14,4,2,30,35,.208,.368,.308,.677,37,0,1,0,1,0,,0
Robert Andino,18,9,33,27,2,7,0,0,0,2,3,0,5,6,.259,.364,.259,.623,7,1,0,0,1,0,,1
Jose Aponte*,19,53,194,165,35,47,3,7,4,18,10,1,24,31,.285,.371,.461,.832,76,0,1,0,4,0,,0
Xavier Arroyo,17,27,101,76,8,12,4,0,0,6,5,3,23,22,.158,.360,.211,.571,16,5,1,1,0,0,,0
Jordan Baker*,18,30,85,73,7,13,1,0,0,8,1,3,10,30,.178,.274,.192,.466,14,0,0,1,1,0,,0
Frederick Bastardo,20,54,195,173,27,40,14,0,3,23,6,3,20,31,.231,.314,.364,.679,63,3,1,1,0,0,,0
Kenny Berkenbosch,17,4,11,9,1,3,1,0,0,1,0,0,1,2,.333,.455,.444,.899,4,1,1,0,0,0,,0
Bladimir Carofiles,20,41,140,126,12,32,3,1,1,16,7,3,9,24,.254,.309,.317,.627,40,1,2,1,2,0,,0
Josh Coffey,18,19,57,50,3,8,0,0,0,2,0,0,6,10,.160,.263,.160,.423,8,0,1,0,0,0,,0
Kyle Eazor*,20,16,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,0,0,0,0,,0
Juan Garcia#,19,34,130,107,16,16,4,0,0,8,4,2,21,36,.150,.300,.187,.487,20,5,2,0,0,0,,0
Gooby Gerlits,19,24,78,76,12,17,8,1,1,11,0,0,1,11,.224,.244,.395,.638,30,3,1,0,0,0,,0
Alex Gonzalez,25,5,13,12,0,2,1,0,0,1,0,0,0,5,.167,.154,.250,.404,3,1,0,0,1,0,,1
Tyson Graham,19,6,22,20,2,7,3,0,0,0,0,0,2,3,.350,.409,.500,.909,10,2,0,0,0,0,,0
Casey Grzecka,22,9,33,30,1,7,1,0,0,5,0,0,1,5,.233,.273,.267,.539,8,2,1,0,1,0,,0
Jeremy Hermida*,18,38,152,134,15,30,7,3,0,14,5,0,15,25,.224,.316,.321,.637,43,3,3,0,0,0,,1
Guy Lynam,21,11,37,30,2,6,2,0,0,6,1,0,6,6,.200,.351,.267,.618,8,1,1,0,0,0,,0
Amado Rengifo,20,33,88,77,14,17,4,1,0,5,8,0,10,18,.221,.318,.299,.617,23,4,1,0,0,0,,0
Chris Resop,19,28,100,91,7,24,5,2,0,11,1,2,5,21,.264,.323,.363,.686,33,2,3,1,0,0,,1
Bobby Spano#,22,41,135,103,14,12,1,0,0,4,4,3,27,39,.117,.321,.126,.447,13,0,4,1,0,0,,0
Dan Wells,22,28,99,85,13,19,3,0,1,8,2,0,7,29,.224,.313,.294,.607,25,2,5,0,2,0,,0
Marcos Yepez#,20,58,234,192,29,55,16,3,0,22,19,8,35,41,.286,.397,.401,.798,77,5,2,2,3,0,,0
22 Players,19.7,60,2089,1776,240,399,82,19,13,185,80,31,258,430,.225,.331,.314,.645,558,41,31,8,16,0,,0
