Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Nielsen Abreu,21,41,156,140,16,36,4,0,0,10,14,8,13,16,.257,.327,.286,.613,40,1,2,0,1,0,,0
Ryan Barthelemy*,22,68,289,260,27,67,13,3,2,32,5,2,19,56,.258,.308,.354,.662,92,5,2,3,5,3,,0
Rob Cafiero,22,60,246,225,22,50,6,0,6,35,0,2,16,59,.222,.273,.329,.602,74,2,1,1,3,0,,0
Cliff Dancy,22,47,168,155,12,31,2,2,1,3,10,2,7,45,.200,.242,.258,.500,40,3,2,3,1,0,,0
Jeremy Isenhower*,22,3,13,10,1,4,0,1,0,3,1,0,0,0,.400,.385,.600,.985,6,0,1,0,2,0,,0
Terry Jones,19,43,176,157,13,35,8,4,1,16,5,1,12,40,.223,.297,.344,.641,54,1,5,1,1,0,,0
Brian Manfred,23,22,87,74,8,14,3,1,2,8,0,0,10,17,.189,.302,.338,.640,25,0,2,1,0,0,,0
Andre Marshall#,21,46,174,143,13,32,4,1,0,12,6,2,24,42,.224,.331,.266,.597,38,4,0,5,2,0,,0
Mark McRoberts,20,46,195,166,27,49,12,2,4,17,6,1,21,40,.295,.383,.464,.847,77,3,4,2,2,1,,0
Victor Menocal,22,22,11,10,2,1,0,0,0,1,0,0,1,3,.100,.182,.100,.282,1,0,0,0,0,0,,0
Alex Nunez*,21,15,61,47,9,12,3,0,1,6,3,0,11,8,.255,.410,.383,.793,18,2,2,0,1,0,,0
Trent Pratt#,22,39,144,118,10,28,7,0,0,12,0,1,19,33,.237,.352,.297,.649,35,4,3,2,2,0,,0
Erick Rivera,21,49,205,181,19,45,11,1,2,19,10,4,13,40,.249,.312,.354,.665,64,8,4,6,1,0,,0
Luis Rivero,21,34,109,100,10,16,1,2,1,12,3,2,8,29,.160,.222,.240,.462,24,4,0,1,0,0,,0
Chris Roberson#,22,62,253,214,29,59,8,3,2,24,17,8,26,51,.276,.377,.369,.746,79,2,10,1,2,0,,1
Carlos Rodriguez#,18,61,276,248,29,72,7,3,0,15,21,11,19,48,.290,.351,.343,.693,85,2,4,5,0,0,,0
Takahiko Sato,23,20,85,72,16,22,5,0,3,8,2,1,8,25,.306,.381,.500,.881,36,1,2,1,2,1,,0
Andres Silvera,20,31,131,113,13,26,6,1,4,12,10,5,12,40,.230,.318,.407,.725,46,3,3,2,1,1,,0
Ryan Wardinsky#,22,26,95,84,8,22,2,0,1,7,2,2,8,24,.262,.347,.321,.669,27,0,3,0,0,0,,0
Erik Winegarden*,22,10,47,39,6,11,3,0,0,5,0,0,6,6,.282,.383,.359,.742,14,2,1,0,1,0,,0
20 Players,21.0,76,2921,2556,290,632,105,24,30,257,115,52,253,622,.247,.324,.342,.667,875,47,51,34,27,6,,0
