Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Wladimir Balentien,19,76,279,260,39,72,12,3,15,46,10,2,12,77,.277,.315,.519,.834,135,8,3,3,1,2,,1
Evel Bastida*,25,51,222,190,28,49,4,0,2,23,11,4,24,35,.258,.352,.311,.662,59,2,4,3,1,1,,0
Eric Blakeley,24,86,308,261,43,75,19,2,5,24,8,6,32,52,.287,.373,.433,.806,113,4,6,5,4,1,,0
Samuel Bradford#,22,17,52,49,4,7,2,0,1,4,1,0,2,15,.143,.176,.245,.421,12,0,0,1,0,0,,0
Hyung Cho,21,18,63,57,4,17,2,0,0,10,0,1,5,11,.298,.365,.333,.698,19,2,1,0,0,0,,0
Chris Collins,22,108,441,382,43,90,19,0,4,57,3,2,47,72,.236,.320,.317,.636,121,12,3,3,6,0,,0
Chris Colton,21,127,506,457,63,106,18,11,12,63,15,9,40,99,.232,.302,.398,.701,182,14,7,0,2,1,,0
Mike Cox,23,116,448,390,49,89,21,2,11,51,2,6,47,100,.228,.314,.377,.691,147,6,4,2,5,0,,0
Jeremy Dutton*,23,93,333,288,27,60,13,1,2,19,3,3,38,62,.208,.307,.281,.588,81,6,4,1,2,1,,0
Josh Ellison,20,25,108,91,22,19,3,1,0,6,3,1,14,23,.209,.327,.264,.591,24,3,2,1,0,0,,0
Francisco Gerez,24,9,27,25,2,8,2,0,0,5,3,0,2,5,.320,.370,.400,.770,10,1,0,0,0,0,,0
Adam Jones,18,130,559,510,76,136,23,7,11,72,8,4,33,124,.267,.314,.404,.717,206,13,5,4,7,0,,1
Bryan LaHair*,21,67,280,262,30,73,24,0,5,28,0,6,16,66,.279,.323,.427,.750,112,5,1,1,0,1,,1
Brent Metheny*,23,30,104,92,8,18,5,2,2,13,2,1,11,29,.196,.279,.359,.638,33,1,0,0,1,0,,0
Oswaldo Navarro,19,40,123,109,13,23,4,0,0,7,4,1,11,19,.211,.295,.248,.543,27,4,2,1,0,0,,1
Mike Nesbit,22,69,261,237,34,66,11,1,2,17,8,5,20,46,.278,.336,.359,.695,85,1,1,2,1,0,,0
Nick Orlandos,23,65,290,261,24,76,9,1,1,23,10,4,23,34,.291,.354,.345,.699,90,9,3,2,1,0,,0
Justin Ruchti,23,79,252,230,15,51,15,0,1,22,1,3,20,51,.222,.283,.300,.583,69,6,0,1,1,0,,0
George Sandel*,23,23,68,55,7,15,1,0,0,3,0,0,12,14,.273,.403,.291,.694,16,0,0,1,0,0,,0
Josh Womack*,20,118,512,470,76,122,21,9,5,39,24,7,34,126,.260,.314,.374,.688,176,7,4,2,2,4,,0
20 Players,21.5,139,5236,4676,607,1172,228,40,79,532,116,65,443,1060,.251,.320,.367,.687,1717,104,50,33,34,11,,0
