Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Chris Aguila,26,35,153,138,27,49,13,2,7,25,8,2,14,21,.355,.412,.630,1.042,87,3,0,0,1,0,,1
Chris Ashby,30,67,197,174,20,43,6,0,0,14,0,2,18,26,.247,.323,.282,.605,49,5,2,2,1,0,,0
Larry Barnes*,30,71,234,219,30,55,9,1,8,26,2,2,11,45,.251,.288,.411,.699,90,9,1,1,2,0,,1
Peter Bauer*,26,15,13,12,2,4,0,0,0,0,0,0,1,4,.333,.385,.333,.718,4,1,0,0,0,0,,0
Chad Bentz,25,31,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,,1
Matt Blank*,29,13,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Nate Bump*,28,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,,1
Frank Castillo,36,27,40,34,1,3,0,0,0,1,0,0,1,9,.088,.114,.088,.203,3,0,0,5,0,0,,1
Brad Clontz,34,11,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Mike Colangelo,28,98,383,334,58,98,18,2,16,55,2,2,31,73,.293,.365,.503,.868,168,5,10,2,6,3,,1
Bryan Corey,31,44,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,,1
Jim Crowell*,31,55,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1
Wilson Delgado#,32,98,387,351,52,100,22,5,6,37,3,4,29,55,.285,.339,.427,.766,150,12,1,3,3,1,,1
Joe Dillon,29,98,425,350,80,126,21,1,24,72,11,1,57,59,.360,.459,.631,1.090,221,7,12,0,6,4,,1
Matt Erickson*,29,18,56,49,6,14,1,0,0,4,0,0,3,8,.286,.352,.306,.658,15,1,2,2,0,0,,1
