Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Rod Barajas,29,120,450,410,53,104,24,0,21,60,0,0,26,70,.254,.306,.466,.771,97,191,6,6,4,3,0,1
1B,Mark Teixeira#,25,162,730,644,112,194,41,3,43,144,4,0,72,124,.301,.379,.575,.954,144,370,18,11,0,3,5,1
2B,Alfonso Soriano,29,156,682,637,102,171,43,2,36,104,30,2,33,125,.268,.309,.512,.821,109,326,6,7,0,5,3,1
SS,Michael Young,28,159,732,668,114,221,40,5,24,91,5,2,58,91,.331,.385,.513,.899,131,343,20,3,0,3,0,1
3B,Hank Blalock*,24,161,705,647,80,170,34,0,25,92,1,0,51,132,.263,.318,.431,.749,93,279,16,3,0,4,1,1
LF,Kevin Mench,27,150,615,557,71,147,33,3,25,73,4,3,50,68,.264,.328,.469,.797,104,261,6,5,0,3,4,1
CF,Gary Matthews#,30,131,526,475,72,121,25,5,17,55,9,2,47,90,.255,.320,.436,.756,94,207,11,0,1,3,1,1
RF,Richard Hidalgo,30,88,339,308,43,68,12,0,16,43,1,2,26,74,.221,.289,.416,.705,81,128,8,4,0,1,1,1
DH,David Dellucci*,31,128,518,435,97,109,17,5,29,65,5,3,76,121,.251,.367,.513,.879,126,223,7,5,0,2,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,Laynce Nix*,24,63,240,229,28,55,12,3,6,32,2,0,9,45,.240,.267,.397,.664,70,91,3,0,0,2,3,1
RF,Mark DeRosa,30,66,166,148,26,36,5,0,8,20,1,0,16,35,.243,.325,.439,.764,97,65,5,2,0,0,0,1
DH,Adrian Gonzalez*,23,43,162,150,17,34,7,1,6,17,0,0,10,37,.227,.272,.407,.678,73,61,3,0,0,2,2,1
C,Sandy Alomar,39,46,137,128,11,35,7,0,0,14,0,0,5,12,.273,.306,.328,.634,66,42,3,1,3,0,0,1
DH,Phil Nevin,34,29,108,99,15,18,5,0,3,8,2,0,8,30,.182,.250,.323,.573,48,32,6,1,0,0,0,1
DH,Chad Allen,30,21,56,53,5,15,1,1,0,5,0,1,2,13,.283,.309,.340,.649,69,18,2,0,1,0,0,1
C,Gerald Laird,25,13,42,40,7,9,2,0,1,4,0,0,2,7,.225,.262,.350,.612,58,14,1,0,0,0,0,1
LF,Jason Botts#,24,10,30,27,4,8,0,0,0,3,0,0,3,13,.296,.367,.296,.663,76,8,1,0,0,0,0,1
OF,Andres Torres#,27,8,21,19,2,3,1,0,0,1,1,0,1,6,.158,.190,.211,.401,5,4,0,0,0,1,0,1
UT,Marshall McDougall,26,18,18,18,3,3,1,0,0,0,0,0,0,10,.167,.167,.222,.389,0,4,1,0,0,0,0,1
IF,Esteban German,27,5,4,4,3,3,1,0,0,1,2,0,0,1,.750,.750,1.000,1.750,351,4,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Chan Ho Park,32,2,5,5,0,2,0,0,0,0,0,0,0,2,.400,.400,.400,.800,110,2,0,0,0,0,0,1
P,Chris Young,26,2,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Kenny Rogers*,40,1,3,3,0,1,0,1,0,1,0,0,0,1,.333,.333,1.000,1.333,228,3,0,0,0,0,0,1
P,Ricardo Rodriguez*,27,2,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,75,1,0,0,0,0,0,1
