Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Juan Apodaca,19,34,124,109,17,28,5,0,4,14,3,1,13,23,.257,.341,.413,.754,45,10,1,1,0,0,,0
Pat Borders,43,20,77,72,6,13,3,0,1,7,0,0,5,13,.181,.234,.264,.498,19,3,0,0,0,0,,1
Cole Bruce,24,85,341,313,43,89,23,0,10,34,0,1,23,77,.284,.335,.454,.789,142,5,2,1,2,1,,0
Ryan Carter,23,37,143,132,18,27,7,6,3,16,0,0,7,54,.205,.246,.417,.663,55,2,1,1,2,0,,0
Travis Denker,20,54,220,191,24,42,6,0,5,25,0,2,24,36,.220,.309,.330,.639,63,5,2,0,3,0,,1
Blake DeWitt*,20,106,478,425,61,114,18,1,18,61,8,5,45,79,.268,.339,.442,.781,188,8,3,0,5,1,,1
Cory Dunlap*,22,89,380,284,43,74,15,0,14,47,0,1,88,69,.261,.435,.461,.897,131,8,3,1,4,0,,0
Adolfo Gonzalez,21,59,217,202,29,50,12,0,6,19,3,1,9,49,.248,.284,.396,.680,80,5,2,2,2,0,,0
Eloy Gutierrez#,21,26,79,69,11,15,2,1,0,5,5,0,9,24,.217,.316,.275,.592,19,1,1,0,0,0,,0
Gabriel Gutierrez,22,39,113,96,7,19,1,0,0,14,0,1,8,18,.198,.269,.208,.477,20,3,2,5,2,0,,0
Jamie Hoffmann,21,121,479,433,50,109,16,0,5,29,15,11,35,94,.252,.309,.323,.633,140,9,2,7,2,0,,1
D.J. Jackson,22,10,21,19,3,4,0,0,1,1,0,0,1,10,.211,.286,.368,.654,7,0,1,0,0,0,,0
Shane Justis,23,24,91,79,10,22,3,1,3,12,0,1,10,10,.278,.360,.456,.815,36,2,0,2,0,0,,0
Francisco Lizarraga,20,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Drew Locke,23,61,256,231,33,66,16,0,7,39,5,3,20,37,.286,.352,.446,.797,103,7,4,0,1,0,,0
Brian Mathews,18,2,7,6,2,1,1,0,0,0,0,0,1,2,.167,.286,.333,.619,2,0,0,0,0,0,,0
Ryder Mathias,24,29,95,84,9,16,4,0,1,10,2,0,8,13,.190,.277,.274,.550,23,3,2,1,0,0,,0
Russ Mitchell,21,22,91,83,12,23,8,0,4,16,1,1,4,14,.277,.315,.518,.833,43,1,1,2,1,0,,1
Jason Mooneyham*,24,22,78,68,5,19,3,0,0,5,0,3,5,19,.279,.355,.324,.679,22,1,3,2,0,0,,0
David Nicholson,23,106,412,361,54,103,16,5,1,28,23,11,39,81,.285,.358,.366,.724,132,8,3,7,2,0,,0
Xavier Paul*,21,120,520,470,62,134,23,3,13,49,22,15,38,114,.285,.343,.430,.773,202,10,4,7,1,4,,1
Sergio Pedroza*,22,13,48,39,7,6,2,0,3,9,0,0,8,18,.154,.292,.436,.728,17,1,0,0,1,0,,0
Anthony Raglani*,23,17,74,63,10,20,4,1,1,7,0,1,10,10,.317,.419,.460,.879,29,2,1,0,0,0,,0
Trayvon Robinson#,18,3,5,5,1,2,0,0,0,1,1,0,0,2,.400,.400,.400,.800,2,0,0,0,0,0,,1
Jimmy Rohan,22,21,76,70,9,19,4,0,1,6,0,0,5,11,.271,.320,.371,.691,26,1,0,1,0,1,,0
Ryan Russ#,25,33,114,103,13,23,2,0,0,9,3,0,6,30,.223,.286,.243,.528,25,1,3,2,0,0,,0
Carlos Santana#,20,54,223,198,16,53,10,2,3,18,0,3,23,43,.268,.345,.384,.729,76,6,1,0,1,0,,1
Jeremy Todd*,28,20,58,48,4,8,2,0,2,5,0,0,8,14,.167,.298,.333,.632,16,3,1,1,0,0,,0
Chris Westervelt,24,41,153,129,18,29,3,0,6,20,2,1,16,41,.225,.302,.388,.690,50,3,0,4,4,0,,0
29 Players,22.2,131,4978,4387,577,1128,209,20,112,506,93,62,468,1007,.257,.332,.390,.723,1713,108,43,47,33,7,,0
