Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Bengie Molina,32,134,517,497,38,137,19,1,19,81,0,0,15,53,.276,.298,.433,.731,86,215,13,2,1,2,2,1
1B,Ryan Klesko*,36,116,411,362,51,94,27,3,6,44,5,1,46,68,.260,.344,.401,.744,92,145,14,1,1,1,2,1
2B,Ray Durham#,35,138,528,464,56,101,21,2,11,71,10,2,53,75,.218,.295,.343,.638,64,159,18,2,0,9,6,1
SS,Omar Vizquel#,40,145,575,513,54,126,18,3,4,51,14,6,44,48,.246,.305,.316,.621,61,162,14,1,14,3,6,1
3B,Pedro Feliz,32,150,590,557,61,141,28,2,20,72,2,2,29,70,.253,.290,.418,.708,80,233,15,1,0,3,2,1
LF,Barry Bonds*,42,126,477,340,75,94,14,0,28,66,5,0,132,54,.276,.480,.565,1.045,169,192,13,3,0,2,43,1
CF,Dave Roberts*,35,114,443,396,61,103,17,9,2,23,31,5,42,66,.260,.331,.364,.695,79,144,4,0,4,0,1,1
RF,Randy Winn#,33,155,653,593,73,178,42,1,14,65,15,3,44,85,.300,.353,.445,.798,104,264,12,7,4,5,3,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,Rich Aurilia,35,99,358,329,40,83,19,2,5,33,0,0,22,45,.252,.304,.368,.672,73,121,8,4,0,3,1,1
MI,Kevin Frandsen,25,109,296,264,26,71,12,1,5,31,4,3,21,24,.269,.331,.379,.710,83,100,17,5,3,3,3,1
RF,Fred Lewis*,26,58,180,157,34,45,6,2,3,19,5,1,19,32,.287,.374,.408,.782,102,64,4,3,1,0,0,1
UT,Daniel Ortmeier#,26,62,167,157,20,45,7,4,6,16,2,1,7,41,.287,.317,.497,.814,106,78,2,1,0,2,1,1
CF,Rajai Davis,26,51,162,142,26,40,9,1,1,7,17,4,14,25,.282,.363,.380,.743,92,54,0,4,2,0,1,1
RF,Nate Schierholtz*,23,39,117,112,9,34,5,3,0,10,3,1,2,19,.304,.316,.402,.718,84,45,0,1,0,2,0,1
UT,Mark Sweeney*,37,76,107,90,18,23,8,0,2,10,2,0,13,18,.256,.368,.411,.779,101,37,0,3,1,0,0,1
C,Guillermo Rodriguez,29,39,98,87,10,22,6,0,1,14,0,1,10,17,.253,.327,.356,.683,76,31,3,0,0,1,0,1
C,Eliezer Alfonzo,28,26,67,64,5,16,2,1,1,6,0,2,2,23,.250,.284,.359,.643,65,23,2,1,0,0,2,1
OF,Todd Linden#,27,30,60,55,6,10,1,0,0,3,0,0,5,23,.182,.250,.200,.450,18,11,0,0,0,0,1,1
1B,Lance Niekro,28,11,18,17,0,3,0,0,0,0,0,0,1,5,.176,.222,.176,.399,5,3,1,0,0,0,0,1
UT,Eugenio Velez#,25,14,13,11,5,3,0,2,0,2,4,0,2,3,.273,.385,.636,1.021,157,7,0,0,0,0,0,1
1B,Scott McClain,35,8,11,11,1,2,0,0,0,0,0,0,0,2,.182,.182,.182,.364,-6,2,0,0,0,0,0,1
UT,Luis Figueroa#,33,6,5,5,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,4,1,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Barry Zito*,29,32,68,62,2,7,0,0,0,3,0,0,2,16,.113,.141,.113,.254,-33,7,0,0,4,0,0,1
P,Matt Cain,22,30,66,57,3,4,0,0,2,4,0,0,2,32,.070,.102,.175,.277,-30,10,0,0,7,0,0,1
P,Noah Lowry,26,33,62,57,3,5,2,0,1,5,0,1,1,15,.088,.103,.175,.279,-30,10,0,0,4,0,0,1
P,Tim Lincecum*,23,24,51,43,2,4,1,0,0,0,0,0,2,21,.093,.133,.116,.250,-35,5,1,0,6,0,0,1
P,Matt Morris,32,19,45,38,3,7,1,0,0,1,0,0,1,10,.184,.205,.211,.416,8,8,0,0,6,0,0,1
P,Kevin Correia,26,57,19,15,0,1,0,0,0,0,0,0,1,4,.067,.125,.067,.192,-48,1,0,0,3,0,0,1
P,Russ Ortiz,33,12,19,17,0,3,1,0,0,3,0,0,0,4,.176,.176,.235,.412,5,4,0,0,2,0,0,1
P,Pat Misch,25,18,10,9,0,1,0,0,0,0,0,0,0,3,.111,.111,.111,.222,-42,1,0,0,1,0,0,1
P,Jonathan Sanchez*,24,31,7,6,0,1,1,0,0,1,0,0,0,3,.167,.167,.333,.500,25,2,0,0,1,0,0,1
P,Travis Blackley*,24,2,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,73,1,0,0,0,0,0,1
P,Vinnie Chulk,28,55,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,73,1,1,0,0,0,0,1
P,Scott Atchison,31,22,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jack Taschner*,29,60,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Brian Wilson,25,24,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
P,Steve Kline,34,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Brad Hennessey,27,68,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Tyler Walker,31,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Armando Benitez,34,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dan Giese,30,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Randy Messenger,25,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Scott Munter,27,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Erick Threets*,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,33.2,162,6213,5538,683,1407,267,37,131,641,119,33,532,907,.254,.322,.387,.708,82,2141,142,39,67,36,74,1
,Rank in 16 NL teams,,,,13,15,15,16,4,14,,4,10,8,2,14,14,16,16,,16,,16,,16,,1
,Non-Pitcher Totals,33.6,162,5853,5223,670,1372,261,37,128,624,119,32,523,796,.263,.332,.400,.733,88,2091,140,39,31,36,74,1
,Pitcher Totals,26.5,162,360,315,13,35,6,0,3,17,0,1,9,111,.111,.136,.159,.295,-24,50,2,0,36,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
