Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Yadier Molina,24,111,396,353,30,97,15,0,6,40,1,1,34,43,.275,.340,.368,.708,85,130,18,3,2,4,5,1
1B,Albert Pujols,27,158,679,565,99,185,38,1,32,103,2,6,99,58,.327,.429,.568,.997,157,321,27,7,0,8,22,1
2B,Adam Kennedy*,31,87,306,279,27,61,9,1,3,18,6,2,22,33,.219,.282,.290,.572,50,81,9,3,1,1,6,1
SS,David Eckstein,32,117,484,434,58,134,23,0,3,31,10,1,24,22,.309,.356,.382,.739,93,166,9,12,7,7,0,1
3B,Scott Rolen,32,112,441,392,55,104,24,2,8,58,5,3,37,56,.265,.331,.398,.729,89,156,13,5,0,7,2,1
LF,Chris Duncan*,26,127,432,375,51,97,20,0,21,70,2,1,55,123,.259,.354,.480,.834,115,180,4,1,0,1,3,1
CF,Jim Edmonds*,37,117,411,365,39,92,15,2,12,53,0,2,41,75,.252,.325,.403,.728,88,147,9,0,2,3,2,1
RF,Juan Encarnacion,31,78,307,283,43,80,17,1,9,47,2,2,18,43,.283,.324,.445,.769,98,126,11,1,1,4,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,Aaron Miles#,30,133,449,414,55,120,16,1,2,32,2,1,25,40,.290,.328,.348,.676,76,144,11,1,4,5,1,1
OF,So Taguchi,37,130,340,307,48,89,15,0,3,30,7,4,23,32,.290,.350,.368,.718,88,113,10,6,3,1,0,1
OF,Ryan Ludwick,28,120,339,303,42,81,22,0,14,52,4,4,26,72,.267,.339,.479,.818,110,145,1,7,3,0,1,1
UT,Scott Spiezio#,34,81,257,223,31,60,14,0,4,31,0,1,27,40,.269,.354,.386,.740,93,86,5,4,0,3,2,1
IF,Brendan Ryan,25,67,199,180,30,52,9,0,4,12,7,0,15,19,.289,.347,.406,.752,95,73,3,1,3,0,0,1
OF,Rick Ankiel*,27,47,190,172,31,49,8,1,11,39,1,0,13,41,.285,.328,.535,.863,120,92,3,0,1,4,0,1
OF,Skip Schumaker*,27,88,188,177,19,59,12,2,2,19,1,1,8,20,.333,.358,.458,.816,111,81,5,0,1,2,0,1
C,Gary Bennett,35,59,170,155,12,39,7,0,2,17,1,1,8,16,.252,.286,.335,.621,61,52,6,1,2,4,1,1
C,Kelly Stinnett,37,26,87,82,7,13,3,0,1,5,0,0,5,22,.159,.207,.232,.439,14,19,2,0,0,0,2,1
IF,Miguel Cairo,33,28,72,67,8,17,2,2,0,5,2,1,3,5,.254,.296,.343,.639,66,23,0,1,1,0,0,1
RF,Preston Wilson,32,25,68,64,6,14,3,0,1,5,2,1,4,17,.219,.265,.313,.577,50,20,2,0,0,0,0,1
CI,Russell Branyan*,31,21,39,32,4,6,0,0,1,2,0,0,7,15,.188,.333,.281,.615,63,9,1,0,0,0,0,1
IF,Brian Barden,26,15,25,23,6,5,1,0,0,0,0,0,2,4,.217,.280,.261,.541,42,6,2,0,0,0,0,1
C,Brian Esposito,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Adam Wainwright,25,36,74,62,4,18,3,0,1,6,0,1,3,18,.290,.323,.387,.710,84,24,1,0,9,0,0,1
P,Braden Looper,32,29,63,53,6,10,2,0,0,6,0,0,4,19,.189,.259,.226,.485,28,12,1,1,5,0,0,1
P,Kip Wells,30,34,54,53,7,17,1,0,1,5,0,0,0,19,.321,.321,.396,.717,85,21,0,0,1,0,0,1
P,Anthony Reyes,25,25,32,26,1,2,0,0,0,1,0,0,0,10,.077,.077,.077,.154,-60,2,1,0,6,0,0,1
P,Brad Thompson,25,42,31,24,1,4,0,0,0,0,0,0,0,11,.167,.167,.167,.333,-13,4,0,0,7,0,0,1
P,Joel Pineiro,28,14,24,18,2,1,0,0,0,0,0,0,2,13,.056,.150,.056,.206,-43,1,0,0,4,0,0,1
P,Todd Wellemeyer,28,18,19,16,1,2,0,0,0,1,0,0,0,9,.125,.125,.125,.250,-35,2,0,0,3,0,0,1
P,Mike Maroth*,29,15,11,10,1,2,0,0,0,1,1,0,0,1,.200,.200,.200,.400,5,2,0,0,1,0,0,1
P,Randy Keisler*,31,4,6,6,1,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-13,1,0,0,0,0,0,1
P,Troy Percival,37,34,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Kelvin Jimenez,26,30,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,-2,0,0,0,0,0,0,1
P,Mark Mulder*,29,3,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,162,1,0,0,0,0,0,1
P,Ryan Franklin,34,64,2,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,162,1,0,0,0,0,0,1
P,Brian Falkenborg,29,16,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Randy Flores*,31,66,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Troy Cate*,26,14,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Russ Springer,38,72,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Josh Hancock,29,8,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Chris Carpenter,32,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Tyler Johnson#,26,51,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
P,Dennis Dove,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Andy Cavazos,26,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
