Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
David Berres*,20,45,135,118,14,20,0,0,0,3,6,3,11,36,.169,.258,.169,.427,20,0,3,3,0,0,,0
T.J. Bohn,27,11,37,31,8,11,5,0,1,5,1,2,5,8,.355,.432,.613,1.045,19,0,0,0,1,0,,1
Bárbaro Cañizares,27,4,15,11,1,6,0,0,1,2,0,0,4,1,.545,.667,.818,1.485,9,2,0,0,0,0,,1
Dennis Dixon*,22,24,79,64,7,12,1,1,0,6,5,0,14,18,.188,.342,.234,.576,15,1,1,0,0,0,,0
Daniel Elorriaga-Matra,18,17,46,42,1,6,1,0,0,3,1,0,2,9,.143,.196,.167,.362,7,0,1,0,1,0,,0
Freddie Freeman*,17,59,234,224,24,60,7,0,6,30,1,2,7,33,.268,.295,.379,.674,85,3,2,0,1,0,,1
Chais Fuller,22,36,109,97,11,17,5,0,0,4,1,3,7,24,.175,.259,.227,.486,22,2,4,1,0,0,,0
Jon Gilmore,18,43,169,162,11,46,5,1,1,29,0,0,4,28,.284,.296,.346,.642,56,1,0,0,3,0,,0
Randy Gress,22,25,66,58,6,6,1,0,1,6,1,0,4,15,.103,.182,.172,.354,10,1,2,0,2,0,,0
Takumi Hamaoka*,20,41,90,85,11,18,3,0,0,6,1,0,3,20,.212,.236,.247,.483,21,4,0,1,1,0,,0
Rashod Henry,18,21,63,61,6,17,1,0,0,2,7,4,0,13,.279,.279,.295,.574,18,0,0,2,0,0,,0
Jason Heyward*,17,8,31,27,1,8,4,0,1,5,1,1,2,4,.296,.355,.556,.910,15,1,1,0,1,0,,1
Matt Kennelly,18,39,115,107,10,23,4,0,2,10,0,0,5,19,.215,.270,.308,.578,33,2,3,0,0,0,,0
Chad Maddox,21,35,113,102,4,19,3,0,0,5,1,1,8,21,.186,.257,.216,.472,22,1,2,0,1,0,,0
Kuyaunnis Miles*,20,43,116,109,4,14,2,1,0,3,8,2,3,57,.128,.172,.165,.338,18,1,3,0,1,0,,0
Brandon Monk,20,8,25,22,2,4,1,0,0,1,0,0,3,8,.182,.280,.227,.507,5,0,0,0,0,0,,0
Camilo Parra,20,41,101,92,16,20,1,0,3,7,2,0,5,31,.217,.287,.326,.613,30,0,4,0,0,0,,0
Ray Redden,23,10,9,8,0,1,0,0,0,0,0,0,1,2,.125,.222,.125,.347,1,0,0,0,0,0,,0
Cesar Reyes,24,14,18,18,0,2,0,0,0,1,0,0,0,5,.111,.111,.111,.222,2,0,0,0,0,0,,0
Ryohei Shimabukuro*,17,34,83,81,10,16,3,0,3,8,0,0,0,14,.198,.217,.346,.563,28,2,2,0,0,0,,0
Samuel Sime,20,56,230,217,35,64,15,0,5,33,10,2,7,28,.295,.313,.433,.746,94,0,1,0,5,0,,0
Joe Spiers,21,39,123,102,18,23,1,0,0,4,9,3,18,21,.225,.352,.235,.588,24,1,2,1,0,0,,0
Jesus Sucre,19,40,114,104,8,23,5,0,0,14,1,1,7,10,.221,.265,.269,.535,28,4,0,1,2,0,,1
23 Players,19.6,60,2121,1942,208,436,68,3,24,187,56,24,120,425,.225,.278,.300,.578,582,26,31,9,19,0,,0
