Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Denny Almonte#,18,5,21,20,0,2,0,0,0,1,1,0,1,11,.100,.143,.100,.243,2,1,0,0,0,0,,0
Deybis Benitez,20,47,164,136,11,25,3,0,1,13,2,0,16,44,.184,.300,.228,.528,31,2,7,4,1,0,,0
Jermaine Brock*,20,51,185,165,13,38,7,1,0,12,11,7,16,69,.230,.298,.285,.583,47,3,0,4,0,0,,0
Dan Carroll,18,4,17,17,0,3,0,0,0,0,2,1,0,6,.176,.176,.176,.353,3,0,0,0,0,0,,0
Edilio Colina,18,51,211,188,27,52,6,2,2,15,4,2,7,32,.277,.330,.362,.692,68,3,9,5,2,0,,0
Jimmy Davenport,22,30,123,106,14,25,8,1,0,11,5,0,6,33,.236,.311,.330,.641,35,1,6,4,1,0,,0
Ogui Diaz,21,63,256,244,24,55,12,1,3,14,13,9,7,64,.225,.252,.320,.572,78,4,2,2,1,0,,0
Welington Dotel,21,40,150,140,14,35,9,2,2,17,3,4,7,60,.250,.289,.386,.674,54,1,1,1,1,0,,0
Jeff Dunbar,22,51,185,154,16,38,9,1,4,21,2,2,19,47,.247,.339,.396,.735,61,2,5,2,5,0,,0
Joe Dunigan*,21,62,248,225,28,52,6,1,4,23,12,5,18,75,.231,.297,.320,.617,72,6,3,2,0,1,,0
Tyson Gillies*,18,4,8,8,3,5,0,0,0,2,2,0,0,1,.625,.625,.625,1.250,5,0,0,0,0,0,,0
Greg Halman,19,62,265,238,37,73,19,1,16,37,16,8,21,85,.307,.371,.597,.968,142,2,4,1,1,4,,1
Julian Henson,20,5,8,7,0,1,1,0,0,0,0,0,1,2,.143,.250,.286,.536,2,0,0,0,0,0,,0
Jairo Hernandez,22,10,26,25,1,4,1,0,0,0,1,1,1,7,.160,.192,.200,.392,5,1,0,0,0,0,,0
Craig Hurba,25,16,59,50,8,14,5,0,3,10,0,0,8,17,.280,.373,.560,.933,28,0,0,0,1,0,,0
Marquise Liverpool,21,7,10,9,5,2,0,0,0,1,2,0,1,3,.222,.300,.222,.522,2,0,0,0,0,0,,0
Matt Mangini*,21,22,93,79,12,23,4,0,2,9,3,0,13,18,.291,.398,.418,.816,33,0,1,0,0,1,,1
Roberto Mena,22,43,129,122,11,25,3,1,0,3,6,1,4,21,.205,.242,.246,.488,30,1,2,1,0,0,,0
Blake Ochoa,21,17,51,44,2,11,2,0,2,8,0,0,4,15,.250,.353,.432,.785,19,0,3,0,0,0,,0
Manelik Pimentel,22,57,221,194,22,52,12,0,4,24,0,0,22,55,.268,.353,.392,.745,76,1,4,0,1,0,,0
Kalian Sams,20,56,221,191,32,43,13,1,7,22,9,4,26,72,.225,.318,.414,.732,79,5,1,1,2,2,,0
Kris Sanchez*,23,48,172,150,22,34,8,0,1,16,0,1,18,51,.227,.320,.300,.620,45,2,3,0,1,0,,0
Daniel Santin*,22,8,26,23,2,5,1,0,0,2,0,0,3,3,.217,.308,.261,.569,6,0,0,0,0,1,,0
23 Players,20.8,76,2849,2535,304,617,129,12,51,261,94,45,219,791,.243,.314,.364,.678,923,35,51,27,17,9,,0
