Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Ivan Rodriguez,36,82,328,302,33,89,16,3,5,32,6,1,19,52,.295,.338,.417,.756,98,126,9,2,3,2,1,1
1B,Miguel Cabrera,25,160,684,616,85,180,36,2,37,127,1,0,56,126,.292,.349,.537,.887,130,331,16,3,0,9,6,1
2B,Placido Polanco,32,141,629,580,90,178,34,3,8,58,7,1,35,43,.307,.350,.417,.768,102,242,14,6,4,4,2,1
SS,Edgar Renteria,31,138,547,503,69,136,22,2,10,55,6,3,37,64,.270,.317,.382,.699,84,192,19,0,2,5,1,1
3B,Carlos Guillen#,32,113,489,420,68,120,29,2,10,54,9,3,60,67,.286,.376,.436,.811,114,183,11,3,2,4,3,1
LF,Marcus Thames,31,103,342,316,50,76,12,0,25,56,0,3,24,95,.241,.292,.516,.808,108,163,6,0,0,2,0,1
CF,Curtis Granderson*,27,141,629,553,112,155,26,13,22,66,12,4,71,111,.280,.365,.494,.858,124,273,7,3,1,1,1,1
RF,Magglio Ordonez,34,146,623,561,72,178,32,2,21,103,1,5,53,76,.317,.376,.494,.869,127,277,27,3,0,6,2,1
DH,Gary Sheffield,39,114,482,418,52,94,16,0,19,57,9,2,58,83,.225,.326,.400,.725,90,167,19,5,0,1,3,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Brandon Inge,31,113,407,347,41,71,16,4,11,51,4,3,43,94,.205,.303,.369,.672,76,128,4,8,5,4,2,1
OF,Matt Joyce*,23,92,277,242,40,61,16,3,12,33,0,2,31,65,.252,.339,.492,.831,116,119,3,2,0,2,0,1
UT,Ryan Raburn,27,92,199,182,26,43,10,1,4,20,3,1,16,49,.236,.298,.368,.666,75,67,2,0,1,0,1,1
SS,Ramon Santiago#,28,58,156,124,30,35,6,2,4,18,1,0,22,17,.282,.411,.460,.870,129,57,1,5,5,0,0,1
OF,Clete Thomas*,24,40,133,116,7,33,9,1,1,9,2,0,14,26,.284,.366,.405,.772,104,47,1,1,2,0,1,1
CI,Jeff Larish*,25,42,111,104,12,27,6,0,2,16,2,2,7,34,.260,.306,.375,.681,79,39,2,0,0,0,0,1
LF,Jacque Jones*,33,24,90,79,10,13,2,1,1,5,0,1,8,18,.165,.244,.253,.498,32,20,2,1,0,2,0,1
C,Dusty Ryan,23,15,50,44,6,14,2,0,2,7,0,0,5,13,.318,.380,.500,.880,130,22,0,0,0,1,0,1
C,Dane Sardinha,29,17,49,44,2,7,0,1,0,3,0,0,4,11,.159,.229,.205,.434,16,9,1,0,1,0,0,1
3B,Mike Hessman,30,12,31,27,6,8,1,0,5,7,0,0,2,9,.296,.387,.889,1.276,224,24,0,2,0,0,0,1
OF,Brent Clevlen,24,11,28,24,4,5,0,0,0,1,0,0,3,8,.208,.296,.208,.505,37,5,0,0,1,0,0,1
MI,Michael Hollimon#,26,11,25,23,4,6,2,1,1,2,0,0,1,6,.261,.280,.565,.845,116,13,0,0,0,1,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Armando Galarraga,26,2,6,2,2,0,0,0,0,0,0,0,3,1,.000,.600,.000,.600,77,0,0,0,1,0,0,1
P,Justin Verlander,25,2,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Nate Robertson,30,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Kenny Rogers*,43,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Jeremy Bonderman,25,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Eddie Bonine,27,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Freddy Dolsi,25,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Aquilino Lopez,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Clay Rapada,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Gary Glover,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Chris Lambert,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kyle Farnsworth,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Todd Jones*,40,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Fernando Rodney,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Joel Zumaya,23,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Casey Fossum*,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Francis Beltran,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dontrelle Willis*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Bobby Seay*,30,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Freddy Garcia,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jason Grilli,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Francisco Cruceta,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Zach Miner,26,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Denny Bautista,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Yorman Bazardo,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,30.5,162,6331,5641,821,1529,293,41,200,780,63,31,572,1076,.271,.340,.444,.784,105,2504,144,44,30,44,23,1
,Rank in 14 AL teams,,,,3,4,4,9,2,2,,14,5,5,10,4,4,4,3,,2,,11,,10,,1
,Non-Pitcher Totals,30.5,162,6309,5625,819,1529,293,41,200,780,63,31,569,1067,.272,.341,.445,.786,105,2504,144,44,27,44,23,1
,Pitcher Totals,25.2,162,22,16,2,0,0,0,0,0,0,0,3,9,.000,.158,.000,.158,-53,0,0,0,3,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
