Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Jeremy Barfield,21,135,578,508,72,138,21,1,17,92,1,1,52,93,.272,.340,.417,.757,212,22,6,1,11,1,,0
Yusuf Carter#,25,48,194,180,32,50,14,0,13,42,1,0,12,51,.278,.325,.572,.897,103,4,1,0,1,0,,0
Gernaldo Castillo,20,5,19,17,1,3,0,0,0,0,0,0,2,3,.176,.263,.176,.440,3,0,0,0,0,0,,0
Jason Christian*,23,12,44,37,5,6,0,0,0,2,1,1,7,10,.162,.295,.162,.458,6,1,0,0,0,0,,0
Jose Crisotomo*,21,9,27,26,1,5,0,0,0,2,0,1,1,4,.192,.222,.192,.415,5,1,0,0,0,0,,0
Coco Crisp#,30,2,7,6,2,5,0,1,1,3,0,0,1,0,.833,.857,1.667,2.524,10,0,0,0,0,0,,1
Mark Ellis,33,2,7,5,0,1,0,0,0,1,0,0,1,0,.200,.286,.200,.486,1,0,0,0,1,0,,1
Joel Galarraga,28,5,18,17,2,4,0,0,0,0,0,0,1,3,.235,.278,.235,.513,4,0,0,0,0,0,,0
Grant Green,22,131,606,548,107,174,39,6,20,87,9,5,38,117,.318,.363,.520,.883,285,14,7,3,10,2,,1
Shawn Haviland,24,27,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,0,0,0,,0
Josh Horton*,24,8,31,30,5,14,5,1,2,6,0,1,1,5,.467,.484,.900,1.384,27,0,0,0,0,0,,0
Conor Jackson,28,2,8,7,1,2,1,0,0,2,0,0,0,1,.286,.250,.429,.679,3,0,0,0,1,0,,1
Todd Johnson*,25,82,337,307,39,63,13,3,6,38,6,5,25,66,.205,.267,.326,.593,100,9,2,0,3,1,,0
Kala Ka'aihue,25,23,89,66,11,11,4,0,3,12,2,0,20,19,.167,.371,.364,.734,24,2,2,0,1,1,,0
Shane Keough#,23,67,280,251,31,56,12,2,2,27,8,7,21,78,.223,.291,.311,.602,78,3,4,2,2,0,,0
Tyler Ladendorf,22,126,524,478,60,131,30,4,5,41,20,4,35,110,.274,.326,.385,.711,184,12,3,5,3,0,,1
Diomedes Lopez,21,1,4,3,0,2,0,0,0,0,0,0,1,1,.667,.750,.667,1.417,2,0,0,0,0,0,,0
Jermaine Mitchell*,25,78,359,304,68,94,21,7,10,32,21,9,51,86,.309,.413,.523,.936,159,1,3,1,0,0,,0
Dusty Napoleon*,24,11,41,28,3,4,0,0,0,1,0,0,12,9,.143,.415,.143,.557,4,3,1,0,0,0,,0
Ryan Ortiz,22,58,227,188,35,52,12,1,8,35,1,0,36,47,.277,.394,.479,.873,90,3,1,1,1,0,,0
Petey Paramore,23,46,184,149,18,38,7,0,3,23,0,1,34,37,.255,.391,.362,.754,54,2,0,0,1,1,,0
Stephen Parker*,22,139,627,524,102,155,38,5,21,98,3,1,84,105,.296,.392,.508,.900,266,13,7,0,12,2,,0
Jose Pina,24,31,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Brandon Pinckney,28,24,91,75,8,24,6,1,1,9,0,0,11,12,.320,.398,.467,.864,35,0,0,3,2,0,,0
Mike Richard,25,33,113,98,13,21,3,0,0,5,2,5,11,21,.214,.304,.245,.548,24,4,2,1,1,0,,0
Ramon Soto,22,4,14,13,1,3,1,0,0,1,0,1,0,5,.231,.286,.308,.593,4,0,1,0,0,0,,0
Mike Spina,23,135,594,514,74,130,27,1,23,88,1,0,64,142,.253,.348,.444,.792,228,11,13,0,3,1,,0
Daniel Thomas,24,9,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
David Thomas#,23,65,261,223,40,52,14,4,2,30,6,5,22,41,.233,.328,.359,.687,80,3,10,5,1,0,,0
Kent Walton,23,41,156,140,18,36,7,0,3,17,4,1,14,35,.257,.323,.371,.694,52,3,0,1,1,0,,0
Matt Whitney,26,12,50,43,6,12,2,1,3,7,0,0,5,7,.279,.380,.581,.961,25,2,2,0,0,0,,0
31 Players,23.0,140,5494,4788,755,1286,277,38,143,701,86,48,563,1109,.269,.350,.432,.782,2068,113,65,23,55,9,,0
