Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Jarrod Saltalamacchia#,26,103,386,358,52,84,23,3,16,56,1,0,24,119,.235,.288,.450,.737,95,161,7,3,0,1,1,1
1B,Adrian Gonzalez*,29,159,715,630,108,213,45,3,27,117,1,0,74,119,.338,.410,.548,.957,155,345,28,6,0,5,20,1
2B,Dustin Pedroia,27,159,731,635,102,195,37,3,21,91,26,8,86,85,.307,.387,.474,.861,131,301,12,1,2,7,6,1
SS,Marco Scutaro,35,113,445,395,59,118,26,1,7,54,4,2,38,36,.299,.358,.423,.781,110,167,12,1,7,4,1,1
3B,Kevin Youkilis,32,120,517,431,68,111,32,2,17,80,3,0,68,100,.258,.373,.459,.833,123,198,14,14,0,4,3,1
LF,Carl Crawford*,29,130,539,506,65,129,29,7,11,56,18,6,23,104,.255,.289,.405,.694,85,205,7,3,2,4,1,1
CF,Jacoby Ellsbury*,27,158,732,660,119,212,46,5,32,105,39,15,52,98,.321,.376,.552,.928,146,364,8,9,3,5,1,1
RF,J.D. Drew*,35,81,286,248,23,55,6,1,4,22,0,1,33,58,.222,.315,.302,.617,68,75,2,2,0,3,4,1
DH,David Ortiz*,35,146,605,525,84,162,40,1,29,96,1,1,78,83,.309,.398,.554,.953,154,291,24,1,0,1,12,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF,Jed Lowrie#,27,88,341,309,40,78,14,4,6,36,1,1,23,60,.252,.303,.382,.685,83,118,6,2,1,6,2,1
OF,Josh Reddick*,24,87,278,254,41,71,18,3,7,28,1,2,19,50,.280,.327,.457,.784,109,116,1,1,0,4,1,1
C,Jason Varitek#,39,68,250,222,32,49,10,1,11,36,0,0,21,67,.221,.300,.423,.723,92,94,3,4,3,0,0,1
OF,Darnell McDonald,32,79,175,157,26,37,6,1,6,24,2,3,14,33,.236,.303,.401,.704,88,63,3,2,0,2,0,1
IF,Mike Aviles,30,38,107,101,17,32,6,0,2,8,4,2,4,17,.317,.340,.436,.775,107,44,3,0,1,1,0,1
RF,Mike Cameron,38,33,105,94,9,14,2,0,3,9,0,0,8,25,.149,.212,.266,.477,28,25,3,0,1,2,0,1
UT,Drew Sutton#,28,31,60,54,11,17,7,0,0,7,0,0,3,13,.315,.362,.444,.807,116,24,0,1,2,0,0,1
DH,Ryan Lavarnway,23,17,43,39,5,9,2,0,2,8,0,0,4,10,.231,.302,.436,.738,96,17,1,0,0,0,0,1
UT,Yamaico Navarro,23,16,40,37,6,8,2,0,1,3,0,0,3,9,.216,.275,.351,.626,68,13,0,0,0,0,0,1
UT,Conor Jackson,29,12,22,19,2,3,0,0,1,5,0,0,2,3,.158,.227,.316,.543,45,6,1,0,0,1,0,1
SS,José Iglesias,21,10,6,6,3,2,0,0,0,0,0,0,0,2,.333,.333,.333,.667,81,2,0,0,0,0,0,1
1B,Lars Anderson*,23,6,5,5,2,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
