Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Matt Treanor,35,65,230,186,24,42,6,0,3,21,2,2,33,49,.226,.351,.306,.658,84,57,3,4,5,2,0,1
1B,Eric Hosmer*,21,128,563,523,66,153,27,3,19,78,11,5,34,82,.293,.334,.465,.799,118,243,13,1,0,5,7,1
2B,Chris Getz*,27,118,429,380,50,97,6,3,0,26,21,7,30,45,.255,.313,.287,.600,68,109,5,3,14,2,0,1
SS,Alcides Escobar,24,158,598,548,69,139,21,8,4,46,26,9,25,73,.254,.290,.343,.633,74,188,10,4,18,3,1,1
3B,Mike Moustakas*,22,89,365,338,26,89,18,1,5,30,2,0,22,51,.263,.309,.367,.675,86,124,5,1,2,2,0,1
LF,Alex Gordon*,27,151,690,611,101,185,45,4,23,87,17,8,67,139,.303,.376,.502,.879,140,307,9,7,0,3,2,1
CF,Melky Cabrera#,26,155,706,658,102,201,44,5,18,87,20,10,35,94,.305,.339,.470,.809,121,309,12,1,7,5,3,1
RF,Jeff Francoeur,27,153,656,601,77,171,47,4,20,87,22,10,37,123,.285,.329,.476,.805,119,286,17,8,0,10,3,1
DH,Billy Butler,25,159,673,597,74,174,44,0,19,95,2,1,66,95,.291,.361,.461,.822,125,275,16,3,0,7,15,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Brayan Pena#,29,72,240,222,17,55,11,0,3,24,0,0,12,24,.248,.288,.338,.625,72,75,6,2,0,4,0,1
3B,Wilson Betemit#,29,57,226,203,29,57,15,1,3,27,3,1,20,58,.281,.341,.409,.750,106,83,6,0,0,3,6,1
IF,Mike Aviles,30,53,202,185,14,41,11,3,5,31,10,2,9,27,.222,.261,.395,.656,78,73,5,2,3,3,0,1
2B,Johnny Giavotella,23,46,187,178,20,44,9,4,2,21,5,2,6,32,.247,.273,.376,.649,77,67,4,1,0,2,0,1
C,Salvador Perez,21,39,158,148,20,49,8,2,3,21,0,0,7,20,.331,.361,.473,.834,128,70,5,1,0,2,0,1
OF,Mitch Maier*,29,44,113,95,19,22,4,3,0,7,1,0,16,32,.232,.345,.337,.682,90,32,1,1,0,1,0,1
1B,Kila Ka'aihue*,27,23,96,82,6,16,4,0,2,6,0,0,12,26,.195,.295,.317,.612,69,26,3,0,1,1,0,1
CF,Jarrod Dyson*,26,26,53,44,8,9,1,0,0,3,11,1,7,14,.205,.308,.227,.535,51,10,0,0,1,1,0,1
IF,Yamaico Navarro,23,6,26,23,2,7,1,0,0,6,0,0,2,5,.304,.346,.348,.694,93,8,0,0,0,1,0,1
OF,Lorenzo Cain,25,6,23,22,4,6,1,0,0,1,0,0,1,4,.273,.304,.318,.623,73,7,0,0,0,0,0,1
C,Manny Pina,24,4,15,14,2,3,2,0,0,0,0,0,1,2,.214,.267,.357,.624,71,5,1,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Felipe Paulino,27,2,4,1,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
P,Danny Duffy*,22,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Vin Mazzaro,24,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jeff Francis*,30,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Luke Hochevar,27,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Bruce Chen*,34,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
P,Louis Coleman,25,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Kyle Davies,27,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Blake Wood,25,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Jeremy Jeffress,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Joakim Soria,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Greg Holland,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Rob Tejeda,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kanekoa Texeira,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Nathan Adcock,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Sean O'Sullivan,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Everett Teaford*,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Kelvin Herrera,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Aaron Crow,24,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jesse Chavez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Luis Mendoza,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Tim Collins*,21,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,25.9,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,.275,.329,.415,.744,104,2354,121,39,55,57,37,1
,Rank in 14 AL teams,,,,2,6,3,2,1,11,,2,13,11,3,4,5,5,5,,5,,10,,2,,1
,Non-Pitcher Totals,25.9,162,6249,5658,730,1560,325,41,129,704,153,58,442,995,.276,.329,.416,.745,105,2354,121,39,51,57,37,1
,Pitcher Totals,23.9,162,18,14,0,0,0,0,0,1,0,0,0,11,.000,.000,.000,.000,-100,0,0,0,4,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
