Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Nick Akins,23,7,29,25,4,9,1,0,2,6,1,0,4,8,.360,.448,.640,1.088,16,1,0,0,0,0,,0
Justin Boudreaux,21,12,42,37,7,8,2,1,0,4,1,0,4,9,.216,.310,.324,.634,12,0,1,0,0,0,,0
Beau Brett*,21,18,60,50,8,8,2,0,0,2,1,0,8,10,.160,.283,.200,.483,10,1,1,0,1,0,,0
Jose Capellan,20,25,86,74,6,20,2,0,1,12,3,1,10,14,.270,.353,.338,.691,25,3,0,1,1,1,,0
JJ Ethel,22,13,37,33,6,10,4,0,1,7,0,0,3,3,.303,.378,.515,.894,17,2,1,0,0,0,,0
Devon Ethier,21,28,51,42,9,5,2,0,0,2,0,0,9,17,.119,.275,.167,.441,7,2,0,0,0,0,,0
Bladimir Franco,20,40,153,142,21,30,7,1,3,19,0,2,9,51,.211,.261,.338,.599,48,4,1,0,1,0,,0
Jay Gibbons*,34,2,8,7,1,2,0,0,0,2,0,0,0,3,.286,.250,.286,.536,2,0,0,0,1,0,,1
Bryant Hernandez,23,19,78,64,18,23,3,1,1,8,3,2,8,11,.359,.468,.484,.952,31,0,5,1,0,0,,0
Malcolm Holland,19,25,80,69,11,11,1,0,0,3,5,1,9,18,.159,.256,.174,.430,12,0,0,2,0,0,,0
Anthony Jackson#,27,3,14,13,2,3,0,0,0,0,0,0,1,3,.231,.286,.231,.516,3,0,0,0,0,0,,0
Stefan Jarrin,20,23,70,61,9,13,5,0,0,7,0,0,7,18,.213,.314,.295,.609,18,2,2,0,0,0,,0
Joseph Lincoln,22,1,4,3,1,2,1,0,0,1,0,0,0,0,.667,.750,1.000,1.750,3,0,1,0,0,0,,0
Ronny Lugo,21,26,94,87,13,20,2,2,0,11,6,2,6,20,.230,.287,.299,.586,26,6,1,0,0,0,,0
Delvis Morales#,20,38,161,137,26,38,3,3,0,12,8,6,14,25,.277,.346,.343,.689,47,2,1,8,1,0,,0
Enlly Morales,21,3,14,14,0,4,1,0,0,3,0,0,0,2,.286,.286,.357,.643,5,0,0,0,0,0,,0
Tae-Hyeok Nam,20,30,119,104,14,23,5,1,2,11,1,1,9,37,.221,.303,.346,.649,36,2,4,0,2,0,,0
Chris O'Brien#,21,42,178,153,23,45,15,3,3,33,3,0,18,30,.294,.365,.490,.855,75,3,2,0,5,1,,0
Tyler Ogle,20,6,18,18,4,3,0,0,0,2,0,0,0,1,.167,.167,.167,.333,3,0,0,0,0,0,,0
Faustino Oguisten,20,13,23,20,5,6,0,0,0,2,1,0,3,2,.300,.391,.300,.691,6,0,0,0,0,0,,0
Angelo Ponte,24,2,1,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,,0
Gianison Rosa*,21,31,99,77,14,17,5,2,1,11,1,1,21,29,.221,.394,.377,.771,29,0,1,0,0,1,,0
Alex Santana,17,50,205,189,30,45,10,3,1,19,8,1,10,64,.238,.298,.339,.636,64,1,6,0,0,0,,0
Devin Shines,22,52,247,211,45,67,14,2,4,31,13,4,24,48,.318,.398,.460,.858,97,5,7,1,4,1,,0
Blake Smith*,23,6,23,20,7,9,2,0,4,10,0,0,3,1,.450,.522,1.150,1.672,23,0,0,0,0,0,,1
Kevin Taylor*,19,2,6,5,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,0,0,0,0,0,0,,0
Kevin Thompson,22,6,21,18,6,6,0,0,0,2,0,0,1,2,.333,.350,.333,.683,6,1,0,1,1,0,,0
Jesus Valdez*,19,23,95,83,14,20,5,1,3,15,2,0,8,13,.241,.312,.434,.746,36,0,1,2,1,0,,0
Matt Wallach*,25,3,9,8,0,1,1,0,0,2,0,0,1,4,.125,.222,.250,.472,2,0,0,0,0,0,,0
Scott Wingo*,22,7,25,20,1,9,0,1,0,0,0,2,5,2,.450,.560,.550,1.110,11,0,0,0,0,0,,0
Joe Winker*,21,43,192,163,35,61,17,6,4,46,4,0,20,37,.374,.442,.626,1.068,102,3,3,2,4,0,,0
31 Players,20.5,56,2242,1948,341,519,111,27,30,283,61,23,216,483,.266,.348,.397,.745,774,38,38,18,22,4,,0
