Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Luis Alvarez,22,18,58,53,7,14,1,1,2,8,1,0,3,13,.264,.328,.434,.762,23,3,2,0,0,0,,0
Jay Austin*,21,15,59,51,7,13,1,1,0,4,5,0,7,4,.255,.356,.314,.670,16,2,1,0,0,1,,0
Tyler Burnett*,23,12,52,45,4,8,1,0,1,2,1,0,7,12,.178,.288,.267,.555,12,2,0,0,0,0,,0
Delino DeShields,19,111,523,440,96,131,22,5,10,52,83,14,70,108,.298,.401,.439,.839,193,4,7,4,2,5,,1
Matt Duffy,23,134,587,492,73,138,32,1,16,70,6,3,48,106,.280,.387,.447,.834,220,11,41,0,6,0,,1
Chris Epps*,23,36,151,133,17,30,6,0,3,17,5,1,15,39,.226,.311,.338,.650,45,3,2,0,1,0,,0
Jose Fernandez,19,20,75,66,14,17,7,0,1,10,2,0,8,19,.258,.333,.409,.742,27,2,0,0,1,0,,0
Nolan Fontana*,21,49,222,151,37,34,9,1,2,25,12,2,65,44,.225,.464,.338,.801,51,3,3,2,1,0,,1
Ernesto Genoves,21,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Justin Gominsky,22,94,381,332,37,80,15,1,2,36,13,4,34,69,.241,.318,.310,.628,103,5,5,7,3,1,,0
Miles Hamblin*,23,2,4,3,2,1,0,0,1,1,0,0,1,0,.333,.500,1.333,1.833,4,0,0,0,0,0,,0
Teoscar Hernandez,19,8,30,25,2,6,2,0,1,5,1,0,3,12,.240,.310,.440,.750,11,0,0,1,1,0,,1
John Hinson*,23,15,61,59,12,20,4,0,2,11,4,1,1,17,.339,.350,.508,.858,30,0,0,1,0,0,,0
Jimmy Howick,21,29,109,95,18,17,4,0,2,10,2,1,11,22,.179,.264,.284,.548,27,2,0,3,0,0,,0
Zach Johnson,24,134,607,508,63,121,38,1,15,108,0,1,75,92,.238,.339,.406,.745,206,11,10,0,14,4,,0
Emilio King,22,20,82,74,6,10,3,0,0,5,0,0,8,31,.135,.220,.176,.395,13,2,0,0,0,0,,0
Jordan Kreke,25,15,65,58,4,11,1,0,0,2,2,2,3,16,.190,.242,.207,.449,12,2,1,3,0,0,,0
Mike Kvasnicka#,23,88,367,345,46,80,15,1,15,53,1,2,19,86,.232,.275,.412,.687,142,12,2,0,1,0,,0
Ryan McCurdy,24,24,87,65,9,12,4,0,0,7,3,1,12,10,.185,.372,.246,.618,16,2,8,1,1,0,,0
Brandon Meredith,22,86,370,316,54,88,19,4,15,48,12,3,43,86,.278,.377,.506,.883,160,10,8,1,2,0,,0
Chan Moon#,21,62,252,214,27,55,13,1,3,30,13,5,28,57,.257,.339,.369,.708,79,5,0,7,3,0,,0
Jobduan Morales#,21,17,68,63,4,17,2,0,0,6,0,0,3,16,.270,.294,.302,.596,19,1,0,0,2,0,,0
Cristian Moronta,22,5,20,18,3,5,3,0,0,4,0,0,2,6,.278,.350,.444,.794,8,0,0,0,0,0,,0
Drew Muren*,23,48,202,183,25,51,12,1,3,17,4,5,11,29,.279,.325,.404,.729,74,1,3,2,3,2,,0
Roberto Pena,20,61,239,220,21,54,12,0,2,22,1,2,10,43,.245,.278,.327,.605,72,6,1,5,3,0,,0
Jordan Scott*,20,110,480,404,55,93,13,2,1,43,13,11,57,81,.230,.325,.280,.604,113,4,2,12,5,1,,0
Ruben Sosa#,21,44,145,125,25,35,3,2,0,9,13,2,17,26,.280,.364,.336,.700,42,1,0,2,1,0,,0
Alex Todd,22,22,99,85,16,26,4,1,1,13,0,0,10,13,.306,.388,.412,.800,35,3,2,1,1,0,,0
Jesse Wierzbicki,23,8,34,28,7,7,1,1,1,5,1,0,2,5,.250,.344,.464,.808,13,1,2,2,0,0,,0
29 Players,21.8,138,5431,4653,691,1174,247,24,99,623,198,60,573,1062,.252,.344,.380,.723,1766,98,100,54,51,14,,0
