Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Orlando Arcia,18,120,486,442,67,111,14,5,4,39,20,9,35,40,.251,.314,.333,.647,147,15,6,2,1,2,,1
Parker Berberet,23,95,380,339,35,87,17,2,7,35,0,2,31,58,.257,.327,.381,.708,129,5,6,1,3,1,,0
Garrett Cooper,22,32,133,122,15,35,6,3,2,20,0,0,10,33,.287,.346,.434,.780,53,5,1,0,0,0,,1
Clint Coulter,19,33,135,116,18,24,5,1,3,13,1,0,11,31,.207,.299,.345,.643,40,1,5,1,2,0,,0
Brent Dean,26,13,52,48,3,8,3,0,0,4,1,0,2,20,.167,.216,.229,.445,11,0,1,1,0,0,,0
Mike Garza,23,106,439,412,43,116,15,9,4,41,4,5,18,79,.282,.312,.391,.703,161,14,1,6,2,0,,0
Adam Giacalone*,21,64,264,229,27,57,13,0,0,25,0,1,28,61,.249,.331,.306,.636,70,9,2,1,4,1,,0
Mitch Haniger,22,41,178,145,24,43,12,2,5,25,7,0,25,24,.297,.399,.510,.909,74,2,3,0,5,1,,1
Dustin Houle,19,7,27,23,5,6,4,0,0,1,0,0,3,2,.261,.370,.435,.805,10,3,1,0,0,0,,0
Christopher McFarland,20,87,339,307,35,73,12,8,3,42,7,3,22,90,.238,.298,.358,.656,110,4,5,3,2,0,,0
Michael Reed,20,118,539,455,68,130,23,13,1,40,26,10,71,108,.286,.385,.400,.785,182,15,4,7,2,3,,1
Victor Roache,21,119,516,459,62,114,14,4,22,74,6,2,46,137,.248,.322,.440,.762,202,5,6,0,5,1,,0
Tyler Roberts,22,33,131,112,13,29,9,0,1,13,0,1,14,43,.259,.354,.366,.720,41,2,3,1,1,1,,0
Alfredo Rodriguez,23,109,465,392,52,106,15,0,2,35,10,11,50,52,.270,.363,.324,.687,127,8,9,10,4,0,,0
Lance Roenicke,25,10,36,32,4,8,0,0,1,3,0,0,2,7,.250,.333,.344,.677,11,0,2,0,0,0,,0
Jose Sermo#,22,35,129,117,10,21,4,2,2,18,5,3,8,38,.179,.234,.299,.534,35,1,1,1,2,0,,0
Tyrone Taylor,19,122,549,485,69,133,33,2,8,57,19,8,35,63,.274,.338,.400,.738,194,9,14,11,4,1,,1
Max Walla*,22,71,280,256,35,65,19,2,0,27,6,2,19,71,.254,.312,.344,.656,88,2,3,1,1,1,,0
Adrian Williams,22,38,102,86,9,12,2,0,0,3,2,1,12,22,.140,.245,.163,.408,14,1,0,4,0,0,,0
19 Players,21.0,135,5180,4577,594,1178,220,53,65,515,114,58,442,979,.257,.330,.371,.701,1699,101,73,50,38,12,,0
